date,Close,High,Low,Open,Volume,aVWAP_peak_152,aVWAP_peak_124,aVWAP_peak_104,aVWAP_valley_171,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,40.43,42.98,39.82,41.36,3518102,,,,,,,#000000
2022-01-07 00:00:00+00:00,36.44,41.5,35.15,40.77,4905102,,,,,,,#000000
2022-01-14 00:00:00+00:00,36.56,40.53,33.82,35.82,7224828,,,,,,,#000000
2022-01-21 00:00:00+00:00,29.99,35.89,29.8,35.85,5325177,,,,,,,#000000
2022-01-28 00:00:00+00:00,28.88,31.595,26.14,28.45,7662028,,,,,,,#000000
2022-02-04 00:00:00+00:00,31.52,35.5,26.41,29.6,12236916,,,,,,,#000000
2022-02-11 00:00:00+00:00,29.74,33.92,29.16,31.55,6914565,,,,,,,#000000
2022-02-18 00:00:00+00:00,26.6,31.845,26.5,29.54,5976161,,,,,,,#000000
2022-02-25 00:00:00+00:00,26.36,26.88,22.31,26.02,6647254,,,,,,,#000000
2022-03-04 00:00:00+00:00,22.47,27.44,22.16,25.98,6910952,,,,,,,#000000
2022-03-11 00:00:00+00:00,21.11,23.54,20.06,22.46,5211209,,,,,,,#000000
2022-03-18 00:00:00+00:00,29.06,29.33,19.48,20.95,9247762,,,,,,,#000000
2022-03-25 00:00:00+00:00,29.0,32.17,27.72,28.88,6333478,,,,,,,#000000
2022-04-01 00:00:00+00:00,31.22,32.5475,28.0,29.03,4171659,,,,,,,#000000
2022-04-08 00:00:00+00:00,26.54,34.14,26.48,31.57,5549497,,,,,,,#000000
2022-04-15 00:00:00+00:00,25.47,26.66,24.34,25.65,4288129,,,,,,,#000000
2022-04-22 00:00:00+00:00,22.22,26.24,21.8,25.44,4940776,,,,,,,#000000
2022-04-29 00:00:00+00:00,22.35,24.39,21.06,21.91,5305717,,,,,,,#000000
2022-05-06 00:00:00+00:00,19.66,23.05,19.04,22.03,5457898,,,,,,,#000000
2022-05-13 00:00:00+00:00,21.37,21.53,15.03,19.35,8554795,,,,,,,#000000
