date,Close,High,Low,Open,Volume,aVWAP_peak_143,aVWAP_peak_125,aVWAP_peak_103,aVWAP_peak_83,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_97,aVWAP_valley_27,aVWAP_OB_bear_143,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,15.29,15.4138,14.94,14.95,60514,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,60514.0,False,False,False,False
2022-01-07 00:00:00+00:00,14.41,15.61,14.14,15.14,87975,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-87975,-6516.666666666666,False,False,False,False,62548.148148148146,False,False,False,False
2022-01-14 00:00:00+00:00,12.97,14.37,12.78,14.37,691208,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-779183,-63751.2098765432,False,False,False,False,109115.54458161865,False,False,False,False
2022-01-21 00:00:00+00:00,13.3501,14.36,12.95,13.07,362283,,,,,,,,,,,,#000000,,,,4.360258921043347,-45.87819273870121,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-416900,-89910.37951531778,False,False,False,False,127868.68942742469,False,False,False,False
2022-01-28 00:00:00+00:00,12.02,13.18,11.76,13.18,361834,,,,,,,,,,,,#000000,,12.319999999999997,,5.887860979397156,-44.61297016272204,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-778734,-140934.351403072,False,False,False,False,145199.45317354138,False,False,False,False
2022-02-04 00:00:00+00:00,12.96,13.0999,11.9,12.2,528673,,,,,,,,,,,,#000000,,12.517872347887215,,12.552365262854865,-38.505989761863404,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-250061,-149017.8068546963,False,False,False,False,173604.90108661237,False,False,False,False
2022-02-11 00:00:00+00:00,13.67,14.4351,12.8227,13.01,330722,,,,,,,,,,,,#000000,,12.82246074086023,,20.322469118210147,-31.57113088645155,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,80661,-132004.56190249659,False,False,False,False,185243.20470982627,False,False,False,False
2022-02-18 00:00:00+00:00,13.86,13.9499,13.33,13.76,169952,,,,,,,,,,,,#000000,,12.931289077194123,,26.57701820552176,-26.26852439004864,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,250613,-103662.52028008943,False,False,False,False,184110.52287946874,False,False,False,False
2022-02-25 00:00:00+00:00,14.08,14.2,13.0,13.98,241624,,,,,,,,,,,,#000000,,13.053922489029613,,31.842262584723272,-21.9755925059434,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,492237,-59521.81507415688,False,False,False,False,188370.78044395254,False,False,False,False
2022-03-04 00:00:00+00:00,16.06,16.06,13.91,14.08,392861,,,,,,,,,,,,#000000,,13.497934598481026,,40.59704828637908,-14.38435691561331,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.2911692785231032,0.2911692785231032,False,False,False,False,885098,10450.023079484374,False,False,False,False,203518.20411477087,False,False,False,False
