date,Close,High,Low,Open,Volume,aVWAP_OB_bull_146,aVWAP_OB_bear_323,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-09-21 00:00:00+00:00,6.88,9.8991,4.8,9.09,299092,,,,#000000,,,,,,False,False,False,False,False,,,7.349550000000001,7.349550000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,299092.0,False,False,False,False
2023-09-22 00:00:00+00:00,7.56,7.56,5.7,5.7,139055,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,6.63,7.349550000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,139055,5453.137254901961,False,False,False,False,292816.0392156863,False,False,False,False
2023-09-25 00:00:00+00:00,7.8,8.0,6.7002,7.02,82578,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,7.350099999999999,7.350099999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,221633,13930.778931180315,False,False,False,False,284571.41022683587,False,False,False,False
2023-09-26 00:00:00+00:00,6.96,7.26,6.52,7.25,49893,,,,"rgba(38, 166, 154, 0.5)",,,,82.71781269128749,34.157994967013536,False,False,True,False,False,,,6.89,7.350099999999999,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,171740,20119.37583583991,False,False,False,False,275368.33531597955,False,False,False,False
2023-09-27 00:00:00+00:00,6.74,6.81,6.5,6.74,22407,,,,"rgba(38, 166, 154, 0.5)",,,,69.11040789396593,22.644662086619462,False,False,True,False,False,,,6.654999999999999,7.350099999999999,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,149333,25186.57678345403,False,False,False,False,265448.28295064706,False,False,False,False
2023-09-28 00:00:00+00:00,5.5,6.74,5.035,6.74,1043946,,,,"rgba(38, 166, 154, 0.5)",,,,53.80743565843257,9.97298041878426,False,False,True,False,False,,,5.8875,7.350099999999999,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-894613,-10883.994855112796,False,False,False,False,295977.6051878766,False,False,False,False
2023-09-29 00:00:00+00:00,4.95,5.41,4.8,5.41,412749,,,,"rgba(239, 83, 80, 0.5)",,,,42.222772245286265,1.0097256076252208,False,False,False,True,False,,,5.105,5.105,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1307362,-61726.269566677,False,False,False,False,300556.87557266577,False,False,False,False
2023-10-02 00:00:00+00:00,5.29,5.31,4.77,4.85,268626,,,,"rgba(239, 83, 80, 0.5)",,,,37.42439602720541,-1.8124453231893796,False,False,False,True,False,,,5.039999999999999,5.105,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1038736,-100040.37664249359,False,False,False,False,299304.68437373766,False,False,False,False
2023-10-03 00:00:00+00:00,4.92,5.24,4.77,5.13,148757,,,,"rgba(239, 83, 80, 0.5)",,,,33.16012093038167,-4.6479760082763875,False,False,False,True,False,,,5.005,5.105,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1187493,-142685.57755847424,False,False,False,False,293400.8536139832,False,False,False,False
2023-10-04 00:00:00+00:00,4.9,4.9509,4.75,4.79,45550,,,,"rgba(239, 83, 80, 0.5)",,,,30.26158098307134,-6.651451314642074,False,False,False,True,False,,,4.85045,5.105,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1233043,-185444.69216402428,False,False,False,False,283681.21229578776,False,False,False,False
2023-10-05 00:00:00+00:00,5.04,5.1,4.79,4.8,63184,,,,"rgba(239, 83, 80, 0.5)",,,,29.578951974373595,-7.019148785911405,False,False,False,True,False,,,4.85045,5.105,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1169859,-224049.1748242586,False,False,False,False,275034.2627939922,False,False,False,False
2023-10-06 00:00:00+00:00,5.09,5.15,4.94,5.0,38818,,,,"rgba(239, 83, 80, 0.5)",,,,29.581538354063095,-7.1699193969145725,False,False,False,True,False,,,4.85045,5.105,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1131041,-259617.4816938955,False,False,False,False,265770.8799393258,False,False,False,False
2023-10-09 00:00:00+00:00,5.44,5.5,5.06,5.06,67226,,,,"rgba(239, 83, 80, 0.5)",,,,32.596209210787535,-7.1699193969145725,False,False,False,True,False,,,5.279999999999999,5.279999999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1063815,-291154.639274527,False,False,False,False,257984.806216215,False,False,False,False
2023-10-10 00:00:00+00:00,5.69,5.84,5.25,5.4,167008,,,,"rgba(239, 83, 80, 0.5)",,,,36.48036539999767,-7.1699193969145725,False,False,False,True,False,,,8.805314285714285,5.279999999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-896807,-314905.71224415343,False,False,False,False,254417.08832538305,False,False,False,False
2023-10-11 00:00:00+00:00,5.75,5.99,5.62,5.63,61760,,,,"rgba(239, 83, 80, 0.5)",,,,39.508685669711,-7.1699193969145725,False,False,False,True,True,,,8.051935714285715,5.279999999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-835047,-335303.4098032063,False,False,False,False,246861.9083910543,False,False,False,False
2023-10-12 00:00:00+00:00,5.6,5.86,5.52,5.62,69553,,,,"rgba(239, 83, 80, 0.5)",,,,40.60130501931464,-7.1699193969145725,False,False,False,True,True,,,7.611221428571429,5.279999999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-904600,-357628.7662815119,False,False,False,False,239908.61786591494,False,False,False,False
2023-10-13 00:00:00+00:00,5.655,6.01,5.54,5.62,319250,,,,"rgba(239, 83, 80, 0.5)",,,,41.7875518607809,-7.1699193969145725,False,False,False,True,True,,,7.518407142857144,5.279999999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-585350,-366559.0107410605,False,False,False,False,243020.04461627122,False,False,False,False
2023-10-16 00:00:00+00:00,5.98,6.0,5.66,5.66,192282,,,,#000000,,,,45.09081446807043,-16.126338687981786,False,False,False,False,True,,,7.37305,5.279999999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-393068,-367598.57894729346,False,False,False,False,241030.31737641746,False,False,False,False
