date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_108,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_125,aVWAP_BoS_CHoCH_bear_250,aVWAP_BoS_CHoCH_bear_357,aVWAP_BoS_CHoCH_bear_546,aVWAP_BoS_CHoCH_bear_626,aVWAP_BoS_CHoCH_bear_720,aVWAP_BoS_CHoCH_bear_747,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,23.8,24.7,23.8,24.0,116066,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,116066.0,False,False,False,False
2022-01-04 00:00:00+00:00,23.9,24.148,23.2,23.8,87643,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,87643,3436.9803921568628,False,False,False,False,114951.37254901962,False,False,False,False
2022-01-05 00:00:00+00:00,22.7,24.771,22.6,23.9,181455,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,69.01408450704221,-73.94366197183115,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-93812,-376.705113417916,False,False,False,False,117559.35793925414,False,False,False,False
2022-01-06 00:00:00+00:00,22.9,23.6,21.9,22.9,139994,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,52.86859544753472,-73.94366197183115,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,46182,1449.1264596572964,False,False,False,False,118439.14782398927,False,False,False,False
2022-01-07 00:00:00+00:00,23.3,24.2,22.7,22.8,173890,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,48.52802462330484,-73.94366197183115,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,220072,10022.572480847206,False,False,False,False,120613.69104657792,False,False,False,False
2022-01-10 00:00:00+00:00,22.4,23.3,22.2,23.1,140528,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,40.65096851148702,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,79544,12748.902971794376,False,False,False,False,121394.64433886898,False,False,False,False
2022-01-11 00:00:00+00:00,22.6,22.9,22.0,22.4,114468,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,37.502680835839826,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,194012,19857.259717998517,False,False,False,False,121123.01122754079,False,False,False,False
2022-01-12 00:00:00+00:00,22.0,23.1,22.0,23.1,102333,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,33.146029137409656,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,91679,22673.79855258681,False,False,False,False,120386.14804214703,False,False,False,False
2022-01-13 00:00:00+00:00,21.4,22.6,21.4,22.1,158923,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,28.67187314528497,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-67244,19147.610374053995,False,False,False,False,121897.39713853342,False,False,False,False
2022-01-14 00:00:00+00:00,21.3,21.4,20.3,21.1,176348,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.464716212842248,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-243592,8844.096241738152,False,False,False,False,124032.71489780663,False,False,False,False
