date,Close,High,Low,Open,Volume,aVWAP_OB_bull_136,aVWAP_OB_bull_120,aVWAP_OB_bull_107,aVWAP_OB_bull_95,aVWAP_OB_bull_70,aVWAP_OB_bear_164,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,46.8854894868,47.4607032143,46.6693617685,46.9221953604,11992,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11992.0,False,False,False,False
2022-01-07 00:00:00+00:00,44.8936989671,47.0374627669,44.4534219792,46.9087557545,14578,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-14578,-1079.8518518518517,False,False,False,False,12183.555555555557,False,False,False,False
2022-01-14 00:00:00+00:00,44.3037258232,45.7008899457,43.7009809836,44.5524273734,9761,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-24339,-2802.7517146776404,False,False,False,False,12004.106995884775,False,False,False,False
2022-01-21 00:00:00+00:00,41.2753488266,43.8098869172,41.2357466689,43.5623734317,12559,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-36898,-5328.325661738556,False,False,False,False,12045.21018137479,False,False,False,False
2022-01-28 00:00:00+00:00,41.0736748387,41.6515693244,39.2952409433,40.4833056733,13944,,,,,,,0.0,0.0,0.0,0.0,40.67349503546667,#000000,,40.67349503546667,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-50842,-8699.70894605422,False,False,False,False,12185.861279050732,False,False,False,False
2022-02-04 00:00:00+00:00,42.3149054653,43.2930787596,41.3941552996,41.3941552996,8560,,,,,,,0.0,0.0,0.0,0.0,41.305130327250886,#000000,,41.305130327250886,,4.552669335834537,-45.66073703928271,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-42282,-11187.286061161314,False,False,False,False,11917.278962084012,False,False,False,False
2022-02-11 00:00:00+00:00,42.3242119723,43.8147381815,42.0574914405,42.5049958221,12213,,,,,,,0.0,0.0,0.0,0.0,41.807136751875134,#000000,,41.807136751875134,,8.122667076941367,-42.41813772362819,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-30069,-12585.931538112327,False,False,False,False,11939.184224151863,False,False,False,False
2022-02-18 00:00:00+00:00,41.0814962648,43.0440801933,41.0106084026,42.0178892828,16988,,,,,,,0.0,0.0,0.0,0.0,41.77589922482105,#000000,,41.77589922482105,,10.027278752203804,-40.84501906512171,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-47057,-15139.344016770672,False,False,False,False,12313.170577918392,False,False,False,False
2022-02-25 00:00:00+00:00,41.7852266065,41.7852266065,38.0477729769,40.7011175404,73082,,,,,,,0.0,0.0,0.0,0.0,41.051743677007984,#000000,,41.051743677007984,,13.425184495302023,-37.84655984128929,False,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,26025,-12090.133348861735,False,False,False,False,16814.565349924436,False,False,False,False
2022-03-04 00:00:00+00:00,39.8370974656,41.7802763368,39.5823565864,41.7802763368,10902,,,,,,,0.0,0.0,0.0,0.0,40.999371787364446,#000000,,40.999371787364446,,14.746265522527466,-36.87335972326868,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,15123,-10074.345693390494,False,False,False,False,16376.597546226329,False,False,False,False
2022-03-11 00:00:00+00:00,38.2500409971,39.8397706112,38.2500409971,39.8001684535,8658,,,,,,,0.0,0.0,0.0,0.0,40.866249891406675,#000000,,40.866249891406675,,15.041320421524116,-36.83317519930688,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,6465,-8849.20897536157,False,False,False,False,15804.849579839194,False,False,False,False
2022-03-18 00:00:00+00:00,41.3435635432,41.3545531419,37.0973211929,37.9883697404,17841,,,,,,,0.0,0.0,0.0,0.0,40.347636287274746,#000000,,40.347636287274746,,20.16082357175823,-32.11949489605056,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,24306,-6393.26756977923,False,False,False,False,15955.675536888142,False,False,False,False
2022-03-25 00:00:00+00:00,41.0530817167,41.7901768762,40.7506202375,41.2519835536,8297,,,,,,,0.0,0.0,0.0,0.0,40.55916606673741,#000000,,40.55916606673741,,23.92517824229961,-28.806672491848673,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,16009,-4733.8403423881755,False,False,False,False,15388.36623785939,False,False,False,False
