date,Close,High,Low,Open,Volume,aVWAP_peak_172,aVWAP_peak_162,aVWAP_peak_147,aVWAP_peak_121,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_157,aVWAP_valley_136,aVWAP_valley_113,aVWAP_valley_92,aVWAP_valley_79,aVWAP_valley_60,aVWAP_valley_34,aVWAP_OB_bull_176,aVWAP_OB_bull_113,aVWAP_OB_bull_60,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,8.865,9.37599,8.63,9.2,936373,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,936373.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.079,9.55,8.8,8.997,770234,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,770234,57054.370370370365,False,False,False,False,924066.4074074074,False,False,False,False
2022-01-14 00:00:00+00:00,9.127,9.477,8.85,8.928,580674,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1350908,152895.37997256516,False,False,False,False,898629.9327846365,False,False,False,False
2022-01-21 00:00:00+00:00,9.524,10.2,8.9,8.9,785467,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2136375,299819.79627089365,False,False,False,False,890247.4933191079,False,False,False,False
2022-01-28 00:00:00+00:00,8.2,9.599,8.102,9.5,926739,,,,,,,,,,,,,,,,,,,#000000,,,,80.1979548655178,31.280879208809793,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1209636,367213.58913971635,False,False,False,False,892950.5678880629,False,False,False,False
2022-02-04 00:00:00+00:00,8.443,8.867,8.1,8.25,527844,,,,,,,,,,,,,,,,,,,#000000,,,,68.4287319382729,20.967478917867595,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1737480,468714.8047589966,False,False,False,False,865905.6369333916,False,False,False,False
2022-02-11 00:00:00+00:00,8.889,8.997,8.21,8.401,752187,,,,,,,,,,,,,,,,,,,#000000,,,,63.348075248421644,17.239616925105665,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2489667,618414.9673694413,False,False,False,False,857482.0341975847,False,False,False,False
2022-02-18 00:00:00+00:00,8.168,9.0,8.018,8.89,1140940,,,,,,,,,,,,,,,,,,,#000000,,,,56.124020951800034,11.385556199091383,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1348727,672512.1549717049,False,False,False,False,878478.9205533192,False,False,False,False
2022-02-25 00:00:00+00:00,7.7,8.25,7.451,8.2,1021673,,,,,,,,,,,,,,,,,,,#000000,,,,49.36176250317177,5.9597985986297815,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,327054,646922.6620108379,False,False,False,False,889085.8894012214,False,False,False,False
2022-03-04 00:00:00+00:00,8.004,8.294,7.3,7.8,1576736,,,,,,,,,,,,,,,,,,,#000000,,7.8660000000000005,,46.32628643876085,4.01048927937741,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,1903790,740023.9463063314,False,False,False,False,940022.9346307606,False,False,False,False
