date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_80,aVWAP_BoS_CHoCH_bear_98,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2024-08-01 00:00:00+00:00,39.0,40.75,38.61,39.0,30461,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-02 00:00:00+00:00,37.82,39.0,34.89,38.0,98105,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-05 00:00:00+00:00,36.09,36.66,34.0,34.98,37903,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-06 00:00:00+00:00,36.01,37.0,35.0,36.11,13090,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-07 00:00:00+00:00,36.07,37.35,35.67,36.185,78304,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-08 00:00:00+00:00,37.0,37.02,35.79,35.79,14476,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-09 00:00:00+00:00,36.42,37.0,35.37,36.9,22624,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-12 00:00:00+00:00,34.84,36.38,34.84,36.38,85648,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-13 00:00:00+00:00,34.4,35.598,33.48,34.8,16461,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-14 00:00:00+00:00,34.76,35.46,33.4501,33.82,31595,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-15 00:00:00+00:00,34.78,35.46,34.36,34.7,17132,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-16 00:00:00+00:00,34.81,34.9946,34.54,34.92,26868,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-19 00:00:00+00:00,35.69,35.93,34.71,34.7117,9605,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-20 00:00:00+00:00,36.15,36.49,35.56,35.99,34661,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-21 00:00:00+00:00,35.73,36.5,35.56,36.5,18054,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-22 00:00:00+00:00,36.37,36.735,35.28,35.28,44829,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-23 00:00:00+00:00,36.93,37.62,36.04,36.66,31151,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-26 00:00:00+00:00,36.89,37.045,36.75,37.0,45803,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-27 00:00:00+00:00,36.54,36.99,35.61,36.95,17214,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-28 00:00:00+00:00,36.44,36.44,36.1388,36.36,12036,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-29 00:00:00+00:00,36.67,36.91,36.01,36.2,35246,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-08-30 00:00:00+00:00,36.9,36.9,36.18,36.78,32966,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-03 00:00:00+00:00,36.93,37.71,36.3,36.3,47247,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-04 00:00:00+00:00,37.02,37.67,36.75,37.2,61359,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-05 00:00:00+00:00,36.98,37.36,36.3,36.87,74507,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-06 00:00:00+00:00,36.66,37.17,36.18,36.68,35503,,,,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-09 00:00:00+00:00,38.08,39.18,36.99,37.05,65400,,,38.083333333333336,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-10 00:00:00+00:00,37.56,38.21,37.09,37.78,55402,,,37.87084021787719,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-11 00:00:00+00:00,37.22,38.04,36.375,37.75,54132,,,37.6668639601221,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-12 00:00:00+00:00,36.98,37.52,36.64,37.4,72638,,,37.48489713430167,#000000,0,,,0.0,0.0,0.0,0.0
2024-09-13 00:00:00+00:00,34.59,37.1,33.77,36.83,86918,,,36.879034888935394,#000000,0,,,0.0,0.0,0.0,0.0
