date,Open,High,Low,Close,Volume,aVWAP_peak_367,aVWAP_valley_364,aVWAP_valley_308,aVWAP_valley_279,aVWAP_valley_244,aVWAP_valley_207,aVWAP_valley_189,aVWAP_valley_176,aVWAP_valley_127,aVWAP_valley_105,aVWAP_valley_69,aVWAP_valley_44,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-06 16:00:00+00:00,26.55,27.235,26.5,26.98,71720.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,71720.0,False,False,False,False
2024-06-07 16:00:00+00:00,27.38,27.595,26.925,27.075,42981.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,42981.0,666.3720930232558,False,False,False,False,71274.43410852713,False,False,False,False
2024-06-10 16:00:00+00:00,26.82,27.28,26.41,27.27,13047.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,56028.0,1524.6919055345231,False,False,False,False,70371.68319211584,False,False,False,False
2024-06-11 16:00:00+00:00,26.92,27.21,26.82,26.91,5591.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,50437.0,2283.0222635882515,False,False,False,False,69367.33151471871,False,False,False,False
2024-06-12 16:00:00+00:00,27.235,27.235,26.5,27.18,13562.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,63999.0,3239.859127718666,False,False,False,False,68502.132576506,False,False,False,False
2024-06-13 16:00:00+00:00,28.375,29.175,28.0,28.9,3040.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,67039.0,4228.993094730779,False,False,False,False,67487.21579237413,False,False,False,False
2024-06-14 16:00:00+00:00,29.78,30.31,29.685,30.235,9489.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,76528.0,5349.907930471387,False,False,False,False,66588.01864830632,False,False,False,False
2024-06-17 16:00:00+00:00,29.945,30.86,29.7,30.335,8927.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,85455.0,6591.847342402063,False,False,False,False,65694.04936693722,False,False,False,False
2024-06-18 16:00:00+00:00,30.75,31.25,30.555,31.24,25144.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,110599.0,8204.361337093504,False,False,False,False,65065.36643101572,False,False,False,False
2024-06-19 16:00:00+00:00,31.24,31.24,31.24,31.24,0.0,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,110599.0,9791.875114812985,False,False,False,False,64056.601059992216,False,False,False,False
