date,Close,High,Low,Open,Volume,aVWAP_peak_161,aVWAP_peak_143,aVWAP_peak_127,aVWAP_peak_112,aVWAP_peak_83,aVWAP_peak_72,aVWAP_peak_57,aVWAP_valley_171,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,37.06,37.69,36.28,37.52,2444693,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,34.38,38.12,33.78,37.19,5839404,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,32.33,35.13,31.68,33.76,6030969,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,30.05,32.7,29.63,32.17,5471373,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,29.45,31.14,28.17,29.32,8722199,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,31.14,32.85,29.36,29.48,5511827,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,26.9,34.45,26.52,30.24,17475759,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,28.34,30.74,26.98,27.14,9934904,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,26.73,28.14,24.0,27.5,5759062,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,24.09,26.95,23.81,26.54,4992926,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,22.52,24.23,21.68,23.89,5559154,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,26.3,26.52,21.2,22.45,5917126,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,26.37,27.45,25.69,26.15,4391518,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,26.18,28.53,25.71,26.41,3521336,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,24.25,27.13,24.18,26.31,3474087,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,23.65,25.43,23.41,23.94,5265599,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,21.84,24.5,21.81,23.6,5684706,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,21.77,22.91,20.74,21.6,6433701,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,19.97,23.08,19.56,21.58,6015730,,,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,20.77,21.37,17.91,19.49,8003370,,,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,20.31,21.72,18.92,20.45,12160719,,,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,20.43,20.5,18.08,20.01,7980496,,,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,20.78,21.48,19.52,20.59,4172813,,,,,,,,,,,#000000
2022-06-10 00:00:00+00:00,19.99,21.76,19.85,21.07,3620279,,,,,,,,,,,#000000
2022-06-17 00:00:00+00:00,18.4,19.47,17.7621,19.1,3480954,,,,,,,,,,,#000000
2022-06-24 00:00:00+00:00,19.85,20.05,18.3273,18.87,2984905,,,,,,,,,,,#000000
2022-07-01 00:00:00+00:00,17.63,20.16,17.35,19.88,3850558,,,,,,,,,,,#000000
2022-07-08 00:00:00+00:00,18.29,18.535,17.07,17.3,3539797,,,,,,,,,,,#000000
2022-07-15 00:00:00+00:00,17.63,18.09,16.65,17.95,3087179,,,,,,,,,,,#000000
2022-07-22 00:00:00+00:00,19.18,19.93,17.89,17.89,5829142,,,,,,,,,,,#000000
