date,Close,High,Low,Open,Volume,aVWAP_peak_173,aVWAP_peak_134,aVWAP_peak_56,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_110,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,6.86,6.98,6.655,6.9,4206854,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,6.37,7.015,6.29,6.74,4590011,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,6.57,6.705,6.19,6.31,5005454,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,6.84,7.31,6.44,6.55,6337165,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,6.15,6.9,5.965,6.77,8833486,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,6.22,6.86,6.15,6.17,8063784,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,6.7,6.79,6.245,6.3,7607643,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,7.05,7.29,6.58,6.86,6564475,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,7.06,7.45,6.7601,7.06,6668445,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,7.46,7.48,6.91,7.1,7657477,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,7.69,7.89,7.32,7.52,10659066,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,7.84,8.13,7.34,7.53,12460133,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,7.72,8.07,7.605,7.9,6744850,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,7.97,7.985,7.4188,7.62,7463657,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,7.91,8.1799,7.62,8.0,6434494,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,8.2,8.24,7.67,7.99,5772914,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,7.46,8.36,7.32,8.23,8929746,,,,7.713333333333334,,,7.713333333333334,,#000000
2022-04-29 00:00:00+00:00,6.22,7.32,6.22,7.17,9279761,,,,7.139171858597454,,,7.139171858597454,,#000000
2022-05-06 00:00:00+00:00,5.77,6.44,5.75,6.09,8022280,,,,6.7867094300514115,,,6.7867094300514115,,#000000
2022-05-13 00:00:00+00:00,5.51,5.77,5.22,5.67,12738816,,,,6.366106375105359,,,6.366106375105359,,#000000
2022-05-20 00:00:00+00:00,5.68,5.79,5.395,5.51,7555656,,,,6.245212701928174,,,6.245212701928174,,#000000
2022-05-27 00:00:00+00:00,5.76,5.85,5.56,5.8,8723136,,,,6.162814972363046,,,6.162814972363046,,#000000
2022-06-03 00:00:00+00:00,5.96,6.2,5.51,5.82,6493297,,,,6.134123825537118,,,6.134123825537118,,#000000
2022-06-10 00:00:00+00:00,5.9,6.06,5.43,6.04,6296172,,,,6.102896256615925,,,6.102896256615925,,#000000
