date,Open,High,Low,Close,Volume,aVWAP_peak_601,aVWAP_peak_579,aVWAP_peak_543,aVWAP_peak_504,aVWAP_peak_503,aVWAP_peak_473,aVWAP_peak_441,aVWAP_peak_381,aVWAP_peak_360,aVWAP_valley_595,aVWAP_valley_557,aVWAP_valley_526,aVWAP_valley_453,aVWAP_valley_427,aVWAP_valley_373,aVWAP_valley_354,aVWAP_valley_318,aVWAP_valley_294,aVWAP_valley_293,aVWAP_valley_270,aVWAP_valley_218,aVWAP_valley_179,aVWAP_valley_161,aVWAP_OB_bull_595,aVWAP_OB_bull_453,aVWAP_OB_bull_354,aVWAP_OB_bull_161,aVWAP_OB_bear_579,aVWAP_OB_bear_473,aVWAP_OB_bear_381,aVWAP_OB_bear_360,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,11.55,11.69,11.55,11.69,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,39.0,False,False,False,False
2023-10-31 16:00:00+00:00,11.69,11.69,11.42,11.475,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-17.0,-0.26356589147286824,False,False,False,False,38.65891472868216,False,False,False,False
2023-11-01 16:00:00+00:00,11.335,11.335,11.04,11.165,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-269.0,-4.430022234240731,False,False,False,False,41.966528453818874,False,False,False,False
2023-11-02 16:00:00+00:00,11.165,11.9,11.165,11.73,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.638890585863535,-33.22499847272282,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,353.0,1.1115284980730786,False,False,False,False,50.95929545453485,False,False,False,False
2023-11-03 16:00:00+00:00,12.04,12.04,11.61,11.61,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.868048204041234,-25.137090051514704,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,156.0,3.512900149265744,False,False,False,False,53.223492424231985,False,False,False,False
2023-11-06 16:00:00+00:00,11.61,11.61,11.36,11.36,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.12868690448303,-23.412709176955378,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-255.0,-0.49505179103294994,False,False,False,False,58.770415022305905,False,False,False,False
2023-11-06 20:00:00+00:00,11.36,11.585,11.36,11.585,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.97846116527881,-18.90946150754643,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,62.0,0.4738637406109717,False,False,False,False,62.773974479324416,False,False,False,False
2023-11-07 16:00:00+00:00,11.585,11.655,11.585,11.655,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.871175057230616,-15.09227911636436,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,69.0,1.5362844578108015,False,False,False,False,61.909261696699225,False,False,False,False
2023-11-07 20:00:00+00:00,11.655,11.655,11.655,11.655,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,46.13298431853182,-12.526452774742111,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,69.0,2.582233535984277,False,False,False,False,60.94942818202172,False,False,False,False
2023-11-08 16:00:00+00:00,11.655,11.655,11.31,11.6,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.33182461240616,-11.54654809511878,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-502.0,-5.240746828914704,False,False,False,False,68.85718898540122,False,False,False,False
