date,Close,High,Low,Open,Volume,aVWAP_OB_bull_632,aVWAP_OB_bear_642,aVWAP_OB_bear_497,aVWAP_OB_bear_394,aVWAP_OB_bear_274,aVWAP_OB_bear_155,aVWAP_OB_bear_3,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,168.15,169.65,152.1,152.7,114220,,,,,,,,
2022-01-04 00:00:00+00:00,171.9,172.95,167.25,168.15,65829,,,,,,,,
2022-01-05 00:00:00+00:00,164.85,172.35,163.8,172.35,62940,,,,,,,,
2022-01-06 00:00:00+00:00,170.25,173.7,165.3,168.9,42234,,,,,,,169.75,
2022-01-07 00:00:00+00:00,168.0,173.25,166.35,169.5,34381,,,,,,,169.50318736539842,
2022-01-10 00:00:00+00:00,162.9,166.125,161.55,166.05,50408,,,,,,,167.13079442305724,
2022-01-11 00:00:00+00:00,165.0,166.275,161.025,165.0,42521,,,,,,,166.37068253668664,
2022-01-12 00:00:00+00:00,161.4,166.5,161.1,165.6,26809,,,,,,,165.91046737253822,
2022-01-13 00:00:00+00:00,160.8,165.0,160.5,162.0,23552,,,,,,,165.50236329324028,
2022-01-14 00:00:00+00:00,159.0,161.25,154.275,157.5,31734,,,,,,,164.5783151657732,
2022-01-18 00:00:00+00:00,152.55,157.5,152.55,156.75,25066,,,,,,,163.63817007282128,
2022-01-19 00:00:00+00:00,155.25,157.05,152.55,153.0,24054,,,,,,,162.9433105908718,
2022-01-20 00:00:00+00:00,152.55,161.25,152.25,156.75,46732,,,,,,,161.92213136455337,
2022-01-21 00:00:00+00:00,146.85,151.95,145.95,150.9,44710,,,,,,,160.36354025104478,
2022-01-24 00:00:00+00:00,156.45,157.35,141.6,142.8,51427,,,,,,,159.3708229642854,
2022-01-25 00:00:00+00:00,158.55,161.25,152.55,153.9,36421,,,,,,,159.2250913969199,
2022-01-26 00:00:00+00:00,149.55,161.55,149.4,161.25,48620,,,,,,,158.69857302016953,
2022-01-27 00:00:00+00:00,146.7,153.6,144.9,151.95,28808,,,,,,,158.16638731283982,
2022-01-28 00:00:00+00:00,147.3,147.45,140.1,145.8,36512,,,,,,,157.3539871950491,
2022-01-31 00:00:00+00:00,153.0,153.0,144.6,146.1,31169,,,,,,,156.99730516125524,
2022-02-01 00:00:00+00:00,152.7,153.6,148.35,152.1,29076,,,,,,,156.75521159095982,
2022-02-02 00:00:00+00:00,150.15,155.25,147.6,151.65,38276,,,,,,,156.43711296587776,
2022-02-03 00:00:00+00:00,144.45,148.35,143.25,147.15,31207,,,,,,,155.95903170714521,
2022-02-04 00:00:00+00:00,148.95,150.15,141.6,143.4,47625,,,,,,,155.39969954961614,
2022-02-07 00:00:00+00:00,149.1,153.6,148.65,149.7,44845,,,,,,,155.12774070157943,
2022-02-08 00:00:00+00:00,157.95,159.6,148.875,149.4,74491,,,,,,,155.156783399837,
2022-02-09 00:00:00+00:00,121.95,130.8,117.0,123.0,456416,,,,,,,144.3462783777524,123.25
2022-02-10 00:00:00+00:00,120.75,125.7,119.4,120.3,117161,,,,,,,142.5542610235239,122.98445709991859
2022-02-11 00:00:00+00:00,129.45,131.55,126.3,127.05,137715,,,,,,,141.3976516258107,124.16850245749988
2022-02-14 00:00:00+00:00,131.7,134.85,128.7,128.7,76793,,,,,,,140.95633137315988,124.90726279525686
2022-02-15 00:00:00+00:00,135.45,135.45,129.15,132.75,80765,,,,,,,140.60718924336527,125.6920676181159
2022-02-16 00:00:00+00:00,136.2,139.65,133.95,136.5,55905,,,,,,,140.48379063011413,126.35149412547108
2022-02-17 00:00:00+00:00,133.5,136.95,132.375,135.6,30327,,,,,,,140.38177628727462,126.60309154083104
2022-02-18 00:00:00+00:00,128.4,133.8,127.65,131.85,45317,,,,,,,140.13179344363027,126.75470289854348
2022-02-22 00:00:00+00:00,123.45,129.6,122.85,126.9,40813,,,,,,,139.81845780556864,126.69768205226218
2022-02-23 00:00:00+00:00,121.2,126.4275,120.15,124.2,35069,,,,,,,139.5113354332754,126.56392086035153
2022-02-24 00:00:00+00:00,124.8,125.1,117.3,118.05,47668,,,,,,,139.10646488531125,126.38732407564756
2022-02-25 00:00:00+00:00,125.55,126.15,122.8875,123.15,27192,,,,,,,138.91677035648115,126.35130501606666
2022-02-28 00:00:00+00:00,132.45,132.45,125.1,125.1,30716,,,,,,,138.78461938278485,126.44613316797209
2022-03-01 00:00:00+00:00,129.6,133.2,128.175,130.65,35255,,,,,,,138.64312336973796,126.55848885106711
2022-03-02 00:00:00+00:00,128.85,130.77,127.35,130.05,48777,,,,,,,138.424790065646,126.65217938737123
2022-03-03 00:00:00+00:00,130.8,133.65,129.15,130.2,50791,,,,,,,138.25854865295977,126.82761180582979
