date,Open,High,Low,Close,Volume,aVWAP_peak_405,aVWAP_peak_383,aVWAP_peak_350,aVWAP_peak_314,aVWAP_peak_290,aVWAP_valley_418,aVWAP_valley_384,aVWAP_valley_362,aVWAP_valley_340,aVWAP_valley_300,aVWAP_valley_248,aVWAP_valley_208,aVWAP_valley_188,aVWAP_valley_155,aVWAP_valley_109,aVWAP_valley_70,aVWAP_OB_bull_248,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-20 17:00:00+00:00,2.29,2.365,2.29,2.305,9869.0,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9869.0,False,False,False,False
2023-11-21 17:00:00+00:00,2.245,2.28,2.215,2.23,15433.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15433.0,-239.27131782945736,False,False,False,False,9955.263565891473,False,False,False,False
2023-11-22 17:00:00+00:00,2.255,2.27,2.165,2.245,34352.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,6.12244897959187,-59.183673469387806,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18919.0,57.75614446247221,False,False,False,False,10333.507541614086,False,False,False,False
2023-11-23 17:00:00+00:00,2.245,2.245,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.204081632653118,-54.89795918367349,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18919.0,350.1785298196432,False,False,False,False,10173.298122364255,False,False,False,False
2023-11-24 17:00:00+00:00,2.22,2.245,2.21,2.215,9207.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.982085476768033,-53.46306184641905,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9712.0,495.32304873716805,False,False,False,False,10158.316756126049,False,False,False,False
2023-11-27 17:00:00+00:00,2.325,2.365,2.305,2.335,15648.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.64814961860732,-36.565386390226905,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25360.0,880.8219161986074,False,False,False,False,10243.428124248125,False,False,False,False
2023-11-28 17:00:00+00:00,2.275,2.335,2.26,2.32,11113.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.79632220054124,-27.31525838494718,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14247.0,1088.0494833893265,False,False,False,False,10256.909858755906,False,False,False,False
2023-11-29 17:00:00+00:00,2.275,2.355,2.255,2.275,29231.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.524233506788825,-24.790423514963507,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14984.0,838.8704216313524,False,False,False,False,10551.081798930232,False,False,False,False
2023-11-30 17:00:00+00:00,2.255,2.285,2.245,2.265,15365.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.57947492103787,-23.31808888047817,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30349.0,355.3375468773779,False,False,False,False,10625.716189644492,False,False,False,False
2023-12-01 17:00:00+00:00,2.35,2.385,2.315,2.37,41950.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,50.019869692178446,-15.718891373439789,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11601.0,529.6889027397441,False,False,False,False,11111.364000657755,False,False,False,False
2023-12-04 17:00:00+00:00,2.415,2.505,2.38,2.445,29422.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.443333333333334,,57.635772737201556,-8.133394439319659,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41023.0,1157.4921755654846,False,False,False,False,11395.249830104922,False,False,False,False
2023-12-05 17:00:00+00:00,2.405,2.41,2.31,2.335,34990.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.39353800534062,,56.09488040650153,-8.133394439319659,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6033.0,1233.0814441613684,False,False,False,False,11761.059910258333,False,False,False,False
2023-12-06 17:00:00+00:00,2.415,2.42,2.345,2.36,9787.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.3910928044852358,,56.08769188805629,-8.133394439319659,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15820.0,1459.235220220882,False,False,False,False,11730.454330254326,False,False,False,False
2023-12-07 17:00:00+00:00,2.445,2.455,2.28,2.295,13032.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.3839577099884215,,53.09197068010065,-8.133394439319659,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2788.0,1479.8362245585427,False,False,False,False,11750.633332886042,False,False,False,False
2023-12-08 17:00:00+00:00,2.355,2.405,2.34,2.365,18308.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.381536446242621,,53.95822127614616,-8.133394439319659,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21096.0,1783.9627947204256,False,False,False,False,11852.29793237618,False,False,False,False
2023-12-11 17:00:00+00:00,2.28,2.335,2.255,2.325,55434.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.355179719580302,,52.78101482992051,-8.133394439319659,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-34338.0,1223.9323637945272,False,False,False,False,12527.983235750191,False,False,False,False
