date,Close,High,Low,Open,Volume,aVWAP_OB_bull_162,aVWAP_OB_bear_95,aVWAP_OB_bear_24,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,57.5975231524,58.6657925154,56.0618859432,57.8200792697,1703737,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1703737.0,False,False,False,False
2022-01-07 00:00:00+00:00,60.8023312413,61.0248873586,55.3051951444,57.1524109179,2488079,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,2488079,184302.14814814815,False,False,False,False,1761836.4074074074,False,False,False,False
2022-01-14 00:00:00+00:00,61.7815781573,63.9626281067,59.021882303,61.6035332635,2839890,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,5327969,565314.5075445815,False,False,False,False,1841692.229080933,False,False,False,False
2022-01-21 00:00:00+00:00,72.6423166807,72.6868279041,62.8943587437,63.0724036376,3309201,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,8637170,1163229.729207946,False,False,False,False,1950396.5824823454,False,False,False,False
2022-01-28 00:00:00+00:00,73.6215635967,79.3635114226,67.9241269943,74.9123890769,8898210,,,,0.0,0.0,0.0,0.0,73.63640067120001,#000000,,73.63640067120001,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,17535380,2375981.6011184687,False,False,False,False,2465049.4282243936,False,False,False,False
2022-02-04 00:00:00+00:00,70.9954014128,74.6898329597,67.3009698659,74.2447207251,4335336,,,,0.0,0.0,0.0,0.0,72.77120405942907,#000000,,72.77120405942907,,96.40404638645002,46.572606712085175,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,13200044,3177764.001035619,False,False,False,False,2603589.174281846,False,False,False,False
2022-02-11 00:00:00+00:00,68.8143514634,71.2620236413,63.7841381006,70.9063789659,4497318,,,,0.0,0.0,0.0,0.0,71.54922596580663,#000000,,71.54922596580663,,91.26276328401393,41.79874149930214,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,8702726,3587020.445403351,False,False,False,False,2743865.3835943015,False,False,False,False
2022-02-18 00:00:00+00:00,69.6600647091,70.1274325554,64.674807682,68.4582616758,4920511,,,,0.0,0.0,0.0,0.0,70.81171018373888,#000000,,70.81171018373888,,87.55918362870065,38.541696802483415,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,13623237,4330443.893891992,False,False,False,False,2905098.3922169455,False,False,False,False
2022-02-25 00:00:00+00:00,67.211947419,78.1171971658,67.1229249721,70.3722442844,4830697,,,,0.0,0.0,0.0,0.0,70.81270267566765,#000000,,70.81270267566765,,82.46489999712779,34.01273427539758,False,False,True,False,False,,,,1,,,False,False,False,False,,,False,False,False,False,8792540,4660969.531381474,False,False,False,False,3047735.326126802,False,False,False,False
2022-03-04 00:00:00+00:00,69.2149524745,70.6170560134,65.16443114,68.5472841227,5571800,,,,0.0,0.0,0.0,0.0,70.39456217273231,#000000,,70.39456217273231,,79.32627276705342,31.429869256757854,False,True,True,False,False,,,,1,,,False,False,False,False,,,False,False,False,False,14364340,5379737.714242106,False,False,False,False,3234703.0797470384,False,False,False,False
