date,Open,High,Low,Close,Volume,aVWAP_peak_610,aVWAP_peak_572,aVWAP_valley_606,aVWAP_valley_582,aVWAP_valley_557,aVWAP_valley_531,aVWAP_valley_501,aVWAP_valley_475,aVWAP_valley_455,aVWAP_valley_420,aVWAP_valley_354,aVWAP_valley_338,aVWAP_valley_323,aVWAP_valley_270,aVWAP_valley_242,aVWAP_valley_211,aVWAP_valley_188,aVWAP_valley_173,aVWAP_valley_141,aVWAP_valley_120,aVWAP_valley_71,aVWAP_valley_53,aVWAP_valley_16,aVWAP_valley_15,aVWAP_OB_bull_621,aVWAP_OB_bull_475,aVWAP_OB_bull_455,aVWAP_OB_bull_270,aVWAP_OB_bull_211,aVWAP_OB_bull_173,aVWAP_OB_bull_141,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,24.18,24.445,24.135,24.39,89950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,1.0,24.135,24.445,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,89950.0,False,False,False,False
2023-10-31 16:00:00+00:00,24.48,24.595,24.38,24.575,84341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,84341.0,1307.6124031007753,False,False,False,False,89863.03875968992,False,False,False,False
2023-11-01 16:00:00+00:00,24.725,24.93,24.59,24.71,166286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,250627.0,5173.029265068205,False,False,False,False,91047.8908719428,False,False,False,False
2023-11-02 16:00:00+00:00,25.4,25.415,25.045,25.085,196907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,447534.0,12031.338888865597,False,False,False,False,92689.1173700522,False,False,False,False
2023-11-03 16:00:00+00:00,25.5,25.62,25.365,25.375,145031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,592565.0,21031.860766557606,False,False,False,False,93500.61942633046,False,False,False,False
2023-11-06 16:00:00+00:00,25.23,25.41,25.205,25.295,48130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.84187725631776,47.157689530685985,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,544435.0,29146.638119014075,False,False,False,False,92797.1989701083,False,False,False,False
2023-11-06 20:00:00+00:00,25.295,25.325,25.135,25.145,62261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.71040491883917,40.92885179157619,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,482174.0,36170.318148176644,False,False,False,False,92323.76952871126,False,False,False,False
2023-11-07 16:00:00+00:00,25.915,26.05,25.79,25.93,311242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.00817397867056,40.825792213470976,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,793416.0,47910.56127766228,False,False,False,False,95717.85062128937,False,False,False,False
2023-11-07 20:00:00+00:00,25.925,26.015,25.9,25.925,96142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,88.43678683078782,40.622308722705085,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,697274.0,57978.2114904117,False,False,False,False,95724.42658064922,False,False,False,False
2023-11-08 16:00:00+00:00,25.575,25.605,25.285,25.565,97002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,81.57838570199698,34.59778517167142,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,600272.0,66385.86712621927,False,False,False,False,95744.23392048411,False,False,False,False
