date,Open,High,Low,Close,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score
2025-07-24 16:00:00+00:00,28.55,28.75,26.0,26.58,644944.0,0,,
2025-07-25 16:00:00+00:00,29.95,31.095,28.885,29.825,129435.0,0,,
2025-07-28 16:00:00+00:00,30.255,30.865,29.16,29.61,95670.0,0,,
2025-07-29 16:00:00+00:00,28.095,28.82,27.79,28.26,52822.0,0,,
2025-07-30 16:00:00+00:00,28.28,28.4,26.75,27.32,67556.0,0,,
2025-07-31 16:00:00+00:00,27.05,27.53,26.82,27.455,34447.0,0,,
2025-08-01 16:00:00+00:00,26.825,27.62,26.595,26.96,20681.0,0,,
2025-08-04 16:00:00+00:00,26.835,27.265,26.52,27.085,15681.0,0,,
2025-08-05 16:00:00+00:00,27.505,28.455,27.445,28.45,11213.0,0,,
