date,Close,High,Low,Open,Volume,aVWAP_peak_167,aVWAP_valley_126,aVWAP_valley_92,aVWAP_valley_75,aVWAP_valley_39,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,60.65,63.47,60.58,62.13,620282,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,620282.0,False,False,False,False
2022-01-07 00:00:00+00:00,60.32,62.84,60.05,60.69,885534,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-885534,-65595.11111111111,False,False,False,False,639930.2962962963,False,False,False,False
2022-01-14 00:00:00+00:00,59.65,60.9,58.9187,60.0,843086,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1728620,-188782.13991769546,False,False,False,False,654978.8669410151,False,False,False,False
2022-01-21 00:00:00+00:00,57.97,59.288,55.93,59.02,1002515,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2731135,-377104.57399786613,False,False,False,False,680722.2842046436,False,False,False,False
2022-01-28 00:00:00+00:00,57.88,59.35,55.6606,57.88,1624465,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-4355600,-671807.938886913,False,False,False,False,750629.1520413365,False,False,False,False
2022-02-04 00:00:00+00:00,58.33,62.74,55.31,57.03,2323870,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2031730,-772542.9063767713,False,False,False,False,867165.5111493857,False,False,False,False
2022-02-11 00:00:00+00:00,59.38,60.9,56.49,58.78,1619211,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-412519,-745874.4688673808,False,False,False,False,922872.5843975793,False,False,False,False
2022-02-18 00:00:00+00:00,59.37,59.77,57.5,59.16,1295272,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1707791,-817127.5452475748,False,False,False,False,950457.7262940549,False,False,False,False
2022-02-25 00:00:00+00:00,58.58,59.6789,56.26,59.48,855853,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2563644,-946499.1344884952,False,False,False,False,943449.9687907916,False,False,False,False
2022-03-04 00:00:00+00:00,59.09,61.24,57.7601,58.14,1487291,,,,,,,,#000000,,,,False,False,False,False,-0.038731223239074415,-0.038731223239074415,False,False,False,False,-1076353,-956117.9393411994,False,False,False,False,983734.4896211033,False,False,False,False
