date,Close,High,Low,Open,Volume,aVWAP_OB_bull_139,aVWAP_OB_bear_273,aVWAP_OB_bear_259,aVWAP_OB_bear_177,aVWAP_OB_bear_147,aVWAP_OB_bear_53,aVWAP_OB_bear_27,aVWAP_OB_bear_16,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,10.07,10.13,8.78,9.17,220152,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,220152.0,False,False,False,False
2022-01-04 00:00:00+00:00,9.29,10.09,9.141,9.97,128965,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-128965,-5057.450980392156,False,False,False,False,216576.0392156863,False,False,False,False
2022-01-05 00:00:00+00:00,8.02,9.405,8.0,9.22,93718,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-222683,-13591.786236063052,False,False,False,False,211758.07689350253,False,False,False,False
2022-01-06 00:00:00+00:00,8.44,8.54,7.5,8.05,138158,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,6.308654848800828,-44.21706638859924,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-84525,-16373.480893472344,False,False,False,False,208871.79936826715,False,False,False,False
2022-01-07 00:00:00+00:00,8.05,8.51,7.76,8.51,39254,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,9.492432467195334,-41.649084396670986,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-123779,-20585.462034904802,False,False,False,False,202220.12096166844,False,False,False,False
2022-01-10 00:00:00+00:00,9.15,9.23,7.61,8.05,91713,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,20.99632575157876,-31.499775935924795,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32066,-21035.679210006572,False,False,False,False,197886.50837493635,False,False,False,False
2022-01-11 00:00:00+00:00,8.88,9.27,8.44,9.21,106283,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,27.45060587412457,-26.454700237575224,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-138349,-25636.201593927883,False,False,False,False,194294.21392886044,False,False,False,False
2022-01-12 00:00:00+00:00,8.21,9.26,8.08,9.13,109307,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,29.27263256791529,-25.654642559745014,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-247656,-34342.86035495032,False,False,False,False,190961.38201008158,False,False,False,False
2022-01-13 00:00:00+00:00,7.54,8.25,7.38,8.2,73767,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,28.63697201571186,-25.654642559745014,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-321423,-45600.905046913045,False,False,False,False,186365.52389203917,False,False,False,False
2022-01-14 00:00:00+00:00,8.35,8.39,7.33,7.34,81773,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,32.648327365807916,-23.519364728590332,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-239650,-53210.67347644587,False,False,False,False,182263.8562884298,False,False,False,False
2022-01-18 00:00:00+00:00,7.64,8.2321,7.37,8.21,68418,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,33.287502866005745,-23.188943866114805,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-308068,-63205.078438153876,False,False,False,False,177799.3129045698,False,False,False,False
2022-01-19 00:00:00+00:00,7.12,7.72,7.07,7.72,34075,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,32.470546139574765,-23.188943866114805,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-342143,-74143.82046018707,False,False,False,False,172163.0653396847,False,False,False,False
2022-01-20 00:00:00+00:00,7.09,7.52,7.01,7.19,77367,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,31.856010476409857,-23.188943866114805,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-419510,-87687.5922068464,False,False,False,False,168445.57258126567,False,False,False,False
2022-01-21 00:00:00+00:00,6.85,7.0,6.31,6.93,115179,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,30.86989572891425,-23.188943866114805,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-534689,-105217.05917912694,False,False,False,False,166356.68738200038,False,False,False,False
2022-01-24 00:00:00+00:00,7.23,7.35,5.84,6.78,127314,,,,,,,,,6.8066666666666675,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,32.33451459076779,-23.188943866114805,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-407375,-117066.3901917102,False,False,False,False,164825.6016023141,False,False,False,False
2022-01-25 00:00:00+00:00,7.4,7.48,6.72,6.98,86104,,,,,,,,,6.965357936069124,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,34.221568543539064,-21.881702808813763,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-321271,-125074.41410576079,False,False,False,False,161738.4799708508,False,False,False,False
2022-01-26 00:00:00+00:00,7.81,8.0,6.705,7.11,131641,,,,,,,,7.505000000000001,7.3381164670389705,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,37.560554832857974,-18.566828385133014,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-189630,-127606.00570945645,False,False,False,False,160558.18663866058,False,False,False,False
2022-01-27 00:00:00+00:00,6.27,7.91,6.18,7.69,143975,,,,,,,,7.129760385221952,7.093887172016634,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,35.4543554935887,-18.566828385133014,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-333605,-135684.39764241895,False,False,False,False,159907.86559400725,False,False,False,False
2022-01-28 00:00:00+00:00,6.12,6.43,5.85,6.31,107472,,,,,,,,6.850221459125145,6.870818231526789,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,33.73242631485715,-18.566828385133014,False,False,False,True,False,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-441077,-147660.57812702996,False,False,False,False,157851.55713934032,False,False,False,False
2022-01-31 00:00:00+00:00,6.16,6.57,5.86,6.16,128634,,,,,,,,6.685934273557388,6.727053256930205,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,32.790634164200476,-18.566828385133014,False,False,False,True,False,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-312443,-154122.63388675428,False,False,False,False,156705.7705848564,False,False,False,False
2022-02-01 00:00:00+00:00,6.28,6.3854,5.83,6.23,76017,,,,,,,,6.618574909838097,6.664764196015572,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,32.817886688616944,-18.566828385133014,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-236426,-157350.21687158744,False,False,False,False,153541.50507172477,False,False,False,False
2022-02-02 00:00:00+00:00,5.81,6.36,5.67,6.36,34315,,,,,,,,6.581509749314368,6.630535995748017,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,31.639815963724182,-18.566828385133014,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-270741,-161796.91424917223,False,False,False,False,148865.95585322575,False,False,False,False
2022-02-03 00:00:00+00:00,5.53,5.88,5.5,5.71,37059,,,,,,,,6.528385414337148,6.581826381846035,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,30.20272316070387,-14.413802905813,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-307800,-167522.52545508704,False,False,False,False,144481.36934917766,False,False,False,False
