date,Close,High,Low,Open,Volume,aVWAP_OB_bull_378,aVWAP_OB_bear_446,aVWAP_OB_bear_423,aVWAP_OB_bear_407,aVWAP_OB_bear_293,aVWAP_OB_bear_173,aVWAP_OB_bear_154,aVWAP_OB_bear_116,aVWAP_OB_bear_64,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,2.88,3.03,2.88,3.01,174925,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,174925.0,False,False,False,False
2022-01-04 00:00:00+00:00,2.79,2.99,2.76,2.95,432438,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-432438,-16958.352941176472,False,False,False,False,185023.54901960786,False,False,False,False
2022-01-05 00:00:00+00:00,2.61,2.82,2.57,2.78,801236,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1233674,-64672.692041522496,False,False,False,False,209188.74317570167,False,False,False,False
2022-01-06 00:00:00+00:00,2.65,2.679,2.48,2.59,811318,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,4.795877923107412,-45.60377857048487,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-422356,-78699.48843205103,False,False,False,False,232801.6552080271,False,False,False,False
2022-01-07 00:00:00+00:00,2.59,2.71,2.54,2.65,285571,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,7.073034712715918,-43.782822509071934,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-707927,-103375.0771209902,False,False,False,False,234871.04127830057,False,False,False,False
2022-01-10 00:00:00+00:00,2.55,2.6,2.42,2.53,933649,,,,,,,,,,2.523333333333333,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,8.113106659071743,-43.122455474443015,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1641576,-163696.6819397749,False,False,False,False,262274.0984830731,False,False,False,False
2022-01-11 00:00:00+00:00,2.69,2.74,2.51,2.55,890883,,,,,,,,,,2.583554568148617,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,18.444731821321227,-33.881161871815934,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-750693,-186716.14539311704,False,False,False,False,286925.42795432516,False,False,False,False
2022-01-12 00:00:00+00:00,2.6,2.77,2.57,2.73,494486,,,,,,,,,,2.6218393381738876,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,22.91491939322198,-30.476056466946435,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1245179,-228224.49263260263,False,False,False,False,295065.0582306261,False,False,False,False
2022-01-13 00:00:00+00:00,2.54,2.73,2.54,2.6,546854,,,,,,,,,,2.611064311383528,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,24.6238338645079,-29.554998154812477,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1792033,-289550.31645093195,False,False,False,False,304939.1343784447,False,False,False,False
2022-01-14 00:00:00+00:00,2.52,2.56,2.42,2.48,524672,,,,,,,,,,2.5827076029020137,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,25.370054857154177,-29.302005910427802,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2316705,-369046.57855089544,False,False,False,False,313556.1095008586,False,False,False,False
