date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_198,Gap_Up_aVWAP_186,Gap_Up_aVWAP_168,Gap_Up_aVWAP_150,Gap_Up_aVWAP_138,Gap_Up_aVWAP_126,Gap_Up_aVWAP_108,Gap_Up_aVWAP_102,Gap_Up_aVWAP_12,Gap_Up_aVWAP_6,Gap_Down_aVWAP_180,Gap_Down_aVWAP_162,Gap_Down_aVWAP_156,Gap_Down_aVWAP_78,Gap_Down_aVWAP_54,Gap_Down_aVWAP_48,aVWAP_OB_bear_155,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-24 14:00:00+00:00,6.72,6.755,6.715,6.745,11113.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,11113.0,False,False,False,False
2025-03-24 15:00:00+00:00,6.745,6.745,6.715,6.735,21340.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-21340.0,-330.85271317829455,False,False,False,False,11271.558139534884,False,False,False,False
2025-03-24 16:00:00+00:00,6.735,6.735,6.675,6.705,4096.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25436.0,-720.0798028964605,False,False,False,False,11160.309176131243,False,False,False,False
2025-03-24 17:00:00+00:00,6.705,6.705,6.675,6.675,50482.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-75918.0,-1885.9390307585309,False,False,False,False,11769.947793555564,False,False,False,False
2025-03-24 18:00:00+00:00,6.675,6.675,6.655,6.675,27486.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-75918.0,-3033.7229217545228,False,False,False,False,12013.607517686485,False,False,False,False
2025-03-24 19:00:00+00:00,6.675,6.69,6.66,6.66,92251.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-168169.0,-5593.959775680809,False,False,False,False,13257.598098807624,False,False,False,False
2025-03-25 14:00:00+00:00,6.785,6.805,6.75,6.755,55356.0,,,,,,,,,,6.769999999999999,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.605395088672,-31.4551444201952,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-112813.0,-7256.270476833044,False,False,False,False,13910.286500376498,False,False,False,False
2025-03-25 15:00:00+00:00,6.75,6.795,6.735,6.775,32845.0,,,,,,,,,,6.769379353219729,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.96780068116267,-18.865303092273916,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-79968.0,-8383.584112851137,False,False,False,False,14203.847949983063,False,False,False,False
2025-03-25 16:00:00+00:00,6.775,6.795,6.765,6.785,40532.0,,,,,,,,,,6.773248053464664,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.95351194494678,-10.559279933255162,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-39436.0,-8865.016917303055,False,False,False,False,14612.036353859296,False,False,False,False
2025-03-25 17:00:00+00:00,6.785,6.785,6.75,6.755,13906.0,,,,,,,,,,6.772281458787568,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.039090610661646,-9.196747846033539,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-53342.0,-9554.582546492155,False,False,False,False,14601.09005379946,False,False,False,False
2025-03-25 18:00:00+00:00,6.755,6.76,6.745,6.745,40810.0,,,,,,,,,,6.7673247333046245,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.883856531932,-9.169774788858085,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-94152.0,-10866.170413988399,False,False,False,False,15007.429742887842,False,False,False,False
2025-03-25 19:00:00+00:00,6.745,6.785,6.745,6.775,71547.0,,,,,,,,,,6.767607727180034,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28043399681161,-6.234097250655566,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-22605.0,-11048.16777191106,False,False,False,False,15884.012227494231,False,False,False,False
2025-03-26 14:00:00+00:00,6.84,6.875,6.82,6.875,11948.0,,,,,,,,,6.856666666666667,6.771593867377928,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.760336605482884,0.6234203939739302,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-10657.0,-11042.103155292281,False,False,False,False,15822.988782106724,False,False,False,False
2025-03-26 15:00:00+00:00,6.875,6.885,6.835,6.845,31974.0,,,,,,,,,6.855453379475737,6.780515470240446,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.8549999999999995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.69209922558415,2.4091570235386826,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-42631.0,-11531.85349396992,False,False,False,False,16073.392056802742,False,False,False,False
2025-03-26 16:00:00+00:00,6.845,6.845,6.815,6.815,29337.0,,,,,,,,,6.843258143481802,6.784491167943622,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.840645153398249,,0.0,0.0,0.0,0.0,-1.0,6.835,6.825,0.0,62.31226990818487,2.4091570235386826,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-71968.0,-12468.848013443254,False,False,False,False,16279.029389255413,False,False,False,False
