date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_160,Gap_Up_aVWAP_123,Gap_Down_aVWAP_91,Gap_Down_aVWAP_24,aVWAP_OB_bull_171,aVWAP_OB_bull_95,aVWAP_OB_bear_164,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,16.8448972179,16.8448972179,16.4595322134,16.4595322134,434509,,,,,,,,,#000000,1.0,17.044254,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,434509.0,False,False,False,False
2022-01-07 00:00:00+00:00,16.6077495228,16.8967732762,16.3335475004,16.8448972179,616438,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-616438,-45662.07407407407,False,False,False,False,447985.22222222225,False,False,False,False
2022-01-14 00:00:00+00:00,16.6003386574,16.9338276036,16.3039040385,16.5262300026,625605,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1242043,-134282.88340192044,False,False,False,False,461142.24279835395,False,False,False,False
2022-01-21 00:00:00+00:00,15.1774524867,16.5929277919,15.1550778639,16.3780126932,807598,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2049641,-276161.2624091856,False,False,False,False,486805.63222069805,False,False,False,False
2022-01-28 00:00:00+00:00,15.2072853172,15.3266166389,14.1855108746,14.9835390889,1182394,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,14.906470943566665,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473974976934731,-49.482538302961636,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-867247,-319945.3911196163,False,False,False,False,538330.6965006464,False,False,False,False
2022-02-04 00:00:00+00:00,15.4086569226,16.2216015521,15.2087023766,15.266950978,779831,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.187255809803128,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348852366869841,-45.91142734743469,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-87416,-302720.9917774225,False,False,False,False,556219.6078709689,False,False,False,False
2022-02-11 00:00:00+00:00,15.3564494694,15.975480701,15.3266166389,15.4608643759,669466,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.280257673666558,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93475750001943,-43.63922908960604,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-756882,-336362.54794205783,False,False,False,False,564608.2295101563,False,False,False,False
2022-02-18 00:00:00+00:00,14.8638175993,15.3937405074,14.7374182377,15.3713658846,774728,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.21613732052653,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.830636762733109,-43.02355651002672,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1531610,-424899.39624264615,False,False,False,False,580172.6569538484,False,False,False,False
2022-02-25 00:00:00+00:00,14.6986640704,14.8112687492,13.5125614539,14.7437059419,956214,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.024285346715505,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.234813309982846,-42.84266983959257,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2487824,-577708.6261505983,False,False,False,False,608027.5712535633,False,False,False,False
2022-03-04 00:00:00+00:00,14.4058919056,14.7332712417,14.180682548,14.6235942846,643257,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,14.949198054519384,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.167802311096679,-42.84266983959257,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3131081,-766847.3205098133,False,False,False,False,610637.1585681142,False,False,False,False
2022-03-11 00:00:00+00:00,13.9179382975,14.3758639912,13.5699898401,14.3758639912,828472,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,14.807966020388935,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.676831874209062,-42.84266983959257,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3959553,-1003344.0375090863,False,False,False,False,626773.0727482538,False,False,False,False
2022-03-18 00:00:00+00:00,15.2241525714,15.2691944429,13.3849428179,13.9179382975,684201,,,,,,,,,"rgba(239, 83, 80, 0.5)",-1.0,12.35632,,14.707486632787049,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.876948522870794,-35.06676842184059,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3275352,-1171640.9236195243,False,False,False,False,631026.9932854201,False,False,False,False
2022-03-25 00:00:00+00:00,15.0580294377,15.539445672,14.8691429671,15.2767014215,841400,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,14.87444452321308,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.919466728946404,-29.768465275280178,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4116752,-1389797.2996477077,False,False,False,False,646610.1789679816,False,False,False,False
2022-04-01 00:00:00+00:00,15.6549106849,15.9420181202,15.0429185201,15.0429185201,784911,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.192668103732414,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.920529045165825,-23.678064271854293,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3331841,-1533652.3885626923,False,False,False,False,656854.6842296126,False,False,False,False
2022-04-08 00:00:00+00:00,15.2015831554,15.9064319092,15.0542517083,15.7002434378,555478,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.197582154435947,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.43303569695669,-20.998644874612346,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3887319,-1707998.0634839744,False,False,False,False,649345.3002126042,False,False,False,False
2022-04-15 00:00:00+00:00,14.6273682847,15.4055805437,14.6122573671,15.1411394848,497894,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.127849632243885,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.37728768412959,-20.674619088321222,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4385213,-1906310.28100368,False,False,False,False,638126.685382041,False,False,False,False
