date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_52,Gap_Down_aVWAP_33,Gap_Down_aVWAP_9,Gap_Down_aVWAP_7,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-16 00:00:00+00:00,22.8,25.26,22.09,23.5,6284903,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6284903.0,False,False,False,False
2025-05-19 00:00:00+00:00,23.65,26.6,22.5,23.02,2612360,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2612360,102445.49019607843,False,False,False,False,6140881.705882353,False,False,False,False
2025-05-20 00:00:00+00:00,21.91,23.7223,21.5,23.72,3349825,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.91751085383501,-42.32995658465995,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-737465,69507.82391387929,False,False,False,False,6031428.501730104,False,False,False,False
2025-05-21 00:00:00+00:00,22.44,24.015,21.03,21.515,4190823,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8761733592859,-42.32995658465995,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3453358,202207.83081921734,False,False,False,False,5959247.89381912,False,False,False,False
2025-05-22 00:00:00+00:00,24.46,25.0,22.22,23.9,4666016,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.78133072063298,-42.32995658465995,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,8119374,512684.93549297354,False,False,False,False,5908532.917590919,False,False,False,False
2025-05-23 00:00:00+00:00,22.95,24.24,22.62,23.025,2727756,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.29819181990227,-42.32995658465995,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,5391618,704015.6439050138,False,False,False,False,5783796.5678814715,False,False,False,False
2025-05-27 00:00:00+00:00,21.74,23.5,21.67,23.3,3351436,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,-1.0,22.62,20.853,8.0,0.0,0.0,0.0,0.0,54.4541522644754,-42.32995658465995,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2040182,756414.3245361897,False,False,False,False,5688409.878944943,False,False,False,False
2025-05-28 00:00:00+00:00,20.38,20.853,18.8,19.3,4046567,,,,20.011,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.30595903164333,-42.32995658465995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2006385,648069.2529857508,False,False,False,False,5624023.8836922,False,False,False,False
2025-05-29 00:00:00+00:00,19.6,20.926,19.21,20.81,3679022,,,,19.96385496316203,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.36125855193292,-42.32995658465995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5685407,399697.6352216038,False,False,False,False,5547749.300017997,False,False,False,False
2025-05-30 00:00:00+00:00,18.15,18.89,17.99,18.85,12164240,,,18.34333333333333,18.97277484726825,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,-1.0,19.21,18.77,11.0,0.0,0.0,0.0,0.0,35.632181502480776,-42.32995658465995,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-17849647,-315962.9387086551,False,False,False,False,5807219.523546702,False,False,False,False
