date,Open,High,Low,Close,Volume,aVWAP_OB_bull_424,aVWAP_OB_bull_407,aVWAP_OB_bull_379,aVWAP_OB_bull_368,aVWAP_OB_bull_346,aVWAP_OB_bull_326,aVWAP_OB_bear_415,aVWAP_OB_bear_398,aVWAP_OB_bear_189,aVWAP_OB_bear_135,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,5.645,5.695,5.525,5.585,62454.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,62454.0,False,False,False,False
2023-11-10 17:00:00+00:00,5.535,5.635,5.465,5.615,92789.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,92789.0,1438.5891472868218,False,False,False,False,62924.31007751938,False,False,False,False
2023-11-13 17:00:00+00:00,5.605,5.605,5.42,5.485,64152.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,72.34042553191495,-46.80851063829769,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,28637.0,1860.2699357009797,False,False,False,False,62943.34402980591,False,False,False,False
2023-11-14 17:00:00+00:00,5.725,5.805,5.675,5.805,49327.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,73.17318691374976,-43.293067947837855,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,77964.0,3040.1727273955385,False,False,False,False,62732.23792081667,False,False,False,False
2023-11-15 17:00:00+00:00,5.77,5.82,5.76,5.805,77616.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,73.7283611683063,-38.41784488675346,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,77964.0,4201.782452552196,False,False,False,False,62962.99392204432,False,False,False,False
2023-11-16 17:00:00+00:00,5.815,5.875,5.805,5.87,78622.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,75.37260116522556,-31.687349411145902,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,156586.0,6564.3284610397595,False,False,False,False,63205.769210074635,False,False,False,False
2023-11-17 17:00:00+00:00,5.895,6.005,5.895,5.98,50796.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,78.06447558087362,-23.727060907647278,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,207382.0,9677.780732961623,False,False,False,False,63013.36968743782,False,False,False,False
2023-11-20 17:00:00+00:00,6.045,6.075,5.97,6.07,56824.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,80.80334704846555,-15.818630111049337,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,264206.0,13623.95467508625,False,False,False,False,62917.410467477544,False,False,False,False
2023-11-21 17:00:00+00:00,5.955,6.095,5.955,6.07,74220.0,,,,,,,,,,,6.040000000000001,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,82.62926136019351,-9.001910173549746,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,264206.0,17508.947625860106,False,False,False,False,63092.6444137182,False,False,False,False
2023-11-22 17:00:00+00:00,6.025,6.055,6.0,6.045,36532.0,,,,,,,,,,,6.037800972743909,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,82.21422788608639,-4.599084533223994,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,227674.0,20767.32053088553,False,False,False,False,62680.851477071395,False,False,False,False
2023-11-23 17:00:00+00:00,6.045,6.045,6.045,6.045,0.0,,,,,,,,,,,6.037800972743909,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,81.93753890334831,-0.34748008422643295,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,227674.0,23975.176026530713,False,False,False,False,61709.05533014006,False,False,False,False
2023-11-24 17:00:00+00:00,5.995,6.035,5.995,6.035,6737.0,,,,,,,,,,,6.036875806813121,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,80.99539333296815,2.8056683441691916,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,220937.0,27028.847716041862,False,False,False,False,60856.77540254098,False,False,False,False
2023-11-27 17:00:00+00:00,5.975,6.035,5.965,5.975,35281.0,,,,,,,,,,,6.0264351203334,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,76.18435744807368,2.8056683441691916,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,185656.0,29488.183410366793,False,False,False,False,60460.251752889184,False,False,False,False
2023-11-28 17:00:00+00:00,6.035,6.07,6.005,6.035,24135.0,,,,,,,,,,,6.02783100157335,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,74.66480347126057,2.8056683441691916,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,209791.0,32283.575915632424,False,False,False,False,59897.06955516997,False,False,False,False
2023-11-29 17:00:00+00:00,6.035,6.07,6.0,6.07,35458.0,,,,,,,,,,,6.030975970390324,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,74.50670435862664,5.263321476044979,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,245249.0,35585.365436320295,False,False,False,False,59518.169251989035,False,False,False,False
2023-11-30 17:00:00+00:00,6.085,6.175,6.065,6.165,72044.0,,,,,,,,,,,6.057326612917405,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,76.262275198334,9.36843105390102,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,317293.0,39952.925662113776,False,False,False,False,59712.368178314784,False,False,False,False
2023-12-01 17:00:00+00:00,6.325,6.375,6.245,6.32,52187.0,,,,,,,,,,,6.097019010043753,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,79.34881718879157,14.325777403505313,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,369480.0,45061.87255107325,False,False,False,False,59595.695803457194,False,False,False,False
2023-12-04 17:00:00+00:00,6.36,6.385,6.3,6.36,31031.0,,,,,,,,,,,6.233282815368922,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.348333333333332,,81.77436088401647,18.307003110473076,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,400511.0,50572.711736327925,False,False,False,False,59152.832302628405,False,False,False,False
2023-12-05 17:00:00+00:00,6.205,6.23,6.165,6.19,30847.0,,,,,,,,,,,6.198034887242082,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.271894642145296,,75.67894660674817,18.307003110473076,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,369664.0,55519.86349235385,False,False,False,False,58713.98218940936,False,False,False,False
2023-12-06 17:00:00+00:00,6.21,6.245,6.145,6.16,30114.0,,,,,,,,,,,6.1856177478436845,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.242903694524162,,70.54966271565965,18.307003110473076,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,339550.0,59923.43150022433,False,False,False,False,58270.571612829364,False,False,False,False
2023-12-07 17:00:00+00:00,6.205,6.24,6.075,6.075,25440.0,,,,,,,,,,,6.173434981146755,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.21844468855735,,64.35051422489494,26.08227146983822,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,314110.0,63864.3085312286,False,False,False,False,57761.57050255294,False,False,False,False
2023-12-08 17:00:00+00:00,6.035,6.075,6.0,6.065,40139.0,,,,,,,,,,,6.148235502984992,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.174686649193062,,59.906438861423624,21.466023520213128,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,273971.0,67121.77661601575,False,False,False,False,57488.35235522654,False,False,False,False
2023-12-11 17:00:00+00:00,6.055,6.075,6.025,6.075,24119.0,,,,,,,,,,,6.139036276188697,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.159240969049847,,57.26737493164665,18.518292141923865,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,298090.0,70702.67930413953,False,False,False,False,56970.99805514551,False,False,False,False
