date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_864,Gap_Up_aVWAP_810,Gap_Up_aVWAP_798,Gap_Up_aVWAP_762,Gap_Up_aVWAP_750,Gap_Up_aVWAP_744,Gap_Up_aVWAP_738,Gap_Up_aVWAP_726,Gap_Up_aVWAP_714,Gap_Up_aVWAP_708,Gap_Down_aVWAP_882,Gap_Down_aVWAP_858,Gap_Down_aVWAP_792,Gap_Down_aVWAP_774,Gap_Down_aVWAP_720,Gap_Down_aVWAP_702,Gap_Down_aVWAP_696,Gap_Down_aVWAP_684,Gap_Down_aVWAP_672,Gap_Down_aVWAP_660,aVWAP_OB_bull_845,aVWAP_OB_bull_795,aVWAP_OB_bull_686,aVWAP_OB_bull_627,aVWAP_OB_bull_584,aVWAP_OB_bull_383,aVWAP_OB_bull_277,aVWAP_OB_bull_172,aVWAP_OB_bull_99,aVWAP_OB_bear_857,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-28 14:00:00+00:00,1.155,1.165,1.145,1.15,47375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,47375.0,False,False,False,False
2025-03-28 15:00:00+00:00,1.155,1.155,1.145,1.145,53763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-53763.0,-833.5348837209302,False,False,False,False,47474.03875968992,False,False,False,False
2025-03-28 16:00:00+00:00,1.145,1.155,1.135,1.155,6458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923237,-84.61538461538485,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-47305.0,-1554.0227149810707,False,False,False,False,46838.13118202031,False,False,False,False
2025-03-28 17:00:00+00:00,1.155,1.155,1.135,1.135,14067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.407171775592957,-81.1104684788898,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-61372.0,-2481.433215524,False,False,False,False,46330.051628810696,False,False,False,False
2025-03-28 18:00:00+00:00,1.135,1.14,1.125,1.135,24649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.294004241372775,-76.69982648930042,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-61372.0,-3394.4652586941706,False,False,False,False,45993.91129348029,False,False,False,False
2025-03-28 19:00:00+00:00,1.135,1.14,1.125,1.135,81999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.885225885225985,-71.83273568536748,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-61372.0,-4293.341766311315,False,False,False,False,46552.129723038735,False,False,False,False
2025-03-31 14:00:00+00:00,1.115,1.115,1.1,1.115,49694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.089095364489673,-71.36320453290267,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-111066.0,-5948.731816446023,False,False,False,False,46600.84089012341,False,False,False,False
2025-03-31 15:00:00+00:00,1.115,1.12,1.11,1.11,5800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.000075273077023,-70.29301116671218,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-116866.0,-7668.379385183293,False,False,False,False,45968.26971353234,False,False,False,False
2025-03-31 16:00:00+00:00,1.11,1.115,1.1,1.105,33982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4491295234019,-68.86543142089722,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-150848.0,-9888.218464482778,False,False,False,False,45782.43607456285,False,False,False,False
2025-03-31 17:00:00+00:00,1.105,1.115,1.1,1.105,21746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.748499023618484,-66.77728621577337,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-150848.0,-12073.64143402568,False,False,False,False,45409.77815092621,False,False,False,False
