date,Close,High,Low,Open,Volume,aVWAP_OB_bull_859,aVWAP_OB_bull_459,aVWAP_OB_bull_212,aVWAP_OB_bear_875,aVWAP_OB_bear_839,aVWAP_OB_bear_816,aVWAP_OB_bear_788,aVWAP_OB_bear_446,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,24.276815612,24.3127015183,24.2678441354,24.2947585652,716054,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,-1.0,24.312702,24.267843,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,716054.0,False,False,False,False
2022-01-04 00:00:00+00:00,24.2229867526,24.2947585652,24.2229867526,24.2857870886,585854,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-585854,-22974.666666666668,False,False,False,False,710948.1176470588,False,False,False,False
2022-01-05 00:00:00+00:00,24.2319582291,24.2588726589,24.2229867526,24.2409297057,380438,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,5.164319216396578,-60.328638432793156,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-205416,-30129.22875816994,False,False,False,False,697986.9365628604,False,False,False,False
2022-01-06 00:00:00+00:00,24.1691578931,24.2324965177,24.1691578931,24.2319582291,266932,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,5.797835572836254,-59.31755517135707,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-472348,-47471.141355888765,False,False,False,False,681082.8214035325,False,False,False,False
2022-01-07 00:00:00+00:00,24.1332719868,24.1781293697,24.1243005102,24.15121494,530959,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,5.620113463093356,-58.82801625221456,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1003307,-84954.90051840292,False,False,False,False,675195.6127210411,False,False,False,False
2022-01-10 00:00:00+00:00,24.0794431274,24.1347074231,24.0615001742,24.1332719868,312340,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,4.98220039612646,-58.65437609038861,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1315647,-133217.33579219104,False,False,False,False,660965.9808496276,False,False,False,False
2022-01-11 00:00:00+00:00,24.0525286976,24.0794431274,24.0167325061,24.0256142679,1103715,,,,,,,,,24.049568110366668,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,4.383956882941326,-58.36010080727428,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2419362,-222870.06772190903,False,False,False,False,678328.6874829757,False,False,False,False
2022-01-12 00:00:00+00:00,24.0525286976,24.0704716508,24.0525286976,24.0704716508,285772,,,,,,,,,24.051407099006934,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,3.985127874151236,-57.81835924463847,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2419362,-309007.0062426185,False,False,False,False,662934.3075816825,False,False,False,False
2022-01-13 00:00:00+00:00,24.0435572211,24.0704716508,24.0435572211,24.0615001742,337636,,,,,,,,,24.051626360799567,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,3.662452022000151,-57.18687610101223,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2756998,-405006.6530566334,False,False,False,False,650177.5112059301,False,False,False,False
2022-01-14 00:00:00+00:00,24.0345857445,24.0615001742,24.0345857445,24.0525286976,536809,,,,,,,,,24.049713058266242,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,3.3914883762563086,-56.516439411194575,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3293807,-518292.9411720596,False,False,False,False,645731.6872370702,False,False,False,False
2022-01-18 00:00:00+00:00,23.9717854085,24.0435572211,23.9717854085,24.0435572211,493568,,,,,,,,,24.040046873591944,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,2.9263515448258373,-56.091367195897355,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3787375,-646492.2375966848,False,False,False,False,639764.4838160085,False,False,False,False
2022-01-19 00:00:00+00:00,23.9538424553,24.0076713148,23.9538424553,24.0076713148,329542,,,,,,,,,24.032759956296903,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,2.5590166127292635,-55.620620458198765,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4116917,-782587.3263183834,False,False,False,False,627598.8962153808,False,False,False,False
2022-01-20 00:00:00+00:00,23.9717854085,23.980756885,23.9358995022,23.980756885,505978,,,,,,,,,24.022909983423865,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,5.143409574453531,-52.4423802761791,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3610939,-893503.0782274664,False,False,False,False,622829.4493049737,False,False,False,False
