date,Close,High,Low,Open,Volume,aVWAP_OB_bull_886,aVWAP_OB_bull_870,aVWAP_OB_bull_850,aVWAP_OB_bull_833,aVWAP_OB_bull_372,aVWAP_OB_bull_357,aVWAP_OB_bull_301,aVWAP_OB_bull_195,aVWAP_OB_bear_810,aVWAP_OB_bear_664,aVWAP_OB_bear_173,aVWAP_OB_bear_163,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,22.2742941024,22.329643786,22.1794089305,22.1873160281,351086,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,21.802504,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,351086.0,False,False,False,False
2022-01-04 00:00:00+00:00,22.5431354227,22.7329057665,22.4956928368,22.558949618,324458,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,324458,12723.843137254902,False,False,False,False,350041.76470588235,False,False,False,False
2022-01-05 00:00:00+00:00,22.558949618,22.9463974033,22.5115070321,22.7803483525,203382,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,527840,32924.476739715494,False,False,False,False,344290.40138408303,False,False,False,False
2022-01-06 00:00:00+00:00,22.7803483525,22.9226761103,22.5629031669,22.8356980361,447293,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,975133,69873.83059305997,False,False,False,False,348329.7189768641,False,False,False,False
2022-01-07 00:00:00+00:00,23.1124464541,23.1361677471,22.7170915712,22.8515122314,265581,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1240714,115789.13135411644,False,False,False,False,345084.67117384984,False,False,False,False
2022-01-10 00:00:00+00:00,22.7566270595,23.0887251611,22.6617418876,22.8198838408,271169,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,88.55376003614279,39.50761336646423,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,969545,149269.753653955,False,False,False,False,342186.01740232634,False,False,False,False
2022-01-11 00:00:00+00:00,23.3654735792,23.3971019698,22.8007486644,22.883140622,368474,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,85.4165982993826,37.26778399464834,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1338019,195887.3711577215,False,False,False,False,343216.9186806665,False,False,False,False
2022-01-12 00:00:00+00:00,23.6817574855,23.7212929738,23.4216139725,23.4524516534,1226752,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,84.59908462047379,37.09012210643587,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2564771,288784.7683672226,False,False,False,False,377865.353242209,False,False,False,False
2022-01-13 00:00:00+00:00,23.4366374581,23.7129114502,23.4050090674,23.6422219972,536175,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,80.31789802641677,33.54084709747934,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2028596,357012.65980380215,False,False,False,False,384073.574683691,False,False,False,False
2022-01-14 00:00:00+00:00,24.0217626848,24.0217626848,23.5394297276,23.5868723136,396053,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,79.92910225001879,33.54084709747934,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2424649,438096.43785071187,False,False,False,False,384543.3560686443,False,False,False,False
