date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_822,Gap_Up_aVWAP_786,Gap_Up_aVWAP_756,Gap_Up_aVWAP_750,Gap_Up_aVWAP_738,Gap_Up_aVWAP_678,Gap_Up_aVWAP_666,Gap_Up_aVWAP_660,Gap_Down_aVWAP_882,Gap_Down_aVWAP_864,Gap_Down_aVWAP_834,Gap_Down_aVWAP_828,Gap_Down_aVWAP_768,Gap_Down_aVWAP_732,Gap_Down_aVWAP_696,Gap_Down_aVWAP_690,Gap_Down_aVWAP_654,Gap_Down_aVWAP_612,aVWAP_OB_bull_837,aVWAP_OB_bull_732,aVWAP_OB_bull_655,aVWAP_OB_bull_616,aVWAP_OB_bull_527,aVWAP_OB_bear_858,aVWAP_OB_bear_360,aVWAP_OB_bear_270,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,24.005,24.05,23.795,23.845,23330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,23330.0,False,False,False,False
2025-01-06 16:00:00+00:00,23.85,23.915,23.715,23.885,16498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,16498.0,255.7829457364341,False,False,False,False,23224.077519379844,False,False,False,False
2025-01-06 17:00:00+00:00,23.885,23.96,23.825,23.935,13318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,29816.0,714.0808845622258,False,False,False,False,23070.494922180154,False,False,False,False
2025-01-06 18:00:00+00:00,23.935,23.985,23.875,23.925,15805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.12625538020153,46.51362984218137,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,14011.0,920.2346692976953,False,False,False,False,22957.85159005333,False,False,False,False
2025-01-06 19:00:00+00:00,23.925,23.98,23.885,23.975,15453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.07502446306216,45.79994669394385,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,29464.0,1362.7736666729247,False,False,False,False,22841.497301835447,False,False,False,False
2025-01-06 20:00:00+00:00,23.975,24.0,23.865,23.95,36063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.7368004195499,40.28257873764473,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-6599.0,1239.335315251639,False,False,False,False,23046.481839791486,False,False,False,False
2025-01-07 15:00:00+00:00,24.145,24.145,23.92,24.01,17517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.13968520706533,39.30869180950123,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,10918.0,1389.392132069443,False,False,False,False,22960.75343917456,False,False,False,False
2025-01-07 16:00:00+00:00,24.015,24.04,23.9,23.93,28928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.82181826035168,30.334717395339794,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-18010.0,1088.6263625799943,False,False,False,False,23053.268889729992,False,False,False,False
2025-01-07 17:00:00+00:00,23.935,24.01,23.905,23.945,12228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8955392405154,25.72064153292105,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-5782.0,982.1050236252657,False,False,False,False,22885.435263532625,False,False,False,False
2025-01-07 18:00:00+00:00,23.945,24.055,23.945,24.04,25521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.27539722796477,25.72064153292105,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,19739.0,1272.9095969023933,False,False,False,False,22926.296732315066,False,False,False,False
