date,Close,High,Low,Open,Volume,aVWAP_OB_bull_126,aVWAP_OB_bull_95,aVWAP_OB_bull_24,aVWAP_OB_bear_173,aVWAP_OB_bear_81,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,132.9325600795,133.7227220643,129.0110154143,129.2744027426,2410330,,,,,,#000000,1.0,140.84477,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2410330.0,False,False,False,False
2022-01-07 00:00:00+00:00,127.0502430818,133.0106007693,126.2308158383,132.7959888722,4736284,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-4736284,-350835.85185185185,False,False,False,False,2582622.8888888885,False,False,False,False
2022-01-14 00:00:00+00:00,122.5433932427,126.8258760984,121.7824965166,126.4064073905,6786898,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11523182,-1178417.0480109737,False,False,False,False,2894050.674897119,False,False,False,False
2022-01-21 00:00:00+00:00,119.6949080631,123.3286776844,119.0241483338,121.7727414304,4106153,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-15629335,-2248855.4148249757,False,False,False,False,2983836.032312147,False,False,False,False
2022-01-28 00:00:00+00:00,120.5143353065,121.587394792,116.5147499515,118.5535629739,7627060,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9211557671750126,-48.18390743884237,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8002275,-2675034.6433564587,False,False,False,False,3327778.5484371735,False,False,False,False
2022-02-04 00:00:00+00:00,120.0070708225,123.3628204862,119.4705410797,120.2704581507,5944126,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2113877297183078,-47.0430324412637,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13946401,-3509950.669774499,False,False,False,False,3521582.0633677533,False,False,False,False
2022-02-11 00:00:00+00:00,117.6853602993,121.7824965166,116.9049534008,119.6461326319,5793945,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8145907612420156,-46.58319318665589,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19740346,-4712202.175717128,False,False,False,False,3689905.243859031,False,False,False,False
2022-02-18 00:00:00+00:00,118.0365434037,119.9582953913,115.3538946899,117.2756466776,9843066,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983690451915708,-45.581576152831246,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9897280,-5096282.014552897,False,False,False,False,4145694.9294991028,False,False,False,False
2022-02-25 00:00:00+00:00,120.9728243594,121.0996404804,112.9152206829,117.6951153856,6491230,,,,,,"rgba(239, 83, 80, 0.5)",-1.0,120.17798,,118.32922850756664,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987914344451553,-40.025104872869335,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3406050,-4971079.643104535,False,False,False,False,4319438.268054725,False,False,False,False
2022-03-04 00:00:00+00:00,131.7682807291,132.0516954099,119.6558877181,120.2509479783,6094991,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,122.92778091273425,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.500597433666755,-27.578378808826873,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2688941,-4403670.706578273,False,False,False,False,4450960.692643263,False,False,False,False
