date,Close,High,Low,Open,Volume,aVWAP_OB_bull_69,aVWAP_OB_bear_160,aVWAP_OB_bear_132,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,101.23,103.7715,98.82,99.75,1368147,,,,,"rgba(38, 166, 154, 1.0)",-1.0,82.995,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1368147.0,False,False,False,False
2022-01-07 00:00:00+00:00,95.22,104.41,95.19,102.0,1782331,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1782331,-132024.5185185185,False,False,False,False,1398827.2962962962,False,False,False,False
2022-01-14 00:00:00+00:00,105.96,106.09,88.07,93.69,2156795,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,18.76878626185427,-96.92196565463567,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,374464,-94506.85048010973,False,False,False,False,1454973.0521262002,False,False,False,False
2022-01-21 00:00:00+00:00,89.47,103.55,89.35,103.53,1957377,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,22.426925124896307,-92.43746326197109,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1582913,-204759.15785195344,False,False,False,False,1492188.1593761113,False,False,False,False
2022-01-28 00:00:00+00:00,84.67,95.0,80.02,86.79,2428832,,,,86.56333333333333,"rgba(239, 83, 80, 1.0)",0.0,0.0,,86.56333333333333,,23.782383491842644,-89.50994087855508,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4011745,-486758.1091221791,False,False,False,False,1561569.1846075105,False,False,False,False
2022-02-04 00:00:00+00:00,90.05,95.74,84.8,84.81,1747837,,,,88.08379723251551,"rgba(38, 166, 154, 1.0)",0.0,0.0,,88.08379723251551,,27.734490753836702,-83.58141040155425,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2263908,-618398.8417797955,False,False,False,False,1575366.8005625098,False,False,False,False
2022-02-11 00:00:00+00:00,87.56,97.93,86.905,89.97,1913946,,,,88.9368269367434,"rgba(239, 83, 80, 1.0)",0.0,0.0,,88.9368269367434,,29.843934608561746,-79.11606677809192,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4177854,-882062.1868331439,False,False,False,False,1600446.741261583,False,False,False,False
2022-02-18 00:00:00+00:00,85.78,92.635,85.26,88.11,1191821,,,,88.7657792326176,"rgba(239, 83, 80, 1.0)",0.0,0.0,,88.7657792326176,,30.865171205876223,-75.42569327508716,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5369675,-1214477.9507714296,False,False,False,False,1570178.1678347993,False,False,False,False
2022-02-25 00:00:00+00:00,87.85,88.8,77.37,84.37,1009651,,,,88.26747981841002,"rgba(38, 166, 154, 1.0)",0.0,0.0,,88.26747981841002,,32.676350360841276,-70.79046027922507,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4360024,-1447481.3618253977,False,False,False,False,1528657.6368840733,False,False,False,False
2022-03-04 00:00:00+00:00,78.64,88.575,77.75,87.17,1392927,,,,87.31645365819811,"rgba(239, 83, 80, 1.0)",0.0,0.0,,87.31645365819811,,31.703122703321164,-68.81932618607799,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5752951,-1766405.03872722,False,False,False,False,1518603.5156334012,False,False,False,False
