date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_160,Gap_Down_aVWAP_102,Gap_Down_aVWAP_24,aVWAP_OB_bull_122,aVWAP_OB_bull_107,aVWAP_OB_bull_91,aVWAP_OB_bull_52,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,39.3023152421,39.5711916615,38.0784639536,38.0784639536,1677226,,,,,,,,#000000,1.0,37.807106,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1677226.0,False,False,False,False
2022-01-07 00:00:00+00:00,38.5698587891,40.2572901111,37.8652171382,39.4413892521,2179595,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2179595,-161451.48148148146,False,False,False,False,1714438.5185185187,False,False,False,False
2022-01-14 00:00:00+00:00,37.7539579301,38.9592660173,37.1327606852,38.0413775509,2917293,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5096888,-527039.3717421124,False,False,False,False,1803538.85048011,False,False,False,False
2022-01-21 00:00:00+00:00,36.1221562121,38.9592660173,35.9830822021,37.8559455375,2812875,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7909763,-1073907.788650104,False,False,False,False,1878304.4911852868,False,False,False,False
2022-01-28 00:00:00+00:00,36.0757982088,37.2069334906,34.7221445109,35.4360577625,4120260,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,36.00162540343334,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-12030023,-1885471.8783797259,False,False,False,False,2044375.2696160064,False,False,False,False
2022-02-04 00:00:00+00:00,37.5499827154,38.180451561,35.7698353866,35.8069217893,2578132,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,36.450070627948726,,0.0,0.0,0.0,0.0,10.129511582572405,-40.42444608209952,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9451891,-2445947.3688701163,False,False,False,False,2083912.8052000059,False,False,False,False
2022-02-11 00:00:00+00:00,36.0757982088,38.8572784099,36.0479834068,37.6612419234,1639586,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,36.55696767905559,,0.0,0.0,0.0,0.0,14.576353576331972,-36.63625900837763,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11091477,-3086356.971176034,False,False,False,False,2050999.708518524,False,False,False,False
2022-02-18 00:00:00+00:00,35.1949961451,37.1791186885,34.9539345276,36.1592426148,2449284,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,36.37965008530824,,0.0,0.0,0.0,0.0,16.65280672673374,-35.15869749115621,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13540761,-3860757.2696074387,False,False,False,False,2080502.248628263,False,False,False,False
2022-02-25 00:00:00+00:00,36.2334154202,38.1062787556,34.4161816888,34.944662927,5033592,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,36.33902353439476,,0.0,0.0,0.0,0.0,21.689534780489446,-30.827637156089448,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8507169,-4204935.916303184,False,False,False,False,2299249.637618762,False,False,False,False
2022-03-04 00:00:00+00:00,33.8691572492,36.9566002725,33.7208116385,35.6122181752,4766463,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.994013712418266,,0.0,0.0,0.0,0.0,22.548201036681267,-30.516875246395294,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13273632,-4876691.181762207,False,False,False,False,2482006.1829803353,False,False,False,False
