date,Open,High,Low,Close,Volume,aVWAP_OB_bull_437,aVWAP_OB_bull_417,aVWAP_OB_bull_378,aVWAP_OB_bull_323,aVWAP_OB_bull_308,aVWAP_OB_bull_268,aVWAP_OB_bear_331,aVWAP_OB_bear_280,aVWAP_OB_bear_70,aVWAP_OB_bear_0,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-08 17:00:00+00:00,15.795,15.88,15.57,15.635,46076.0,,,,,,,,,,15.694999999999999,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,-1.0,15.88,15.57,3.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,46076.0,False,False,False,False
2023-11-09 17:00:00+00:00,15.75,15.75,15.265,15.3,45952.0,,,,,,,,,,15.566839585053824,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45952.0,-712.4341085271318,False,False,False,False,46074.07751937984,False,False,False,False
2023-11-10 17:00:00+00:00,15.445,15.695,15.395,15.69,38400.0,,,,,,,,,,15.574639750155896,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,18.901453957996765,-78.35218093699515,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7552.0,-818.473889790277,False,False,False,False,45955.099573342944,False,False,False,False
2023-11-13 17:00:00+00:00,15.87,16.05,15.805,16.045,61966.0,,,,,,,,,,15.700903250621122,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,36.8040992957496,-60.349654737217925,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,54414.0,37.84353485763427,False,False,False,False,46203.330587709715,False,False,False,False
2023-11-14 17:00:00+00:00,16.89,17.215,16.815,17.145,80781.0,,,,,,,,,,16.102310991122906,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,53.86594505719022,-43.043919638907056,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,135195.0,2133.30332501488,False,False,False,False,46739.41848557468,False,False,False,False
2023-11-15 17:00:00+00:00,17.275,17.375,17.035,17.315,67142.0,,,,,,,,,,16.32709734845257,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,65.59659123323024,-30.453854317030192,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,202337.0,5237.2366067975945,False,False,False,False,47055.73757882158,False,False,False,False
2023-11-16 17:00:00+00:00,16.715,16.95,16.625,16.82,136311.0,,,,,,,,,,16.461866284258022,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,66.71926508502018,-27.051401775073245,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66026.0,6179.698054754221,False,False,False,False,48439.540096979385,False,False,False,False
2023-11-17 17:00:00+00:00,17.045,17.29,17.02,17.175,51834.0,,,,,,,,,,16.530505946185976,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,69.0608753250424,-21.73406752294263,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,117860.0,7911.175604292915,False,False,False,False,48492.16738229753,False,False,False,False
2023-11-20 17:00:00+00:00,17.335,17.47,17.27,17.415,64585.0,,,,,,,,,,16.623563492157167,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,71.53956722481948,-15.966983731474492,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,182445.0,10617.12637011783,False,False,False,False,48741.66866319214,False,False,False,False
2023-11-21 17:00:00+00:00,17.115,17.375,17.07,17.35,56367.0,,,,,,,,,,16.679238072067022,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,72.40266488852589,-11.585362985204675,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,126078.0,12407.21743414701,False,False,False,False,48859.89085446048,False,False,False,False
