date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_860,Gap_Up_aVWAP_726,Gap_Up_aVWAP_627,Gap_Up_aVWAP_531,Gap_Up_aVWAP_502,Gap_Up_aVWAP_387,Gap_Up_aVWAP_150,Gap_Up_aVWAP_128,Gap_Up_aVWAP_69,Gap_Down_aVWAP_845,Gap_Down_aVWAP_793,Gap_Down_aVWAP_791,Gap_Down_aVWAP_780,Gap_Down_aVWAP_757,Gap_Down_aVWAP_749,Gap_Down_aVWAP_743,Gap_Down_aVWAP_665,Gap_Down_aVWAP_648,Gap_Down_aVWAP_632,aVWAP_OB_bull_170,aVWAP_OB_bull_142,aVWAP_OB_bear_768,aVWAP_OB_bear_449,aVWAP_OB_bear_333,aVWAP_OB_bear_253,aVWAP_OB_bear_217,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,43.95,46.5,43.458,43.5,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,31.377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3022.0,False,False,False,False
2022-01-04 00:00:00+00:00,45.3,46.5,43.95,43.95,667,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,667,26.15686274509804,False,False,False,False,2929.6470588235293,False,False,False,False
2022-01-05 00:00:00+00:00,45.0,49.95,45.0,48.0,3107,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.45238095238099,23.809523809523967,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-2440,-70.55517108804307,False,False,False,False,2936.6020761245677,False,False,False,False
2022-01-06 00:00:00+00:00,44.7015,46.35,44.7,45.147,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.34760468854641,23.809523809523967,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-4556,-246.45496830027668,False,False,False,False,2904.4216025510555,False,False,False,False
2022-01-07 00:00:00+00:00,44.85,45.585,44.6295,45.3,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.274242651416,23.809523809523967,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-3384,-369.49594993555996,False,False,False,False,2836.4835004902297,False,False,False,False
2022-01-10 00:00:00+00:00,44.85,45.75,44.55,45.75,647,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.89200129332906,23.809523809523967,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-3384,-487.7117950361262,False,False,False,False,2750.6214024317896,False,False,False,False
2022-01-11 00:00:00+00:00,42.45,45.45,40.95,44.85,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.04616192298831,29.34489968886396,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-8874,-816.5858422896115,False,False,False,False,2858.0480141011317,False,False,False,False
2022-01-12 00:00:00+00:00,43.05,43.95,42.75,43.35,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.50582427732421,22.34161767967305,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-7827,-1091.504044552764,False,False,False,False,2787.0265233520677,False,False,False,False
2022-01-13 00:00:00+00:00,40.65,42.948,40.35,42.45,843,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6844178690711,13.13284506959328,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-8670,-1388.6999643742242,False,False,False,False,2710.790189102967,False,False,False,False
2022-01-14 00:00:00+00:00,41.4,42.882,40.35,40.95,348,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.24258906440239,9.807485825141725,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-8322,-1660.5940834183725,False,False,False,False,2618.131750314615,False,False,False,False
