date,Open,High,Low,Close,Volume,aVWAP_OB_bull_440,aVWAP_OB_bull_424,aVWAP_OB_bull_368,aVWAP_OB_bull_173,aVWAP_OB_bull_164,aVWAP_OB_bull_144,aVWAP_OB_bear_317,aVWAP_OB_bear_280,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,145.02,145.18,142.92,143.71,638.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,638.0,False,False,False,False
2023-11-10 17:00:00+00:00,142.96,144.08,142.69,144.08,407.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,407.0,6.310077519379845,False,False,False,False,634.4186046511628,False,False,False,False
2023-11-13 17:00:00+00:00,145.21,145.62,144.52,144.78,3536.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3943.0,67.34402980590109,False,False,False,False,679.4043627185866,False,False,False,False
2023-11-14 17:00:00+00:00,152.235,153.195,151.645,152.64,1270.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5213.0,147.12164174689485,False,False,False,False,688.5608842268256,False,False,False,False
2023-11-15 17:00:00+00:00,153.74,154.09,152.825,153.12,909.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6122.0,239.75541474306704,False,False,False,False,691.9785449364872,False,False,False,False
2023-11-16 17:00:00+00:00,152.1,152.45,151.69,151.75,619.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,94.76879121869132,45.29191209682219,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5503.0,321.35610598736054,False,False,False,False,690.8470946273943,False,False,False,False
2023-11-17 17:00:00+00:00,152.38,153.145,152.31,152.875,831.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,91.94370596828865,43.063207898338305,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6334.0,414.57539116585104,False,False,False,False,693.0200078889851,False,False,False,False
2023-11-20 17:00:00+00:00,153.185,154.37,152.62,154.31,802.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,90.76283422979205,42.33732712971741,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7136.0,518.783524636148,False,False,False,False,694.709620169776,False,False,False,False
2023-11-21 17:00:00+00:00,154.13,154.39,153.4,153.91,1602.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,88.62008906285945,40.6370709842015,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5534.0,596.5388188278356,False,False,False,False,708.7761376865237,False,False,False,False
2023-11-22 17:00:00+00:00,155.75,156.37,155.08,156.005,1251.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,88.30511413630703,40.556107247157314,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6785.0,692.483953419652,False,False,False,False,717.1827091952598,False,False,False,False
