date,Open,High,Low,Close,Volume,aVWAP_OB_bear_43,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,0.1542,0.1612,0.1428,0.157,3522.0,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3522.0,False,False,False,False
2023-11-10 17:00:00+00:00,0.1585,0.1782,0.1507,0.1637,7937.0,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,-1.0,0.1782,0.1507,9.0,0,,,False,False,False,False,,,False,False,False,False,7937.0,123.05426356589147,False,False,False,False,3590.4496124031007,False,False,False,False
2023-11-13 17:00:00+00:00,0.1526,0.1555,0.1418,0.1499,5410.0,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,76.7154105736783,-31.496062992125957,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2527.0,160.32474009975363,False,False,False,False,3618.659695931735,False,False,False,False
2023-11-14 17:00:00+00:00,0.161,0.1643,0.1508,0.152,400.0,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,63.67945215639254,-31.496062992125957,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2927.0,203.21893017572643,False,False,False,False,3568.7579952196147,False,False,False,False
2023-11-15 17:00:00+00:00,0.1603,0.1716,0.1474,0.1474,2602.0,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,52.37670495705021,-31.496062992125957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,325.0,205.10700877765314,False,False,False,False,3553.769499169698,False,False,False,False
2023-11-16 17:00:00+00:00,0.1436,0.1596,0.136,0.1512,1438.0,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,48.6393484301456,-31.496062992125957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1763.0,229.26038848652672,False,False,False,False,3520.9668712755943,False,False,False,False
2023-11-17 17:00:00+00:00,0.16,0.1666,0.1405,0.1534,13503.0,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,48.022013905654525,-31.496062992125957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15266.0,462.3881344014643,False,False,False,False,3675.7270748217093,False,False,False,False
2023-11-20 17:00:00+00:00,0.147,0.1578,0.1268,0.1291,3284.0,,0.1379,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,39.144089732000374,-31.496062992125957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11982.0,640.9867679766354,False,False,False,False,3669.653786839977,False,False,False,False
2023-11-21 17:00:00+00:00,0.1458,0.1502,0.1322,0.1502,2471.0,,0.14060500434404866,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,42.30596577463819,-31.496062992125957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14453.0,855.1265080080053,False,False,False,False,3651.070007199047,False,False,False,False
2023-11-22 17:00:00+00:00,7.19,10.155,7.19,8.31,2459.0,,2.658598750101453,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,61.424479931712476,-27.50278710994506,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16912.0,1104.0702830776486,False,False,False,False,3632.588301661077,False,False,False,False
2023-11-23 17:00:00+00:00,8.31,8.31,8.31,8.31,0.0,,2.658598750101453,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,74.17015603642866,-13.1032993753849,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16912.0,1349.1544647353594,False,False,False,False,3576.269103185711,False,False,False,False
2023-11-24 17:00:00+00:00,8.61,8.61,8.1,8.11,199.0,,2.7914089464717304,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,81.67413638086114,-3.8003394058229887,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16713.0,1587.3536203208575,False,False,False,False,3523.9083418960104,False,False,False,False
2023-11-27 17:00:00+00:00,9.8,12.1,9.18,9.18,521.0,,6.687032131930453,"rgba(239, 83, 80, 1.0)",0.0,0.0,,10.153333333333332,,86.84544314877742,3.4241626768518643,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17234.0,1829.9372851220844,False,False,False,False,3477.3516234170024,False,False,False,False
2023-11-28 17:00:00+00:00,8.76,9.14,8.76,9.11,671.0,,6.565338147177027,"rgba(239, 83, 80, 1.0)",0.0,0.0,,9.505975950782997,,89.93342746499351,8.854244781768863,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16563.0,2058.356862096936,False,False,False,False,3433.842295922165,False,False,False,False
2023-11-29 17:00:00+00:00,8.83,8.92,8.76,8.76,315.0,,6.575328500407595,"rgba(239, 83, 80, 1.0)",0.0,0.0,,9.361196637911965,,90.109567822217,11.754880995367564,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16248.0,2278.351329351247,False,False,False,False,3385.4881517993404,False,False,False,False
2023-11-30 17:00:00+00:00,8.51,8.51,7.805,7.83,361.0,,6.523241496758709,"rgba(239, 83, 80, 1.0)",0.0,0.0,,9.10747947894361,,85.72167475775088,11.754880995367564,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15887.0,2489.338130446576,False,False,False,False,3338.596862624157,False,False,False,False
