date,Close,High,Low,Open,Volume,aVWAP_OB_bull_298,aVWAP_OB_bear_860,aVWAP_OB_bear_808,aVWAP_OB_bear_782,aVWAP_OB_bear_730,aVWAP_OB_bear_645,aVWAP_OB_bear_624,aVWAP_OB_bear_568,aVWAP_OB_bear_547,aVWAP_OB_bear_529,aVWAP_OB_bear_514,aVWAP_OB_bear_339,aVWAP_OB_bear_324,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,35.09,35.84,34.05,34.96,821198,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",1.0,35.9225,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,821198.0,False,False,False,False
2022-01-04 00:00:00+00:00,32.99,35.265,31.65,34.97,1911538,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1911538,-74962.27450980392,False,False,False,False,863956.4313725492,False,False,False,False
2022-01-05 00:00:00+00:00,31.13,33.3599,31.0,32.39,1355229,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3266767,-200131.0872741253,False,False,False,False,883222.0222991158,False,False,False,False
2022-01-06 00:00:00+00:00,31.64,32.68,30.34,30.71,1320268,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,4.318616027377137,-46.04126864157096,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1946499,-268616.10345945373,False,False,False,False,900361.0802481701,False,False,False,False
2022-01-07 00:00:00+00:00,31.91,33.16,30.78,31.31,1606607,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,9.233238527736104,-41.77612112887397,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-339892,-271411.2366571222,False,False,False,False,928056.9986698105,False,False,False,False
2022-01-10 00:00:00+00:00,32.16,32.2,29.81,30.74,1476559,,,,,,,,,,,,,,31.389999999999997,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,14.30888109196744,-37.54643530707689,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1136667,-216192.4822784115,False,False,False,False,949566.881074916,False,False,False,False
2022-01-11 00:00:00+00:00,33.24,33.82,32.0154,32.22,938620,,,,,,,,,,,,,,32.02546795054666,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,23.752090939117373,-29.426093007239793,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2075287,-126330.54179690518,False,False,False,False,949137.5916209978,False,False,False,False
2022-01-12 00:00:00+00:00,32.37,34.75,32.02,34.07,931466,,,,,,,,,,,,,,32.67818155784873,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,27.549515355043617,-26.7754957575425,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1143821,-76520.67741271283,False,False,False,False,948444.5880280174,False,False,False,False
2022-01-13 00:00:00+00:00,30.64,32.51,30.245,32.49,1068814,,,,,,,,,,,,,,32.02398047157207,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,26.828035514879172,-26.7754957575425,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,75007,-70578.41555339076,False,False,False,False,953164.957124958,False,False,False,False
2022-01-14 00:00:00+00:00,31.0,31.57,29.98,30.45,1065560,,,,,,,,,,,,,,31.70589341866014,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,27.8335059233358,-26.7754957575425,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1140567,-23082.51690423819,False,False,False,False,957572.6058651558,False,False,False,False
2022-01-18 00:00:00+00:00,29.71,31.36,29.3,30.07,1103070,,,,,,,,,,,,,,31.368340007248495,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,26.607108266555684,-26.7754957575425,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37497,-20706.849574660224,False,False,False,False,963278.3860273066,False,False,False,False
