date,Open,High,Low,Close,Volume,aVWAP_OB_bull_438,aVWAP_OB_bull_219,aVWAP_OB_bull_192,aVWAP_OB_bull_120,aVWAP_OB_bear_426,aVWAP_OB_bear_411,aVWAP_OB_bear_355,aVWAP_OB_bear_246,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,2.885,2.93,2.885,2.93,765.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,765.0,False,False,False,False
2023-11-10 17:00:00+00:00,2.87,3.06,2.87,3.06,860.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,860.0,13.333333333333334,False,False,False,False,766.4728682170543,False,False,False,False
2023-11-13 17:00:00+00:00,3.09,3.17,3.09,3.17,989.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1849.0,41.793281653746774,False,False,False,False,769.9229012679526,False,False,False,False
2023-11-14 17:00:00+00:00,3.155,3.29,3.125,3.26,1481.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3330.0,92.77323077539411,False,False,False,False,780.9473524110851,False,False,False,False
2023-11-15 17:00:00+00:00,3.25,3.31,3.11,3.215,709.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,95.05304349793029,45.54773914813725,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2621.0,131.9705450269384,False,False,False,False,779.8318895830063,False,False,False,False
2023-11-16 17:00:00+00:00,3.215,3.29,3.19,3.29,745.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,92.83197743774807,43.84559708409745,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3366.0,182.11053657690832,False,False,False,False,779.2918602871457,False,False,False,False
2023-11-17 17:00:00+00:00,3.335,3.35,3.27,3.32,1371.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,91.69655494566396,43.11528341289892,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4737.0,252.72897787028955,False,False,False,False,788.465629895097,False,False,False,False
2023-11-20 17:00:00+00:00,3.35,3.49,3.35,3.45,4723.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,92.00800379414434,43.11528341289892,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9460.0,395.47736581028505,False,False,False,False,849.4661627649405,False,False,False,False
2023-11-21 17:00:00+00:00,3.525,3.58,3.51,3.51,2043.0,,,,,,,,,3.533333333333333,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,92.54966097075216,43.11528341289892,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11503.0,567.6870190535365,False,False,False,False,867.9705633422282,False,False,False,False
2023-11-22 17:00:00+00:00,3.41,3.555,3.41,3.42,1956.0,,,,,,,,,3.498279569892473,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,87.08546742026306,39.43837018194051,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9547.0,706.9011737968924,False,False,False,False,884.8392367787828,False,False,False,False
