date,Close,High,Low,Open,Volume,aVWAP_OB_bull_177,aVWAP_OB_bull_96,aVWAP_OB_bull_52,aVWAP_OB_bear_159,aVWAP_OB_bear_149,aVWAP_OB_bear_111,aVWAP_OB_bear_83,aVWAP_OB_bear_14,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,148.96,154.1,143.13,145.28,2232127,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2232127.0,False,False,False,False
2022-01-07 00:00:00+00:00,127.79,149.999,125.6,148.66,3317813,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3317813,-245763.9259259259,False,False,False,False,2312548.185185185,False,False,False,False
2022-01-14 00:00:00+00:00,104.0,135.475,98.74,125.63,8320164,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11637977,-1089631.561042524,False,False,False,False,2757556.7640603567,False,False,False,False
2022-01-21 00:00:00+00:00,89.29,103.34,88.54,101.71,5157549,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16795526,-2253031.1491134483,False,False,False,False,2935333.966722552,False,False,False,False
2022-01-28 00:00:00+00:00,87.4,95.99,81.54,87.55,7577862,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24373388,-3891576.101030971,False,False,False,False,3279224.932150511,False,False,False,False
2022-02-04 00:00:00+00:00,90.29,100.0,87.5828,89.35,4791609,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,1.5616427534253359,-48.52375958465261,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19581779,-5053813.3528064545,False,False,False,False,3391253.3816208434,False,False,False,False
2022-02-11 00:00:00+00:00,93.08,99.14,87.63,90.34,3686755,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,4.122396753812332,-46.16709857222024,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15895024,-5856865.9933393095,False,False,False,False,3413142.3903896697,False,False,False,False
2022-02-18 00:00:00+00:00,81.56,95.87,75.87,93.51,15917835,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,5.375937493728491,-45.13384617095175,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31812859,-7779532.141980842,False,False,False,False,4339415.917027472,False,False,False,False
2022-02-25 00:00:00+00:00,81.27,81.83,66.58,80.14,6679147,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,6.258835638861752,-44.45992440764695,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38492006,-10054530.205537817,False,False,False,False,4512729.330580992,False,False,False,False
2022-03-04 00:00:00+00:00,69.77,83.99,69.04,81.0,4357557,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,6.456171151092113,-44.42214759785241,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42849563,-12483791.894016497,False,False,False,False,4501235.083871288,False,False,False,False
