date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_528,Gap_Up_aVWAP_516,Gap_Up_aVWAP_498,Gap_Up_aVWAP_480,Gap_Up_aVWAP_468,Gap_Up_aVWAP_456,Gap_Up_aVWAP_438,Gap_Up_aVWAP_432,Gap_Up_aVWAP_342,Gap_Up_aVWAP_336,Gap_Down_aVWAP_510,Gap_Down_aVWAP_492,Gap_Down_aVWAP_486,Gap_Down_aVWAP_408,Gap_Down_aVWAP_384,Gap_Down_aVWAP_378,Gap_Down_aVWAP_324,Gap_Down_aVWAP_245,Gap_Down_aVWAP_216,Gap_Down_aVWAP_204,aVWAP_OB_bull_246,aVWAP_OB_bear_485,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,5.37,5.455,5.36,5.385,36527.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,36527.0,False,False,False,False
2025-01-06 16:00:00+00:00,5.385,5.405,5.365,5.405,40487.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,40487.0,627.7054263565891,False,False,False,False,36588.395348837206,False,False,False,False
2025-01-06 17:00:00+00:00,5.405,5.405,5.355,5.355,53888.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.40983606557394,-36.065573770491206,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-13401.0,410.206117420828,False,False,False,False,36856.60627366143,False,False,False,False
2025-01-06 18:00:00+00:00,5.355,5.375,5.345,5.355,39185.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.01639344262324,-36.065573770491206,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-13401.0,196.0788907941485,False,False,False,False,36892.705401201565,False,False,False,False
2025-01-06 19:00:00+00:00,5.355,5.365,5.345,5.355,26642.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.087431693989444,-36.065573770491206,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13401.0,-14.728533869326668,False,False,False,False,36733.77973606666,False,False,False,False
2025-01-06 20:00:00+00:00,5.355,5.355,5.325,5.33,107755.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.79082758683093,-36.065573770491206,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-121156.0,-1892.8877814062362,False,False,False,False,37834.88392620516,False,False,False,False
2025-01-07 15:00:00+00:00,5.44,5.55,5.365,5.505,49189.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.09102573882655,-36.065573770491206,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-71967.0,-2979.308125880558,False,False,False,False,38010.916733550825,False,False,False,False
2025-01-07 16:00:00+00:00,5.505,5.52,5.48,5.49,27942.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25347092192053,-36.065573770491206,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-99909.0,-4482.094046409541,False,False,False,False,37854.80949737174,False,False,False,False
2025-01-07 17:00:00+00:00,5.495,5.515,5.48,5.485,27026.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.44574521744198,-34.69709098041175,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-126935.0,-6380.588712356679,False,False,False,False,37686.92097803264,False,False,False,False
2025-01-07 18:00:00+00:00,5.485,5.535,5.475,5.52,54753.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7907864815735,-26.62081414273854,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-72182.0,-7400.765631544948,False,False,False,False,37951.51135046624,False,False,False,False
