date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_883,Gap_Up_aVWAP_848,Gap_Up_aVWAP_840,Gap_Up_aVWAP_824,Gap_Up_aVWAP_778,Gap_Up_aVWAP_764,Gap_Up_aVWAP_762,Gap_Up_aVWAP_761,Gap_Up_aVWAP_753,Gap_Up_aVWAP_723,Gap_Down_aVWAP_889,Gap_Down_aVWAP_816,Gap_Down_aVWAP_779,Gap_Down_aVWAP_768,Gap_Down_aVWAP_759,Gap_Down_aVWAP_740,Gap_Down_aVWAP_669,Gap_Down_aVWAP_665,Gap_Down_aVWAP_649,Gap_Down_aVWAP_614,aVWAP_OB_bull_649,aVWAP_OB_bull_554,aVWAP_OB_bull_453,aVWAP_OB_bear_401,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,40.4907082945,41.1473734355,40.2721841211,40.8002842068,36895,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,36895.0,False,False,False,False
2022-01-04 00:00:00+00:00,40.19934273,40.7253486257,39.6503007443,40.5726548595,44417,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-44417,-1741.8431372549019,False,False,False,False,37189.98039215687,False,False,False,False
2022-01-05 00:00:00+00:00,39.6166116009,40.9905823411,39.5619805576,39.9626082088,51710,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-96127,-5443.22183775471,False,False,False,False,37759.39292579777,False,False,False,False
2022-01-06 00:00:00+00:00,38.1779941261,40.0536599477,37.8593130399,39.3343512103,75892,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-172019,-11975.605295097663,False,False,False,False,39254.78928164884,False,False,False,False
2022-01-07 00:00:00+00:00,37.5133164321,38.2326251695,37.1829807233,37.8957337355,96943,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-268962,-22053.50312666246,False,False,False,False,41517.07205491751,False,False,False,False
2022-01-10 00:00:00+00:00,36.8850594336,37.2488111305,36.4206955651,37.1126887808,88444,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-357406,-35204.5814354208,False,False,False,False,43357.3437390384,False,False,False,False
2022-01-11 00:00:00+00:00,37.6316836926,38.3692027778,36.7484818252,36.9852163464,57405,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,7.056532637445011,-43.53151174900874,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-300001,-45588.754712463124,False,False,False,False,43908.23221986042,False,False,False,False
2022-01-12 00:00:00+00:00,37.1673198242,38.3509924301,37.0944784331,37.9958906483,30529,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,10.86817530166875,-40.429535564439476,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-330530,-56762.92119432732,False,False,False,False,43383.556446532566,False,False,False,False
2022-01-13 00:00:00+00:00,36.5208524779,37.4677905626,36.3296438262,37.3312129542,43621,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,12.408938195454379,-39.47394599861526,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-374151,-69209.51252003998,False,False,False,False,43392.86795843325,False,False,False,False
2022-01-14 00:00:00+00:00,35.5557040454,36.3387490001,35.2188126115,36.3387490001,61196,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,12.349526152075029,-39.47394599861526,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-435347,-83567.84536239135,False,False,False,False,44091.029999279,False,False,False,False
2022-01-18 00:00:00+00:00,35.0002884381,35.3280746981,34.5996607868,34.8272901341,66609,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,11.830673009341321,-39.47394599861526,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-501956,-99975.22397563091,False,False,False,False,44974.087646366104,False,False,False,False
2022-01-19 00:00:00+00:00,35.7287023494,36.0564886095,34.9911832642,34.9911832642,56371,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,15.796261784555277,-37.09763448969743,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-445585,-113528.54852560618,False,False,False,False,45421.0253857243,False,False,False,False
2022-01-20 00:00:00+00:00,35.3827057415,36.5572731735,35.255233307,35.7378075233,38733,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,17.882993741475723,-35.39726613577837,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-484318,-128069.31132852359,False,False,False,False,45158.74988040178,False,False,False,False
