date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_179,Gap_Up_aVWAP_147,Gap_Up_aVWAP_114,Gap_Down_aVWAP_140,Gap_Down_aVWAP_17,aVWAP_OB_bull_157,aVWAP_OB_bull_136,aVWAP_OB_bull_111,aVWAP_OB_bear_103,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,23.0982707753,23.6347944857,22.6727519705,22.9780154609,7982079,,,,,,,,,,#000000,-1.0,20.902666,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7982079.0,False,False,False,False
2022-01-07 00:00:00+00:00,20.7949189839,23.1630236369,20.6422872387,22.7745064673,10757306,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-10757306,-796837.4814814815,False,False,False,False,8187651.37037037,False,False,False,False
2022-01-14 00:00:00+00:00,21.2666898328,22.2657339832,20.4804975888,20.6376620343,9390005,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,5.141647344009832,-62.85411836002458,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1367301,-839094.0384087791,False,False,False,False,8276714.602194788,False,False,False,False
2022-01-21 00:00:00+00:00,21.7477110904,23.5512632943,20.9891775687,21.3453183076,14352417,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,12.663614236819457,-55.46232519253994,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,12985116,184921.5199918712,False,False,False,False,8726766.63166184,False,False,False,False
2022-01-28 00:00:00+00:00,19.5461137958,21.9234688576,19.1807226482,21.3221922856,16485145,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,20.21676843386667,,0.0,0.0,0.0,0.0,14.024758233638527,-53.992065212915115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3500029,-88037.77778530441,False,False,False,False,9301461.325612813,False,False,False,False
2022-02-04 00:00:00+00:00,19.721871563,20.8781726631,19.3842316418,19.814375651,12717576,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,20.120084749935106,,0.0,0.0,0.0,0.0,15.864284024208427,-51.888083698328956,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,9217547,601264.7983469403,False,False,False,False,9554506.8570489,False,False,False,False
2022-02-11 00:00:00+00:00,22.0529745808,22.3027356184,19.9068797391,19.9901334183,11454139,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,20.486549313772375,,0.0,0.0,0.0,0.0,24.976078794230524,-42.79473554542784,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,20671686,2087962.665136056,False,False,False,False,9695220.349119352,False,False,False,False
2022-02-18 00:00:00+00:00,22.1269778512,22.9317634169,21.2019369711,22.274984392,13268098,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,20.880309722408388,,0.0,0.0,0.0,0.0,31.656713987387903,-36.21590180657235,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,33939784,4447356.838088941,False,False,False,False,9959877.95288829,False,False,False,False
2022-02-25 00:00:00+00:00,21.5442020968,23.3017797689,20.7486669399,22.3027356184,14117233,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,21.08458664597979,,0.0,0.0,0.0,0.0,35.202958901870396,-32.66227427751987,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,19822551,5586260.109341612,False,False,False,False,10267830.178600268,False,False,False,False
2022-03-04 00:00:00+00:00,24.6985914978,24.8565584111,21.6182053672,21.8494655872,15477347,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,21.573790841323458,,0.0,0.0,0.0,0.0,43.16438542834057,-24.851441681507914,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,35299898,7787270.323464456,False,False,False,False,10653720.313518766,False,False,False,False
