date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_53,Gap_Down_aVWAP_24,aVWAP_OB_bull_173,aVWAP_OB_bull_121,aVWAP_OB_bull_85,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,334.3065706214,350.5671786053,334.227056646,336.7864127314,68289517,,,,,,,#000000,1.0,292.3351,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,68289517.0,False,False,False,False
2022-01-07 00:00:00+00:00,329.7742740196,341.0010510013,320.7593770505,336.2397541501,93810173,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-93810173,-6948901.703703703,False,False,False,False,70179935.96296297,False,False,False,False
2022-01-14 00:00:00+00:00,329.8836057358,334.3214794918,313.5136660357,323.3336420064,86904480,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7198481770165667,-51.79962044254142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6905693,-6945701.05898491,False,False,False,False,71418791.07681757,False,False,False,False
2022-01-21 00:00:00+00:00,301.3281492948,325.8283929868,301.1989390846,321.3259141258,88552375,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603594714582111,-51.79962044254142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-95458068,-13502172.684245288,False,False,False,False,72687945.44149774,False,False,False,False
2022-01-28 00:00:00+00:00,299.8770192424,307.6495103447,287.2541756364,296.030530679,135895698,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164867683113598,-51.79962044254142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-231353766,-29639327.74467156,False,False,False,False,77370001.18657199,False,False,False,False
2022-02-04 00:00:00+00:00,235.6496055556,326.0072994316,228.7120111958,298.8532768082,375523722,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395941912513443,-51.79962044254142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-606877488,-72397709.985807,False,False,False,False,99455461.98756665,False,False,False,False
2022-02-11 00:00:00+00:00,218.2161664336,236.8522544346,214.8368224761,236.2558996186,365374072,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3053582912474997,-51.79962044254142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-972251560,-139053550.72759908,False,False,False,False,119153136.80330245,False,False,False,False
2022-02-18 00:00:00+00:00,204.9075147891,219.806445943,203.9334685896,217.9776245072,202562936,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379638341847145,-51.79962044254142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1174814496,-215776583.7107399,False,False,False,False,125331640.44750227,False,False,False,False
2022-02-25 00:00:00+00:00,209.2012694645,210.036166207,189.0643551765,201.1107224604,171770071,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3216500238468978,-50.785404741234466,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1003044425,-274092720.102537,False,False,False,False,128771524.19213173,False,False,False,False
2022-03-04 00:00:00+00:00,198.8445741594,211.8558435356,197.5822897988,206.4133106996,150196640,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9886905383654065,-50.082291731693125,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1153241065,-339214819.7245713,False,False,False,False,130358569.80752939,False,False,False,False
