date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_70,aVWAP_OB_bull_39,aVWAP_OB_bull_0,aVWAP_OB_bear_164,aVWAP_OB_bear_151,aVWAP_OB_bear_137,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,59.0139961526,60.1022367442,57.3355233756,57.7228632472,21913090,,,,58.817252090800004,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,1.0,57.33552,60.102238,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,21913090.0,False,False,False,False
2022-01-07 00:00:00+00:00,65.414326412,65.4881054351,59.2722227336,59.4290031579,37440455,,,,61.7027385801719,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37440455,2773367.037037037,False,False,False,False,23063265.185185187,False,False,False,False
2022-01-14 00:00:00+00:00,68.9280523901,68.9511083349,64.4275319772,65.4327711678,32356756,,,,63.7253645976529,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,69797211,7738096.219478738,False,False,False,False,23751671.912208505,False,False,False,False
2022-01-21 00:00:00+00:00,65.2022117204,69.9794034702,64.4090872214,69.1401670817,31766857,,,,64.4469708527198,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,91.53843218042658,42.00117417055951,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,38030354,9981967.166184016,False,False,False,False,24345389.326118987,False,False,False,False
2022-01-28 00:00:00+00:00,66.2166732889,67.5861964063,62.241828416,63.6805193676,45220211,,,,64.6885587998862,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,86.16736383928782,37.27089262192645,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,83250565,15409270.709429644,False,False,False,False,25891672.413073134,False,False,False,False
2022-02-04 00:00:00+00:00,72.109772764,72.7968399172,64.8609837383,65.9031124404,40217538,,,,65.69613420325514,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,84.90962688617549,36.55529790922091,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,123468103,23413628.6568793,False,False,False,False,26952847.641734384,False,False,False,False
2022-02-11 00:00:00+00:00,74.8764861326,75.0563225016,71.7224328924,72.0913280082,33698790,,,,66.83357032201673,,,,73.88508050886666,"rgba(38, 166, 154, 1.0)",0.0,0.0,,73.88508050886666,,84.75504722453047,36.55529790922091,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,157166893,33321277.86748083,False,False,False,False,27452547.075679988,False,False,False,False
2022-02-18 00:00:00+00:00,71.5561701559,74.7934847316,70.7757600945,74.5721476621,28475765,,,,67.41566741677917,,,,73.19353139002006,"rgba(239, 83, 80, 1.0)",0.0,0.0,,73.19353139002006,,80.90590285914574,33.43254118700257,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,128691128,40385711.210630395,False,False,False,False,27528340.99599999,False,False,False,False
2022-02-25 00:00:00+00:00,71.1102215494,73.0240843191,67.589085677,72.8940159755,23370255,,,,67.66637022548427,,,,72.47802011227513,"rgba(38, 166, 154, 1.0)",0.0,0.0,,72.47802011227513,,77.71187087805649,30.74361558472438,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,105320873,45195723.19502814,False,False,False,False,27220334.625925913,False,False,False,False
2022-03-04 00:00:00+00:00,72.2158024697,73.655844845,69.0477092442,70.2461961242,34905342,,,,68.08746352594363,,,,72.23510746628368,"rgba(239, 83, 80, 1.0)",0.0,0.0,,72.23510746628368,,75.9045202948666,29.374455546788226,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,140226215,52235018.884285316,False,False,False,False,27789594.431412883,False,False,False,False
