date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_894,Gap_Up_aVWAP_888,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_804,Gap_Up_aVWAP_792,Gap_Up_aVWAP_780,Gap_Up_aVWAP_768,Gap_Up_aVWAP_750,Gap_Up_aVWAP_720,Gap_Down_aVWAP_870,Gap_Down_aVWAP_858,Gap_Down_aVWAP_828,Gap_Down_aVWAP_822,Gap_Down_aVWAP_786,Gap_Down_aVWAP_744,Gap_Down_aVWAP_726,Gap_Down_aVWAP_714,Gap_Down_aVWAP_696,Gap_Down_aVWAP_690,aVWAP_OB_bull_829,aVWAP_OB_bull_726,aVWAP_OB_bull_613,aVWAP_OB_bull_543,aVWAP_OB_bull_401,aVWAP_OB_bull_234,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,18.36,18.36,18.145,18.315,1223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,17.865,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1223.0,False,False,False,False
2025-01-06 16:00:00+00:00,18.315,18.34,18.21,18.315,2193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1238.0387596899225,False,False,False,False
2025-01-06 17:00:00+00:00,18.305,18.405,18.28,18.37,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,956.0,14.821705426356589,False,False,False,False,1233.6660657412415,False,False,False,False
2025-01-06 18:00:00+00:00,18.37,18.37,18.295,18.325,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0236686390529,-5.917159763314849,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,39.0,15.196562706568113,False,False,False,False,1228.7565143344004,False,False,False,False
2025-01-06 19:00:00+00:00,18.315,18.32,18.245,18.255,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45530711630062,-5.917159763314849,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1952.0,-15.302608808262402,False,False,False,False,1240.5742427943321,False,False,False,False
2025-01-06 20:00:00+00:00,18.245,18.275,18.165,18.17,2286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.452469853707555,-5.917159763314849,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-4238.0,-80.77078541588624,False,False,False,False,1256.7823940688384,False,False,False,False
2025-01-07 15:00:00+00:00,18.61,18.615,18.37,18.45,1447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.943473492215276,-5.917159763314849,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2791.0,-122.7898430063376,False,False,False,False,1259.7315042383136,False,False,False,False
2025-01-07 16:00:00+00:00,18.45,18.6,18.405,18.59,1685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.424412376082934,-5.917159763314849,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-1106.0,-138.03341133182073,False,False,False,False,1266.3248142501227,False,False,False,False
2025-01-07 17:00:00+00:00,18.58,18.64,18.54,18.555,5262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1264759058422,-5.917159763314849,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-6368.0,-234.62204061349792,False,False,False,False,1328.2732667423688,False,False,False,False
2025-01-07 18:00:00+00:00,18.555,18.59,18.47,18.495,1098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.336346591514584,-5.917159763314849,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-7466.0,-346.7364275807305,False,False,False,False,1324.7031385758205,False,False,False,False
