date,Close,High,Low,Open,Volume,aVWAP_OB_bear_164,aVWAP_OB_bear_0,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.02,9.26,8.145,9.26,186978,,8.808333333333334,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,-1.0,9.26,8.145,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,186978.0,False,False,False,False
2022-01-07 00:00:00+00:00,7.88,8.66,7.78,8.5601,309663,,8.370833801478332,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-309663,-22938.0,False,False,False,False,196065.77777777778,False,False,False,False
2022-01-14 00:00:00+00:00,8.49,8.66,7.75,8.365,271801,,8.345779603405333,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,10.411332991978158,-76.02833247994539,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-37862,-24043.48148148148,False,False,False,False,201675.79423868313,False,False,False,False
2022-01-21 00:00:00+00:00,8.05,8.609,8.0,8.41,281584,,8.311960074004517,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,15.560251454137326,-70.59162572318675,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-319446,-45925.149519890256,False,False,False,False,207594.92059137326,False,False,False,False
2022-01-28 00:00:00+00:00,8.18,8.47,7.86,8.0,258699,,8.283898465045496,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,20.567887163243014,-65.07263409797437,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-60747,-47023.06437026875,False,False,False,False,211380.40795497524,False,False,False,False
2022-02-04 00:00:00+00:00,8.05,8.29,7.96,8.14,209809,,8.258490042808832,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,23.528956836653393,-61.32510790435291,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-270556,-63581.05960210069,False,False,False,False,211264.0073657178,False,False,False,False
2022-02-11 00:00:00+00:00,7.8,8.15,7.79,8.01,154220,,8.226668228163458,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,24.59818679315157,-59.1676259262359,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-424776,-90336.24037231546,False,False,False,False,207038.5253386276,False,False,False,False
2022-02-18 00:00:00+00:00,7.44,7.88,7.41,7.81,178539,,8.163981971159258,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,24.1589511016833,-58.27009854178898,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-603315,-128334.6670114032,False,False,False,False,204927.44938761817,False,False,False,False
2022-02-25 00:00:00+00:00,7.09,7.54,6.95,7.46,197393,,8.070458978096205,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,22.932384195377242,-58.033580195106836,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-800708,-178140.0990846326,False,False,False,False,204369.34202557238,False,False,False,False
2022-03-04 00:00:00+00:00,6.36,7.06,6.27,7.0,304886,,7.875223179348951,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,20.714419442744525,-58.033580195106836,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1105594,-246840.38804132649,False,False,False,False,211815.0203940485,False,False,False,False
