date,Close,High,Low,Open,Volume,aVWAP_OB_bull_130,aVWAP_OB_bear_33,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.545,7.68,7.5,7.58,27151,,,,"rgba(38, 166, 154, 1.0)",1.0,7.494,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,27151.0,False,False,False,False
2022-01-07 00:00:00+00:00,7.5042,7.6,7.5,7.545,9262,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9262,-686.074074074074,False,False,False,False,25825.888888888887,False,False,False,False
2022-01-14 00:00:00+00:00,7.55,7.56,7.1,7.51,34389,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,15.600517746440477,-89.00129436610119,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25127,1226.00548696845,False,False,False,False,26460.193415637856,False,False,False,False
2022-01-21 00:00:00+00:00,7.1,7.52,7.1,7.44,5208,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,13.455097254714698,-89.00129436610119,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19919,2610.6717471930087,False,False,False,False,24885.956866331348,False,False,False,False
2022-01-28 00:00:00+00:00,6.52,7.5042,6.475,7.13,83372,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,10.673074550668899,-89.00129436610119,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-63453,-2282.93356741388,False,False,False,False,29218.25635771421,False,False,False,False
2022-02-04 00:00:00+00:00,6.4,6.91,6.09,6.52,32955,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,8.572253964260721,-89.00129436610119,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-96408,-9255.160710568407,False,False,False,False,29495.05218306871,False,False,False,False
2022-02-11 00:00:00+00:00,6.645,7.11,6.23,6.5,52896,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,12.310701813238179,-86.76852173235551,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-43512,-11792.704361637414,False,False,False,False,31228.45572506362,False,False,False,False
2022-02-18 00:00:00+00:00,5.89,6.65,5.89,6.65,6732,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,12.598292279680987,-84.30002626593658,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-50244,-14640.948482997605,False,False,False,False,29413.903449132984,False,False,False,False
2022-02-25 00:00:00+00:00,6.12,6.25,5.5,5.87,21518,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,15.568992410864714,-79.08924468029497,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28726,-15684.28563240519,False,False,False,False,28829.02171216017,False,False,False,False
2022-03-04 00:00:00+00:00,5.2,6.0711,5.2,6.05,12381,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,15.564493716845774,-76.6811420785244,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-41107,-17567.449659634436,False,False,False,False,27610.649733481638,False,False,False,False
