date,Close,High,Low,Open,Volume,aVWAP_OB_bull_118,aVWAP_OB_bull_26,aVWAP_OB_bull_12,aVWAP_OB_bear_128,aVWAP_OB_bear_60,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-05-06 00:00:00+00:00,20.0,20.2,18.4,18.5,15225318,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,15225318.0,False,False,False,False
2022-05-13 00:00:00+00:00,17.72,19.1817,16.01,18.99,13926390,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13926390,-1031584.4444444444,False,False,False,False,15129101.11111111,False,False,False,False
2022-05-20 00:00:00+00:00,17.18,17.85,16.3,17.67,4378285,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18304675,-2311072.633744856,False,False,False,False,14332744.362139916,False,False,False,False
2022-05-27 00:00:00+00:00,17.69,18.21,15.9,17.32,4800252,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,4.856926993720922,-45.40868620124819,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13504423,-3140209.6979119037,False,False,False,False,13626633.816796219,False,False,False,False
2022-06-03 00:00:00+00:00,16.61,18.0538,15.92,17.71,1482801,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,6.974275787811583,-43.6063398155612,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14987224,-4017766.3128813924,False,False,False,False,12727090.645181686,False,False,False,False
2022-06-10 00:00:00+00:00,14.07,17.0,13.99,16.99,4808885,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,7.041746865588673,-43.6063398155612,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19796109,-5186532.437853141,False,False,False,False,12140556.893686745,False,False,False,False
2022-06-17 00:00:00+00:00,15.75,15.75,13.1701,13.71,7455063,,,,,,14.890033333333333,"rgba(38, 166, 154, 1.0)",0.0,0.0,,14.890033333333333,,13.083868255903731,-38.230738735419465,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12341046,-5716496.405419575,False,False,False,False,11793483.271932172,False,False,False,False
2022-06-24 00:00:00+00:00,15.85,16.43,15.07,15.9,5897325,,,,,,15.284575524775043,"rgba(38, 166, 154, 1.0)",0.0,0.0,,15.284575524775043,,17.691303703634663,-34.23616602636257,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6443721,-5770364.893907014,False,False,False,False,11356730.807344602,False,False,False,False
2022-07-01 00:00:00+00:00,15.86,16.1713,14.73,15.79,2346577,,,,,,15.329794873662053,"rgba(38, 166, 154, 1.0)",0.0,0.0,,15.329794873662053,,21.01308459446254,-31.535151347767943,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4097144,-5646422.605469458,False,False,False,False,10689312.006800558,False,False,False,False
2022-07-08 00:00:00+00:00,16.43,16.99,15.41,15.83,2274600,,,,,,15.449623888126812,"rgba(38, 166, 154, 1.0)",1.0,18.07,,15.449623888126812,,25.101851322756005,-28.105446994571757,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1822544,-5363172.338397646,False,False,False,False,10066000.006296813,False,False,False,False
