date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_876,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_816,Gap_Up_aVWAP_810,Gap_Up_aVWAP_774,Gap_Up_aVWAP_744,Gap_Up_aVWAP_720,Gap_Up_aVWAP_702,Gap_Up_aVWAP_696,Gap_Down_aVWAP_870,Gap_Down_aVWAP_852,Gap_Down_aVWAP_834,Gap_Down_aVWAP_756,Gap_Down_aVWAP_708,Gap_Down_aVWAP_672,Gap_Down_aVWAP_660,Gap_Down_aVWAP_624,Gap_Down_aVWAP_618,Gap_Down_aVWAP_606,aVWAP_OB_bull_693,aVWAP_OB_bull_429,aVWAP_OB_bear_848,aVWAP_OB_bear_325,aVWAP_OB_bear_150,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-10 15:00:00+00:00,220.35,222.02,219.61,221.22,5071.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5071.0,False,False,False,False
2025-01-10 16:00:00+00:00,221.26,221.37,220.15,220.365,3830.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3830.0,-59.37984496124031,False,False,False,False,5051.759689922481,False,False,False,False
2025-01-10 17:00:00+00:00,220.375,221.61,220.11,221.515,5754.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,20.069808027923145,-80.10471204188471,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1924.0,-28.629769845562162,False,False,False,False,5062.647136590349,False,False,False,False
2025-01-10 18:00:00+00:00,221.485,222.55,221.25,222.465,4245.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,38.208519381883086,-61.772891020528455,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,6169.0,67.4575134078574,False,False,False,False,5049.97043679825,False,False,False,False
2025-01-10 19:00:00+00:00,222.465,222.49,221.255,221.665,4221.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,44.002464220973486,-54.43549406211699,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,1948.0,96.61321087440224,False,False,False,False,5037.118181964169,False,False,False,False
2025-01-10 20:00:00+00:00,221.65,221.8,220.56,220.865,19896.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,43.75092709247418,-51.786857215777125,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17948.0,-183.14823425543347,False,False,False,False,5267.48844270891,False,False,False,False
2025-01-13 15:00:00+00:00,220.865,220.865,220.865,220.865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,43.58323567347464,-48.293695060449494,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17948.0,-458.57229263907016,False,False,False,False,5185.821955225051,False,False,False,False
2025-01-13 16:00:00+00:00,220.865,220.865,219.255,219.3,2333.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,38.35784822575722,-48.293695060449494,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-20281.0,-765.8967532183094,False,False,False,False,5141.592157469624,False,False,False,False
2025-01-13 17:00:00+00:00,219.315,220.98,219.105,220.92,2046.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,41.89915694034178,-43.06405180023647,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-18235.0,-1036.7355632459326,False,False,False,False,5093.598480609629,False,False,False,False
2025-01-13 18:00:00+00:00,220.895,221.265,220.575,221.07,3086.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,44.7625737757476,-36.90077647718569,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-15149.0,-1255.5303607149879,False,False,False,False,5062.47292277072,False,False,False,False
