date,Close,High,Low,Open,Volume,aVWAP_OB_bear_77,aVWAP_OB_bear_67,aVWAP_OB_bear_33,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,31.65,31.8999,29.85,29.94,356174,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,356174.0,False,False,False,False
2022-01-07 00:00:00+00:00,33.31,34.7499,31.9901,32.26,610879,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,610879,45250.29629629629,False,False,False,False,375041.037037037,False,False,False,False
2022-01-14 00:00:00+00:00,32.54,32.68,30.901,32.68,405856,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,90.51451566542109,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,205023,57085.31138545953,False,False,False,False,377323.6268861454,False,False,False,False
2022-01-21 00:00:00+00:00,33.17,33.6199,31.65,32.13,403314,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,85.87744264741953,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,608337,97918.76980135142,False,False,False,False,379248.8397093939,False,False,False,False
2022-01-28 00:00:00+00:00,35.0,35.26,32.46,32.9,552920,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,85.5945838450308,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1161257,176684.56463088095,False,False,False,False,392113.37010129064,False,False,False,False
2022-02-04 00:00:00+00:00,37.88,38.0086,34.52,34.91,567092,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,87.16334620580756,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1728349,291622.6709545194,False,False,False,False,405074.7500937877,False,False,False,False
2022-02-11 00:00:00+00:00,36.69,38.29,35.11,37.78,691340,,,,36.69666666666667,"rgba(239, 83, 80, 1.0)",0.0,0.0,,36.69666666666667,,84.28497052936534,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1037009,346836.4731060365,False,False,False,False,426279.58342017373,False,False,False,False
2022-02-18 00:00:00+00:00,34.91,36.1,33.53,35.69,717313,,,,35.754611348572006,"rgba(239, 83, 80, 1.0)",0.0,0.0,,35.754611348572006,,77.87673761794278,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,319696,344826.0676907745,False,False,False,False,447837.6142779386,False,False,False,False
2022-02-25 00:00:00+00:00,34.56,37.3164,33.7294,34.88,608753,,,,35.587840554884174,"rgba(239, 83, 80, 1.0)",0.0,0.0,,35.587840554884174,,72.59310723781775,7.315320494394889,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-289057,297871.7663803468,False,False,False,False,459757.2724795728,False,False,False,False
2022-03-04 00:00:00+00:00,25.88,33.1799,25.265,33.09,1266465,,,,32.70326429447644,"rgba(239, 83, 80, 1.0)",0.0,0.0,,32.70326429447644,,60.08079088750118,7.315320494394889,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1555522,160583.33924106183,False,False,False,False,519513.4004440489,False,False,False,False
2022-03-11 00:00:00+00:00,30.19,30.345,22.2301,22.9,699500,,,,29.696714594581657,"rgba(38, 166, 154, 1.0)",-1.0,23.487871,,29.696714594581657,,55.51853594954888,32.95400060830799,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-856022,85279.2400380202,False,False,False,False,532845.7411518971,False,False,False,False
2022-03-18 00:00:00+00:00,30.95,31.45,29.76,31.27,367433,,,,30.190136660745125,"rgba(38, 166, 154, 1.0)",0.0,0.0,,30.190136660745125,,52.8832630744315,29.63476520066868,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-488589,42770.48151668537,False,False,False,False,520592.9455110159,False,False,False,False
2022-03-25 00:00:00+00:00,30.73,31.9589,29.75,30.97,197659,,,,30.338293445937758,"rgba(239, 83, 80, 1.0)",0.0,0.0,,30.338293445937758,,50.84265816891044,26.764104841233745,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-686248,-11230.887484550578,False,False,False,False,496671.9125101999,False,False,False,False
2022-04-01 00:00:00+00:00,30.71,32.1899,29.46,31.65,155626,,,,30.421373321246463,"rgba(239, 83, 80, 1.0)",0.0,0.0,,30.421373321246463,,49.36986978944848,24.33132576511575,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-841874,-72760.00693013943,False,False,False,False,471409.25232425914,False,False,False,False
2022-04-08 00:00:00+00:00,31.45,31.51,30.08,30.66,150686,,,,30.498646344527376,"rgba(38, 166, 154, 1.0)",0.0,0.0,,30.498646344527376,,49.002402557803265,22.85893877095404,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-691188,-118569.48789827725,False,False,False,False,447651.974374314,False,False,False,False
2022-04-15 00:00:00+00:00,31.09,31.48,30.29,30.63,76376,,,,30.530102238664412,"rgba(38, 166, 154, 1.0)",0.0,0.0,,30.530102238664412,,48.4311439949956,21.100208339292763,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-767564,-166643.15546136783,False,False,False,False,420150.050346587,False,False,False,False
2022-04-22 00:00:00+00:00,34.75,35.07,31.09,31.09,284561,,,,30.89394997267042,"rgba(38, 166, 154, 1.0)",0.0,0.0,,30.89394997267042,,51.001186647275404,21.100208339292763,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-483003,-190077.21801978504,False,False,False,False,410106.4169875806,False,False,False,False
2022-04-29 00:00:00+00:00,32.82,33.61,31.75,32.52,167482,,,,31.015793679823446,"rgba(38, 166, 154, 1.0)",0.0,0.0,,31.015793679823446,,51.196058743157195,21.100208339292763,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-650485,-224181.49816646762,False,False,False,False,392134.23795146355,False,False,False,False
2022-05-06 00:00:00+00:00,36.17,36.381,32.45,32.9,288271,,,,31.38348478292761,"rgba(38, 166, 154, 1.0)",0.0,0.0,,31.38348478292761,,53.500127257565914,21.100208339292763,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-362214,-234406.12793191444,False,False,False,False,384440.66476987366,False,False,False,False
2022-05-13 00:00:00+00:00,34.7141,35.29,33.77,34.9,159513,,,,31.537292928413585,"rgba(38, 166, 154, 1.0)",0.0,0.0,,31.537292928413585,,53.993658105726276,21.100208339292763,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-521727,-255689.15549251335,False,False,False,False,367779.3562684015,False,False,False,False
2022-05-20 00:00:00+00:00,31.28,36.49,31.2,35.1,345316,,,,32.11608322820305,"rgba(38, 166, 154, 1.0)",1.0,36.825,,32.11608322820305,,52.03062933426445,19.144609330611374,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-867043,-300974.6254560309,False,False,False,False,366115.4039522236,False,False,False,False
2022-05-27 00:00:00+00:00,32.9989,33.4663,30.2826,31.09,170160,,,,32.102656025499456,"rgba(38, 166, 154, 1.0)",-1.0,30.0513,,32.102656025499456,,51.73068035687422,17.804568995635464,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-696883,-330301.1717185471,False,False,False,False,351600.18884465145,False,False,False,False
2022-06-03 00:00:00+00:00,34.31,34.31,32.64,32.8,83601,,,,32.28310977358382,"rgba(38, 166, 154, 1.0)",0.0,0.0,,32.28310977358382,,52.304497509244314,17.362292317893633,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-613282,-351262.7145542103,False,False,False,False,331748.397078381,False,False,False,False
