date,Open,High,Low,Close,Volume,aVWAP_OB_bull_438,aVWAP_OB_bull_422,aVWAP_OB_bull_386,aVWAP_OB_bull_233,aVWAP_OB_bull_224,aVWAP_OB_bull_93,aVWAP_OB_bear_324,aVWAP_OB_bear_280,aVWAP_OB_bear_254,aVWAP_OB_bear_118,aVWAP_OB_bear_95,aVWAP_OB_bear_59,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,36.56,36.58,36.01,36.025,11980.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,11980.0,False,False,False,False
2023-11-10 17:00:00+00:00,36.155,36.68,36.14,36.625,18541.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18541.0,287.4573643410853,False,False,False,False,12081.72093023256,False,False,False,False
2023-11-13 17:00:00+00:00,36.89,36.92,36.71,36.84,4134.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,22675.0,634.5510486148669,False,False,False,False,11958.50045069407,False,False,False,False
2023-11-14 17:00:00+00:00,37.595,37.8,37.525,37.555,13185.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35860.0,1180.68204010921,False,False,False,False,11977.515947582533,False,False,False,False
2023-11-15 17:00:00+00:00,38.26,38.515,38.105,38.46,11256.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47116.0,1892.8575123555788,False,False,False,False,11966.329653821564,False,False,False,False
2023-11-16 17:00:00+00:00,38.21,38.65,38.2,38.5,30149.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,77265.0,3061.4178610012286,False,False,False,False,12248.231519653787,False,False,False,False
2023-11-17 17:00:00+00:00,38.655,38.865,38.62,38.755,3197.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,80462.0,4261.426886412062,False,False,False,False,12107.902348806441,False,False,False,False
2023-11-20 17:00:00+00:00,39.1,39.3,38.865,38.925,11799.0,,,,,,,,,,,,,39.03,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,92261.0,5625.761353289395,False,False,False,False,12103.113165104016,False,False,False,False
2023-11-21 17:00:00+00:00,38.98,39.12,38.685,38.725,15261.0,,,,,,,,,,,,,38.92472579453067,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,96.51247926204144,46.86123133583729,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,77000.0,6732.338696649249,False,False,False,False,12152.072650916356,False,False,False,False
2023-11-22 17:00:00+00:00,38.865,38.9,38.59,38.695,4494.0,,,,,,,,,,,,,38.89675508651835,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,93.66966259795059,44.51194758243305,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,72506.0,7752.085383522904,False,False,False,False,12033.342842375016,False,False,False,False
