date,Close,High,Low,Open,Volume,aVWAP_OB_bull_181,aVWAP_OB_bull_128,aVWAP_OB_bull_95,aVWAP_OB_bear_162,aVWAP_OB_bear_118,aVWAP_OB_bear_2,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,35.2396125599,35.2396125599,32.4896520665,33.2049579605,122222,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,122222.0,False,False,False,False
2022-01-07 00:00:00+00:00,36.4422522673,37.1531711736,34.0370484901,35.2396125599,243721,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,243721,18053.407407407405,False,False,False,False,131221.92592592593,False,False,False,False
2022-01-14 00:00:00+00:00,35.1715386142,39.9960904217,34.8312445234,36.4422522673,435848,,,,,,36.666291186433334,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,84.82932996208389,-18.268015170622498,False,False,True,False,True,,,,-1.0,39.99609,34.831245,0.0,0,,,False,False,False,False,,,False,False,False,False,-192127,2484.4883401920433,False,False,False,False,153786.82030178327,False,False,False,False
2022-01-21 00:00:00+00:00,32.773822971,35.3001227338,32.5547761413,34.9294979183,307618,,,,,,35.37395352754413,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,67.05537094446849,-18.268015170622498,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-499745,-34717.69598130366,False,False,False,False,165181.72250165118,False,False,False,False
2022-01-28 00:00:00+00:00,34.611819505,34.9068066031,31.3518338829,31.9191167638,232606,,,,,,34.95680285081222,33.62348666366667,"rgba(38, 166, 154, 1.0)",0.0,0.0,,33.62348666366667,,60.955684541848825,-18.268015170622498,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-267139,-51934.08887157746,False,False,False,False,170176.1134274548,False,False,False,False
2022-02-04 00:00:00+00:00,35.0959008967,36.0829731094,32.6074199926,34.4151614397,300542,,,,,,34.87172833436764,34.1713836730913,"rgba(38, 166, 154, 1.0)",0.0,0.0,,34.1713836730913,,57.80334162791233,-18.268015170622498,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33403,-45612.82302923839,False,False,False,False,179832.84576616186,False,False,False,False
2022-02-11 00:00:00+00:00,33.129320243,37.511240128,32.8948433189,34.7252760812,267089,,,,,,34.80945432804172,34.28500224464984,"rgba(239, 83, 80, 1.0)",0.0,0.0,,34.28500224464984,,51.94850208159035,-18.268015170622498,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-233686,-59544.16947151702,False,False,False,False,186296.264598298,False,False,False,False
2022-02-18 00:00:00+00:00,33.8932611893,34.6541766268,32.7511316558,33.099065156,168044,,,,,,34.70703595644662,34.194962974622555,"rgba(38, 166, 154, 1.0)",0.0,0.0,,34.194962974622555,,49.47047795964335,-18.268015170622498,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65642,-59995.86062177502,False,False,False,False,184944.24499842408,False,False,False,False
2022-02-25 00:00:00+00:00,33.6814755804,33.9915902219,30.2739964093,33.5377639172,187136,,,,,,34.50421738570322,33.9445759312068,"rgba(239, 83, 80, 1.0)",0.0,0.0,,33.9445759312068,,47.36066265895191,-18.268015170622498,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-252778,-74276.01909423612,False,False,False,False,185106.59722076304,False,False,False,False
2022-03-04 00:00:00+00:00,31.7980964159,34.256322233,30.0130462841,33.6134016347,363478,,,,,,34.10549502414599,32.75355027113433,"rgba(239, 83, 80, 1.0)",0.0,0.0,,32.75355027113433,,43.35839373435229,-18.268015170622498,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-616256,-114422.68434651493,False,False,False,False,198319.29372292873,False,False,False,False
