date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_38,Gap_Up_aVWAP_29,Gap_Up_aVWAP_28,Gap_Up_aVWAP_19,Gap_Up_aVWAP_14,Gap_Up_aVWAP_3,Gap_Up_aVWAP_2,Gap_Down_aVWAP_33,Gap_Down_aVWAP_31,Gap_Down_aVWAP_27,Gap_Down_aVWAP_25,Gap_Down_aVWAP_20,Gap_Down_aVWAP_13,Gap_Down_aVWAP_10,Gap_Down_aVWAP_5,Gap_Down_aVWAP_4,Gap_Down_aVWAP_1,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-10 16:00:00+00:00,14.8,14.8,14.57,14.57,1000.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1000.0,False,False,False,False
2025-06-11 16:00:00+00:00,14.5,14.5,14.265,14.33,2900.0,,,,,,,,,,,,,,,,,14.365,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2900.0,-44.96124031007752,False,False,False,False,1029.4573643410852,False,False,False,False
2025-06-12 16:00:00+00:00,14.74,14.82,14.74,14.82,1800.0,,,,,,,14.793333333333333,,,,,,,,,,14.52904255319149,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222748815165872,-84.83412322274881,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1100.0,-61.3184303827895,False,False,False,False,1041.4037617931613,False,False,False,False
2025-06-13 16:00:00+00:00,15.15,15.35,15.15,15.315,2155.0,,,,,,15.271666666666667,15.053967551622419,,,,,,,,,,14.762500607828835,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,1.0,15.03,14.82,5.0,0.0,0.0,0.0,0.0,43.172359903338105,-64.55719836187723,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,1055.0,-44.011167896234625,False,False,False,False,1058.6688197498563,False,False,False,False
2025-06-16 16:00:00+00:00,15.12,15.12,15.03,15.03,400.0,,,,,,15.238529028049575,15.054521622655951,,,,,,,,,15.06,14.778903055364117,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,-1.0,15.15,14.205,9.0,0.0,0.0,0.0,0.0,50.31009856490928,-55.61457042132696,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,655.0,-33.17378544823099,False,False,False,False,1048.4569000638119,False,False,False,False
2025-06-17 16:00:00+00:00,14.205,14.205,13.88,13.98,2061.0,,,,,,14.695211582900058,14.722739505403158,,,,,,,,14.021666666666667,14.190432750914262,14.611377916129957,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,-1.0,15.03,14.19,9.0,0.0,0.0,0.0,0.0,44.73923329419968,-55.61457042132696,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1406.0,-54.457912805622755,False,False,False,False,1064.1552426984815,False,False,False,False
2025-06-18 16:00:00+00:00,14.19,14.19,13.765,13.815,1632.0,,,,,,14.493594216816048,14.560633283631544,,,,,,,,13.978211481180614,14.083932323479111,14.50881226403605,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,-1.0,13.88,13.815,8.0,0.0,0.0,0.0,0.0,40.14966688117593,-55.61457042132696,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3038.0,-100.71437927375263,False,False,False,False,1072.9590373853266,False,False,False,False
2025-06-19 16:00:00+00:00,13.815,13.815,13.815,13.815,0.0,,,,,,14.493594216816048,14.560633283631544,,,,,,,,13.978211481180614,14.083932323479111,14.50881226403605,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.089955939160106,-55.61457042132696,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3038.0,-146.25369122299676,False,False,False,False,1056.3240135498952,False,False,False,False
2025-06-20 16:00:00+00:00,13.93,13.93,13.815,13.84,251.0,,,,,,14.46918833666718,14.539493312447282,,,,,,,,13.970794455713321,14.071089625537141,14.494307973926244,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.39005471295477,-55.61457042132696,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2787.0,-187.19549445984953,False,False,False,False,1043.8383699289666,False,False,False,False
2025-06-23 16:00:00+00:00,14.21,14.21,13.83,13.89,481.0,,,,,,14.435248089780327,14.508659643128324,,,,,,,,13.971432768361582,14.061676683937826,14.472990724885845,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,-1.0,13.815,13.48,11.0,0.0,0.0,0.0,0.0,34.98603973875756,-52.27975345562697,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2306.0,-220.04517671628597,False,False,False,False,1035.112193650998,False,False,False,False
