date,Close,High,Low,Open,Volume,aVWAP_OB_bull_876,aVWAP_OB_bull_865,aVWAP_OB_bull_269,aVWAP_OB_bull_243,aVWAP_OB_bear_836,aVWAP_OB_bear_776,aVWAP_OB_bear_723,aVWAP_OB_bear_601,aVWAP_OB_bear_508,aVWAP_OB_bear_296,aVWAP_OB_bear_281,aVWAP_OB_bear_59,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,12.66,12.897,12.0,12.18,38406,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,38406.0,False,False,False,False
2022-01-04 00:00:00+00:00,12.66,12.96,12.18,12.84,23238,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,37811.17647058823,False,False,False,False
2022-01-05 00:00:00+00:00,11.94,13.02,11.82,12.6,40651,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-40651,-1594.1568627450981,False,False,False,False,37922.542099192615,False,False,False,False
2022-01-06 00:00:00+00:00,11.76,12.36,11.58,11.94,19332,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-59983,-3883.915417147251,False,False,False,False,37193.50123255761,False,False,False,False
2022-01-07 00:00:00+00:00,11.7,12.12,11.64,11.76,28481,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-88464,-7200.781479219908,False,False,False,False,36851.834517555355,False,False,False,False
2022-01-10 00:00:00+00:00,11.4,11.7,10.92,11.52,44424,,,,,,,,,,,,,11.339999999999998,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-132888,-12129.692009446579,False,False,False,False,37148.78218353358,False,False,False,False
2022-01-11 00:00:00+00:00,11.46,11.55,11.22,11.28,44512,,,,,,,,,,,,,11.375034631645228,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,1.9815313321775343,-48.18359627883726,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-88376,-15119.743303193773,False,False,False,False,37437.535823395,False,False,False,False
2022-01-12 00:00:00+00:00,11.28,11.67,11.25,11.46,38170,,,,,,,,,,,,,11.382531745157586,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,2.9775819777262047,-47.380634927760845,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-126546,-19489.400428558725,False,False,False,False,37466.259908752065,False,False,False,False
2022-01-13 00:00:00+00:00,11.1,11.4612,11.1,11.4,25719,,,,,,,,,,,,,11.355246508097498,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,3.3884448479987,-47.12814994824215,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-152265,-24696.286686262305,False,False,False,False,37005.58304958532,False,False,False,False
2022-01-14 00:00:00+00:00,11.16,11.28,10.62,10.98,45617,,,,,,,,,,,,,11.278181471664265,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,5.356677989617761,-45.41957102599701,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-106648,-27910.079365232414,False,False,False,False,37343.285675091785,False,False,False,False
