date,Open,High,Low,Close,Volume,aVWAP_OB_bull_314,aVWAP_OB_bull_77,aVWAP_OB_bull_66,aVWAP_OB_bull_53,aVWAP_OB_bull_26,aVWAP_OB_bull_13,aVWAP_OB_bear_350,aVWAP_OB_bear_335,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-28 16:00:00+00:00,19.025,23.34,18.84,22.375,256421.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,256421.0,False,False,False,False
2024-07-01 16:00:00+00:00,22.855,23.5,22.525,22.8,24486.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,24486.0,379.62790697674416,False,False,False,False,252825.10852713176,False,False,False,False
2024-07-02 16:00:00+00:00,24.345,25.255,22.68,24.66,13000.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37486.0,954.9204975662519,False,False,False,False,249106.88979027697,False,False,False,False
2024-07-03 16:00:00+00:00,24.185,24.6,24.15,24.16,4553.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,93.30423569090368,43.97381212181331,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,32933.0,1450.704675898558,False,False,False,False,245315.3566152339,False,False,False,False
2024-07-04 16:00:00+00:00,24.16,24.16,24.16,24.16,0.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,88.8403928181728,40.3580993949013,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,32933.0,1938.8022778226114,False,False,False,False,241512.0177529822,False,False,False,False
2024-07-05 16:00:00+00:00,24.845,30.49,24.845,28.89,19066.0,,,,,,,,,28.075,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,90.59381931221927,38.41867505583119,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,51999.0,2714.9293742904774,False,False,False,False,238063.24228394372,False,False,False,False
2024-07-08 16:00:00+00:00,27.955,28.025,26.13,26.66,27168.0,,,,,,,,,27.407072500757014,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,83.21441286210529,36.46125210823138,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,24831.0,3057.8141901929503,False,False,False,False,234793.5486051229,False,False,False,False
2024-07-09 16:00:00+00:00,27.025,27.62,26.82,27.43,9478.0,,,,,,,,,27.38715554997128,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,79.30138963539065,33.495542427775476,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34309.0,3542.3286988721293,False,False,False,False,231300.28428566363,False,False,False,False
2024-07-10 16:00:00+00:00,27.475,28.37,27.42,27.945,21026.0,,,,,,,,,27.530870146906793,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,77.33157201701735,32.16122112914971,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,55335.0,4345.3158508276,False,False,False,False,228040.2178626301,False,False,False,False
2024-07-11 16:00:00+00:00,29.06,30.015,28.915,29.905,14199.0,,,,,,,,,27.85576793091188,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,77.99986328943606,32.16122112914971,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,69534.0,5355.99312445818,False,False,False,False,224724.85014382962,False,False,False,False
