date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_442,Gap_Up_aVWAP_439,Gap_Up_aVWAP_437,Gap_Up_aVWAP_436,Gap_Up_aVWAP_435,Gap_Up_aVWAP_431,Gap_Up_aVWAP_430,Gap_Up_aVWAP_429,Gap_Up_aVWAP_428,Gap_Up_aVWAP_425,Gap_Down_aVWAP_445,Gap_Down_aVWAP_444,Gap_Down_aVWAP_440,Gap_Down_aVWAP_438,Gap_Down_aVWAP_432,Gap_Down_aVWAP_421,Gap_Down_aVWAP_407,Gap_Down_aVWAP_397,Gap_Down_aVWAP_395,Gap_Down_aVWAP_392,aVWAP_OB_bull_381,aVWAP_OB_bull_198,aVWAP_OB_bull_83,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-13 17:00:00+00:00,37.74,37.76,37.67,37.7,70278.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,70278.0,False,False,False,False
2024-02-14 17:00:00+00:00,37.705,37.765,37.64,37.67,9697.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-9697.0,-150.34108527131784,False,False,False,False,69338.75968992247,False,False,False,False
2024-02-15 17:00:00+00:00,37.84,37.96,37.84,37.92,12162.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.12048192771073,-95.1807228915661,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2465.0,-109.79316146866174,False,False,False,False,68452.29829938104,False,False,False,False
2024-02-16 17:00:00+00:00,38.015,38.13,38.01,38.065,10446.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.392495610104866,-73.0238623846403,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,12911.0,92.07960072465085,False,False,False,False,67552.97584512708,False,False,False,False
2024-02-19 17:00:00+00:00,38.065,38.065,38.065,38.065,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5738380650343,-56.717697887713754,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,12911.0,290.82255265140043,False,False,False,False,66505.6428862879,False,False,False,False
2024-02-20 17:00:00+00:00,38.345,38.38,38.285,38.295,24529.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8907200070058,-43.180956594951326,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,37440.0,866.7787921451772,False,False,False,False,65854.8422213842,False,False,False,False
2024-02-21 17:00:00+00:00,38.285,38.345,38.215,38.295,33458.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.76864130165346,-32.16725038118396,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,37440.0,1433.8054775382752,False,False,False,False,65352.56559779684,False,False,False,False
2024-02-22 17:00:00+00:00,38.23,38.305,38.205,38.305,47180.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.38050670999668,-22.772233498124947,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,84620.0,2723.5139197469844,False,False,False,False,65070.820394730225,False,False,False,False
2024-02-23 17:00:00+00:00,38.56,38.625,38.51,38.525,43094.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.86509093484501,-14.168781143618467,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,127714.0,4661.350913239279,False,False,False,False,64730.0944971375,False,False,False,False
2024-02-26 17:00:00+00:00,38.355,38.475,38.335,38.44,10691.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.75211928848569,-11.01561946849398,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,117023.0,6403.391984351848,False,False,False,False,63892.27907857722,False,False,False,False
