date,Close,High,Low,Open,Volume,aVWAP_OB_bull_886,aVWAP_OB_bull_843,aVWAP_OB_bull_817,aVWAP_OB_bull_791,aVWAP_OB_bull_751,aVWAP_OB_bull_649,aVWAP_OB_bull_622,aVWAP_OB_bull_584,aVWAP_OB_bull_572,aVWAP_OB_bull_555,aVWAP_OB_bull_540,aVWAP_OB_bull_196,aVWAP_OB_bull_183,aVWAP_OB_bear_815,aVWAP_OB_bear_710,aVWAP_OB_bear_605,aVWAP_OB_bear_516,aVWAP_OB_bear_335,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,47.0329200789,47.46462321,46.6330266521,47.2873977141,1571171,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,43.718628,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1571171.0,False,False,False,False
2022-01-04 00:00:00+00:00,47.95994575,48.3689276637,46.8965927743,47.1238049486,2457004,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2457004,96353.09803921568,False,False,False,False,1605909.549019608,False,False,False,False
2022-01-05 00:00:00+00:00,47.2783092271,48.9278696125,47.1601588965,48.5052549683,3531392,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,85.09485094811842,-9.620596207526319,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1074388,50441.68242983468,False,False,False,False,1681418.6647443292,False,False,False,False
2022-01-06 00:00:00+00:00,45.4424348588,46.6330266521,45.2243111715,46.3967259909,2117415,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,64.6567867645126,-9.620596207526319,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3191803,-76705.16786153139,False,False,False,False,1698516.5602445516,False,False,False,False
2022-01-07 00:00:00+00:00,45.5605851895,45.978746475,44.8880371536,45.696912494,2562904,,,,,,,,,,,,,,,,,,,45.47578960603333,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,52.01658566929606,-9.620596207526319,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-628899,-98359.8279453929,False,False,False,False,1732414.106901628,False,False,False,False
2022-01-10 00:00:00+00:00,46.8875042873,46.8965927743,45.2061341976,45.3151960412,2317884,,,,,,,,,,,,,,,,,,,45.881490341681385,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,51.499485678966664,-9.620596207526319,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1688985,-28267.87390831868,False,False,False,False,1755373.7105525446,False,False,False,False
2022-01-11 00:00:00+00:00,47.0601855398,47.1692473835,46.2876641472,46.9056812613,1619471,,,,,,,,,,,,,,,,,,,46.12005183974172,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,51.88638087244443,-9.620596207526319,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3308456,102584.04271553695,False,False,False,False,1750044.1924916606,False,False,False,False
2022-01-12 00:00:00+00:00,47.7690875236,47.8508839063,46.678469087,47.2601322532,2028132,,,,,,,,,,,,,,,,,,,46.932526239631635,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,54.775340773073935,-9.620596207526319,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5336588,307839.09986394725,False,False,False,False,1760949.596707674,False,False,False,False
2022-01-13 00:00:00+00:00,47.0420085659,47.8327069324,46.9329467222,47.6600256799,1785747,,,,,,,,,,,,,,,,,,,46.96668304039747,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,53.50559505810726,-9.620596207526319,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3550841,435015.6449673219,False,False,False,False,1761922.0438956083,False,False,False,False
2022-01-14 00:00:00+00:00,46.7239115218,47.1874243574,46.2422217123,47.0238315919,1876024,,,,,,,,,,,,,,,,,,,46.872272139511324,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,51.45630046880139,-9.620596207526319,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1674817,483635.3059489955,False,False,False,False,1766396.6304095061,False,False,False,False
2022-01-18 00:00:00+00:00,45.715089468,46.8057079046,45.6696470331,46.4603453997,1662492,,,,,,,,,,,,,,,,,,,46.49968820973444,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,46.96340341081343,-9.620596207526319,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12325,465152.54885295645,False,False,False,False,1762321.9390208982,False,False,False,False
2022-01-19 00:00:00+00:00,49.3504842567,49.5958734049,46.0968059208,46.4421684257,4708618,,,,,,,,,,,,,,,,,,,47.40400078991752,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,53.06102502352553,-9.620596207526319,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4720943,632046.2920351934,False,False,False,False,1877862.9610200787,False,False,False,False
2022-01-20 00:00:00+00:00,47.5964062711,49.9139704489,47.5645965667,49.7322007095,2507480,,,,,,,,,,,,,,,,,,,47.764396510236196,"rgba(239, 83, 80, 1.0)",0.0,0.0,,48.35832442889999,,53.0094034002628,-9.620596207526319,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2213463,694062.6335240094,False,False,False,False,1902553.8252938013,False,False,False,False
2022-01-21 00:00:00+00:00,46.2513101993,47.9826669674,45.9423016423,47.7145566018,2569609,,,,,,,,,,,,,,,,,,,47.44535140343833,"rgba(239, 83, 80, 1.0)",0.0,0.0,,47.53188435545448,,50.54722267931689,-9.620596207526319,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-356146,652877.9812289502,False,False,False,False,1928712.851752868,False,False,False,False
2022-01-24 00:00:00+00:00,45.706000981,46.033186512,44.2154891176,45.9150361814,2730767,,,,,,,,,,,,,,,,,,,47.01847348907188,"rgba(239, 83, 80, 1.0)",0.0,0.0,,46.75766586947593,,48.02615916567973,-9.620596207526319,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3086913,506219.5113768345,False,False,False,False,1960165.9556056967,False,False,False,False
