date,Close,High,Low,Open,Volume,aVWAP_OB_bull_843,aVWAP_OB_bull_835,aVWAP_OB_bull_751,aVWAP_OB_bull_729,aVWAP_OB_bull_670,aVWAP_OB_bull_553,aVWAP_OB_bull_102,aVWAP_OB_bear_883,aVWAP_OB_bear_709,aVWAP_OB_bear_546,aVWAP_OB_bear_455,aVWAP_OB_bear_427,aVWAP_OB_bear_355,aVWAP_OB_bear_104,aVWAP_OB_bear_85,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,16.5449892431,16.8438789089,16.5257060389,16.7474628877,727773,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,14.494496,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,727773.0,False,False,False,False
2022-01-04 00:00:00+00:00,16.8053125004,17.0559941556,16.4196484155,16.4967812325,1077341,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1077341,42248.666666666664,False,False,False,False,741481.5490196078,False,False,False,False
2022-01-05 00:00:00+00:00,16.381082007,17.230314322,16.3569780017,16.8824453174,1329659,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,78.60300618881168,-35.587975244753295,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-252318,30697.032679738564,False,False,False,False,764547.3314109958,False,False,False,False
2022-01-06 00:00:00+00:00,15.8218690839,16.1689667603,15.7061698584,16.0339843306,1150637,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,58.58417200591086,-35.587975244753295,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1402955,-25524.61566064334,False,False,False,False,779688.1027282117,False,False,False,False
2022-01-07 00:00:00+00:00,15.7640194712,15.9279267073,15.5229794181,15.8025858797,1170929,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,44.916786954862424,-35.587975244753295,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2573884,-125460.2777915985,False,False,False,False,795030.8830133799,False,False,False,False
2022-01-10 00:00:00+00:00,16.0725507391,16.0725507391,15.4072801926,15.5422626223,1907158,,,,,,,,,,,,,,,,15.850793890266669,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,42.227435817049454,-35.587975244753295,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-666726,-146686.38454486916,False,False,False,False,838643.7111305023,False,False,False,False
2022-01-11 00:00:00+00:00,16.4100068134,16.4196484155,15.8218690839,15.9664931157,1347729,,,,,,,,,,,,,,,,16.002498738367386,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,45.05539222453374,-35.587975244753295,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,681003,-114227.97730781548,False,False,False,False,858607.8401057767,False,False,False,False
2022-01-12 00:00:00+00:00,16.6510468665,16.6606884686,16.2943075879,16.5642724474,803210,,,,,,,,,,,,,,,,16.32165598132021,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,49.35754163488916,-35.587975244753295,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1484213,-51544.01741339135,False,False,False,False,856435.3757879031,False,False,False,False
2022-01-13 00:00:00+00:00,16.1882499646,16.6510468665,16.1737875614,16.3039491901,611905,,,,,,,,,,,,,,,,16.29397344913206,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,47.6459087356421,-35.587975244753295,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,872308,-15314.52653443483,False,False,False,False,846845.9492864168,False,False,False,False
2022-01-14 00:00:00+00:00,15.8507938903,16.3039491901,15.6820658531,16.3039491901,945751,,,,,,,,,,,,,,,,16.17676142943575,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,44.149935484923766,-35.587975244753295,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73443,-17594.074513476604,False,False,False,False,850724.5787261652,False,False,False,False
