date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_188,Gap_Up_aVWAP_178,Gap_Up_aVWAP_170,Gap_Up_aVWAP_166,Gap_Up_aVWAP_161,Gap_Up_aVWAP_155,Gap_Up_aVWAP_147,Gap_Up_aVWAP_141,Gap_Up_aVWAP_137,Gap_Up_aVWAP_136,Gap_Down_aVWAP_183,Gap_Down_aVWAP_181,Gap_Down_aVWAP_180,Gap_Down_aVWAP_179,Gap_Down_aVWAP_177,Gap_Down_aVWAP_173,Gap_Down_aVWAP_172,Gap_Down_aVWAP_164,Gap_Down_aVWAP_158,Gap_Down_aVWAP_156,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-28 17:00:00+00:00,21.035,21.14,19.12,19.755,736163.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,736163.0,False,False,False,False
2025-01-29 17:00:00+00:00,19.985,20.69,19.96,20.47,100105.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,100105.0,1552.015503875969,False,False,False,False,726301.6356589147,False,False,False,False
2025-01-30 17:00:00+00:00,20.92,21.755,20.72,21.755,135558.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,235663.0,5181.643170482543,False,False,False,False,717142.8196021874,False,False,False,False
2025-01-31 17:00:00+00:00,21.555,21.67,21.24,21.5,43662.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.66804039387173,46.101236354484556,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,192001.0,8078.0673073742855,False,False,False,False,706701.2565075798,False,False,False,False
2025-02-03 17:00:00+00:00,21.75,22.01,21.565,21.685,84158.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.19549151297375,44.135859938044064,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,276159.0,12234.360837492513,False,False,False,False,697049.4230733538,False,False,False,False
2025-02-04 17:00:00+00:00,21.6,21.685,21.34,21.5,33239.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.68254705703684,40.36118556795084,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,242920.0,15810.882374895731,False,False,False,False,686757.7886071003,False,False,False,False
2025-02-05 17:00:00+00:00,21.325,21.325,20.92,21.12,33507.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.79654638777396,33.66913228011764,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,209413.0,18812.465593889596,False,False,False,False,676629.8694038894,False,False,False,False
2025-02-06 17:00:00+00:00,20.64,20.905,20.56,20.73,60451.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.74658680715766,26.173391545984217,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,148962.0,20830.28783274402,False,False,False,False,667076.7086379376,False,False,False,False
2025-02-07 17:00:00+00:00,20.8,21.195,20.755,21.07,34549.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.97649743851281,23.597938986399825,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,183511.0,23352.469416732485,False,False,False,False,657270.0774962641,False,False,False,False
2025-02-10 17:00:00+00:00,21.16,21.42,21.11,21.25,28074.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.52129261162379,22.827964538082938,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,211585.0,26270.803224225005,False,False,False,False,647515.0995505856,False,False,False,False
