date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_889,Gap_Up_aVWAP_888,Gap_Up_aVWAP_863,Gap_Up_aVWAP_855,Gap_Up_aVWAP_850,Gap_Up_aVWAP_848,Gap_Up_aVWAP_846,Gap_Up_aVWAP_837,Gap_Up_aVWAP_824,Gap_Up_aVWAP_821,Gap_Down_aVWAP_873,Gap_Down_aVWAP_841,Gap_Down_aVWAP_834,Gap_Down_aVWAP_828,Gap_Down_aVWAP_779,Gap_Down_aVWAP_759,Gap_Down_aVWAP_743,Gap_Down_aVWAP_741,Gap_Down_aVWAP_728,Gap_Down_aVWAP_718,aVWAP_OB_bull_873,aVWAP_OB_bull_751,aVWAP_OB_bull_610,aVWAP_OB_bull_531,aVWAP_OB_bull_440,aVWAP_OB_bull_183,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,46.9059242099,47.3364616785,46.5071105548,47.1597147177,1571171,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,43.600582,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1571171.0,False,False,False,False
2022-01-04 00:00:00+00:00,47.830446774,48.2383243759,46.7699650093,46.996563677,2457004,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2457004,96353.09803921568,False,False,False,False,1605909.549019608,False,False,False,False
2022-01-05 00:00:00+00:00,47.150650771,48.7957570984,47.0328194638,48.3742835765,3531392,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.09485094868776,-9.620596205248944,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1074388,50441.68242983468,False,False,False,False,1681418.6647443292,False,False,False,False
2022-01-06 00:00:00+00:00,45.3197335361,46.5071105548,45.1021988152,46.2714479404,2117415,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65678676482308,-9.620596205248944,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-3191803,-76705.16786153139,False,False,False,False,1698516.5602445516,False,False,False,False
2022-01-07 00:00:00+00:00,45.4375648433,45.8545970313,44.766832787,45.5735240439,2562904,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.01658566895711,-9.620596205248944,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-628899,-98359.8279453929,False,False,False,False,1732414.106901628,False,False,False,False
2022-01-10 00:00:00+00:00,46.7609010626,46.7699650093,45.0840709218,45.1928382822,2317884,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.49948567902376,-9.620596205248944,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,1688985,-28267.87390831868,False,False,False,False,1755373.7105525446,False,False,False,False
2022-01-11 00:00:00+00:00,46.93311605,47.0418834105,46.1626805799,46.779028956,1619471,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88638087244687,-9.620596205248944,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,3308456,102584.04271553695,False,False,False,False,1750044.1924916606,False,False,False,False
2022-01-12 00:00:00+00:00,47.6401038932,47.7216794136,46.5524302883,47.1325228776,2028132,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.77534077317184,-9.620596205248944,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,5336588,307839.09986394725,False,False,False,False,1760949.596707674,False,False,False,False
2022-01-13 00:00:00+00:00,46.9149881566,47.7035515201,46.8062207961,47.5313365327,1785747,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.50559505802063,-9.620596205248944,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3550841,435015.6449673219,False,False,False,False,1761922.0438956083,False,False,False,False
2022-01-14 00:00:00+00:00,46.5977500219,47.0600113039,46.1173608464,46.8968602632,1876024,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.456300469114495,-9.620596205248944,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,1674817,483635.3059489955,False,False,False,False,1766396.6304095061,False,False,False,False
