date,Close,High,Low,Open,Volume,aVWAP_peak_883,aVWAP_peak_877,aVWAP_peak_863,aVWAP_peak_856,aVWAP_peak_847,aVWAP_peak_840,aVWAP_peak_825,aVWAP_peak_815,aVWAP_peak_802,aVWAP_peak_797,aVWAP_peak_786,aVWAP_peak_776,aVWAP_peak_769,aVWAP_peak_764,aVWAP_peak_754,aVWAP_peak_737,aVWAP_peak_731,aVWAP_peak_716,aVWAP_peak_703,aVWAP_peak_690,aVWAP_peak_683,aVWAP_peak_679,aVWAP_peak_664,aVWAP_peak_660,aVWAP_peak_652,aVWAP_peak_646,aVWAP_peak_633,aVWAP_peak_625,aVWAP_peak_598,aVWAP_peak_588,aVWAP_peak_568,aVWAP_peak_561,aVWAP_peak_548,aVWAP_peak_533,aVWAP_peak_521,aVWAP_peak_505,aVWAP_peak_497,aVWAP_peak_491,aVWAP_peak_490,aVWAP_peak_482,aVWAP_peak_475,aVWAP_peak_462,aVWAP_peak_445,aVWAP_peak_427,aVWAP_peak_418,aVWAP_peak_411,aVWAP_peak_402,aVWAP_peak_388,aVWAP_peak_382,aVWAP_peak_375,aVWAP_peak_358,aVWAP_peak_348,aVWAP_peak_340,aVWAP_peak_331,aVWAP_peak_321,aVWAP_peak_311,aVWAP_peak_302,aVWAP_peak_293,aVWAP_peak_288,aVWAP_peak_284,aVWAP_peak_272,aVWAP_peak_266,aVWAP_peak_255,aVWAP_peak_238,aVWAP_peak_226,aVWAP_peak_216,aVWAP_peak_209,aVWAP_peak_199,aVWAP_peak_189,aVWAP_peak_173,aVWAP_peak_163,aVWAP_peak_153,aVWAP_peak_135,aVWAP_peak_134,aVWAP_peak_121,aVWAP_peak_106,aVWAP_peak_102,aVWAP_peak_97,aVWAP_peak_75,aVWAP_peak_67,aVWAP_peak_66,aVWAP_peak_65,aVWAP_valley_879,aVWAP_valley_871,aVWAP_valley_855,aVWAP_valley_843,aVWAP_valley_830,aVWAP_valley_819,aVWAP_valley_796,aVWAP_valley_778,aVWAP_valley_773,aVWAP_valley_759,aVWAP_valley_746,aVWAP_OB_bull_855,aVWAP_OB_bull_830,aVWAP_OB_bull_819,aVWAP_OB_bull_796,aVWAP_OB_bull_773,aVWAP_OB_bull_306,aVWAP_OB_bull_211,aVWAP_OB_bull_202,aVWAP_OB_bull_137,aVWAP_OB_bull_48,aVWAP_OB_bear_847,aVWAP_OB_bear_815,aVWAP_OB_bear_598,aVWAP_OB_bear_427,aVWAP_OB_bear_400,aVWAP_OB_bear_375,aVWAP_OB_bear_216,aVWAP_OB_bear_163,aVWAP_OB_bear_106,aVWAP_OB_bear_67,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,11.6047232242,11.7017662059,11.4915064123,11.6855923756,1060692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1060692.0,False,False,False,False
2022-01-04 00:00:00+00:00,11.5562017334,11.6613316302,11.5238540729,11.6370708848,1445680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1445680,-56693.333333333336,False,False,False,False,1075789.568627451,False,False,False,False
2022-01-05 00:00:00+00:00,11.4187241761,11.6128101394,11.4187241761,11.531940988,1553356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2999036,-172079.3202614379,False,False,False,False,1094517.663975394,False,False,False,False
2022-01-06 00:00:00+00:00,11.3863765155,11.5562017334,11.3378550247,11.4025503458,3598136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6597172,-424043.73907471483,False,False,False,False,1192698.7751920451,False,False,False,False
2022-01-07 00:00:00+00:00,11.4672456669,11.5481148183,11.3378550247,11.3944634306,1688336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.353947882580645,-40.50888110763441,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4908836,-599917.9453855103,False,False,False,False,1212135.5291060826,False,False,False,False
2022-01-10 00:00:00+00:00,11.3378550247,11.4510718366,11.2488989581,11.4348980063,3025642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.59690050293337,-38.11139386578778,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7934478,-887547.7514488237,False,False,False,False,1283253.429925452,False,False,False,False
2022-01-11 00:00:00+00:00,11.2812466187,11.3944634306,11.240812043,11.3702026852,8405613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.785701757027176,-37.56133549658877,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16340091,-1493529.8396273013,False,False,False,False,1562561.648359748,False,False,False,False
2022-01-12 00:00:00+00:00,11.2731597036,11.3378550247,11.2327251279,11.3216811944,3878209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.450459997221671,-37.33034974498698,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20218300,-2227834.5517987795,False,False,False,False,1653371.348424072,False,False,False,False
2022-01-13 00:00:00+00:00,11.3378550247,11.3944634306,11.2650727884,11.2893335338,1767193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.450130835317474,-32.97130432319386,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18451107,-2864041.3144733375,False,False,False,False,1657834.9426035201,False,False,False,False
2022-01-14 00:00:00+00:00,11.1922905522,11.3621157701,11.1356821462,11.297420449,1732588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.849601545380278,-32.954961734776724,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20183695,-3543243.4197881087,False,False,False,False,1660766.435050441,False,False,False,False
