date,Open,High,Low,Close,Volume,aVWAP_peak_852,aVWAP_valley_874,aVWAP_valley_828,aVWAP_valley_749,aVWAP_valley_711,aVWAP_valley_669,aVWAP_valley_617,aVWAP_valley_566,aVWAP_valley_526,aVWAP_valley_504,aVWAP_valley_453,aVWAP_valley_404,aVWAP_valley_372,aVWAP_valley_336,aVWAP_valley_285,aVWAP_valley_239,aVWAP_valley_218,aVWAP_valley_179,aVWAP_OB_bull_874,aVWAP_OB_bull_828,aVWAP_OB_bull_749,aVWAP_OB_bull_504,aVWAP_OB_bull_336,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-26 15:00:00+00:00,3.73,3.785,3.705,3.775,25462.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,25462.0,False,False,False,False
2025-02-26 16:00:00+00:00,3.775,3.775,3.755,3.765,21859.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21859.0,-338.8992248062016,False,False,False,False,25406.13953488372,False,False,False,False
2025-02-26 17:00:00+00:00,3.765,3.795,3.765,3.775,9936.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.64705882352941,-76.47058823529412,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11923.0,-518.4976864371132,False,False,False,False,25166.292410311882,False,False,False,False
2025-02-26 18:00:00+00:00,3.775,3.785,3.755,3.755,6357.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.81839715752063,-72.75167785234908,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18280.0,-793.8698153295611,False,False,False,False,24874.6754737179,False,False,False,False
2025-02-26 19:00:00+00:00,3.755,3.775,3.735,3.755,5207.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.26595604684811,-68.75562574022912,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18280.0,-1064.972608890343,False,False,False,False,24569.750272574984,False,False,False,False
2025-02-26 20:00:00+00:00,3.755,3.755,3.73,3.745,30053.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.169579613489272,-66.72974088285356,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-48333.0,-1797.8102428610355,False,False,False,False,24654.761896255994,False,False,False,False
2025-02-27 15:00:00+00:00,3.615,3.655,3.6,3.635,13330.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.88424702965528,-66.72974088285356,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-61663.0,-2725.952719715903,False,False,False,False,24479.18419243807,False,False,False,False
2025-02-27 16:00:00+00:00,3.635,3.635,3.58,3.585,13727.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.95826109531305,-66.72974088285356,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-75390.0,-3852.5270961544165,False,False,False,False,24312.48366232275,False,False,False,False
2025-02-27 17:00:00+00:00,3.585,3.605,3.585,3.595,11337.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.254351235141183,-66.72974088285356,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-64053.0,-4785.867761330317,False,False,False,False,24111.313372984412,False,False,False,False
2025-02-27 18:00:00+00:00,3.595,3.615,3.595,3.615,4041.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.358840904080957,-62.01317974955569,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-60012.0,-5642.086865805816,False,False,False,False,23800.145723790854,False,False,False,False
2025-02-27 19:00:00+00:00,3.615,3.615,3.565,3.575,17983.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.063570555059634,-58.615177844235944,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-77995.0,-6763.837457033633,False,False,False,False,23709.957417995647,False,False,False,False
2025-02-27 20:00:00+00:00,3.575,3.575,3.53,3.535,44075.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.550553238457075,-56.54865271374865,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-122070.0,-8551.529899560242,False,False,False,False,24025.694512290287,False,False,False,False
2025-02-28 15:00:00+00:00,3.465,3.535,3.45,3.525,13550.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,3.503333333333333,,12.996175070003304,-54.70359329482206,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-135620.0,-10521.58369956706,False,False,False,False,23863.280643882685,False,False,False,False
2025-02-28 16:00:00+00:00,3.525,3.535,3.505,3.51,14453.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,3.5102149769667537,,12.313339909748265,-53.21108118058616,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-150073.0,-12685.171549186176,False,False,False,False,23717.384819946517,False,False,False,False
2025-02-28 17:00:00+00:00,3.51,3.525,3.485,3.485,5481.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,3.508270069286824,,11.38703227083723,-52.21682048410072,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-155554.0,-14900.192145322824,False,False,False,False,23434.650171575253,False,False,False,False
2025-02-28 18:00:00+00:00,3.485,3.505,3.475,3.475,11645.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,3.502265505550755,,10.595007922354714,-51.31472942258023,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-167199.0,-17261.41397252712,False,False,False,False,23251.86489759734,False,False,False,False
2025-02-28 19:00:00+00:00,3.475,3.495,3.475,3.49,7457.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,3.500053499664043,,12.638685434834503,-47.914796305149096,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-159742.0,-19470.415306286388,False,False,False,False,23006.983271278,False,False,False,False
