date,Open,High,Low,Close,Volume,aVWAP_peak_574,aVWAP_valley_606,aVWAP_valley_575,aVWAP_valley_547,aVWAP_valley_492,aVWAP_valley_447,aVWAP_valley_414,aVWAP_valley_373,aVWAP_valley_337,aVWAP_valley_306,aVWAP_valley_282,aVWAP_valley_197,aVWAP_OB_bull_606,aVWAP_OB_bull_492,aVWAP_OB_bull_373,aVWAP_OB_bull_306,aVWAP_OB_bull_197,aVWAP_OB_bear_602,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-23 15:00:00+00:00,36.94,36.96,36.685,36.85,14527.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14527.0,False,False,False,False
2025-01-23 16:00:00+00:00,36.83,37.185,36.8,37.16,16761.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16761.0,259.86046511627904,False,False,False,False,14561.635658914727,False,False,False,False
2025-01-23 17:00:00+00:00,37.18,37.33,37.14,37.215,18612.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35373.0,804.2502253470344,False,False,False,False,14624.432005288141,False,False,False,False
2025-01-23 18:00:00+00:00,37.215,37.325,37.12,37.285,21179.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56552.0,1668.5564234036694,False,False,False,False,14726.05321450848,False,False,False,False
2025-01-23 19:00:00+00:00,37.285,37.285,36.93,36.935,12966.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.67503208327395,34.40752887494655,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43586.0,2318.43926955245,False,False,False,False,14698.765567771914,False,False,False,False
2025-01-23 20:00:00+00:00,36.935,37.115,36.82,37.085,18566.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,74.59662227698172,28.17645812428711,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,62152.0,3246.0913739004736,False,False,False,False,14758.722690752193,False,False,False,False
2025-01-24 15:00:00+00:00,37.57,37.6,37.33,37.41,35490.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.75699371676207,28.17645812428711,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,97642.0,4709.593833219846,False,False,False,False,15080.137842833554,False,False,False,False
2025-01-24 16:00:00+00:00,37.41,37.73,37.37,37.65,21793.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,75.19104946608117,28.17645812428711,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,119435.0,6488.282300921863,False,False,False,False,15184.213225115203,False,False,False,False
2025-01-24 17:00:00+00:00,37.65,37.835,37.565,37.66,34779.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.21979561496791,28.17645812428711,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,154214.0,8778.603505558733,False,False,False,False,15488.008368911867,False,False,False,False
2025-01-24 18:00:00+00:00,37.66,37.74,37.505,37.6,37671.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,75.26478382316338,28.17645812428711,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,116543.0,10449.369342681852,False,False,False,False,15831.93071978145,False,False,False,False
2025-01-24 19:00:00+00:00,37.595,37.595,37.41,37.41,22425.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.15281031253382,26.24740482535435,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,94118.0,11746.557414888335,False,False,False,False,15934.14884815693,False,False,False,False
2025-01-24 20:00:00+00:00,37.41,37.51,37.305,37.41,51126.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,66.74482797211411,23.145405704105798,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,94118.0,13023.634044114873,False,False,False,False,16479.758943534343,False,False,False,False
