date,Close,High,Low,Open,Volume,aVWAP_peak_880,aVWAP_peak_865,aVWAP_peak_853,aVWAP_peak_846,aVWAP_peak_842,aVWAP_peak_841,aVWAP_peak_831,aVWAP_peak_822,aVWAP_peak_800,aVWAP_peak_784,aVWAP_peak_756,aVWAP_peak_749,aVWAP_peak_748,aVWAP_peak_737,aVWAP_peak_723,aVWAP_peak_713,aVWAP_peak_708,aVWAP_peak_703,aVWAP_peak_687,aVWAP_peak_680,aVWAP_peak_677,aVWAP_peak_664,aVWAP_peak_656,aVWAP_peak_646,aVWAP_peak_633,aVWAP_peak_613,aVWAP_peak_605,aVWAP_peak_599,aVWAP_peak_593,aVWAP_peak_568,aVWAP_peak_556,aVWAP_peak_547,aVWAP_peak_529,aVWAP_peak_522,aVWAP_peak_516,aVWAP_peak_506,aVWAP_peak_499,aVWAP_peak_498,aVWAP_peak_490,aVWAP_peak_482,aVWAP_peak_470,aVWAP_peak_462,aVWAP_peak_454,aVWAP_peak_445,aVWAP_peak_427,aVWAP_peak_418,aVWAP_peak_415,aVWAP_peak_401,aVWAP_peak_397,aVWAP_peak_385,aVWAP_peak_373,aVWAP_peak_362,aVWAP_peak_347,aVWAP_peak_337,aVWAP_peak_319,aVWAP_peak_312,aVWAP_peak_306,aVWAP_peak_293,aVWAP_peak_272,aVWAP_peak_267,aVWAP_peak_261,aVWAP_peak_238,aVWAP_peak_231,aVWAP_peak_219,aVWAP_peak_205,aVWAP_peak_199,aVWAP_peak_189,aVWAP_peak_173,aVWAP_peak_162,aVWAP_peak_149,aVWAP_peak_142,aVWAP_peak_138,aVWAP_peak_128,aVWAP_peak_120,aVWAP_peak_102,aVWAP_peak_96,aVWAP_peak_84,aVWAP_peak_63,aVWAP_valley_885,aVWAP_valley_871,aVWAP_valley_855,aVWAP_valley_849,aVWAP_valley_838,aVWAP_valley_837,aVWAP_valley_826,aVWAP_valley_818,aVWAP_OB_bull_885,aVWAP_OB_bull_871,aVWAP_OB_bull_855,aVWAP_OB_bull_838,aVWAP_OB_bull_826,aVWAP_OB_bull_49,aVWAP_OB_bull_36,aVWAP_OB_bear_800,aVWAP_OB_bear_756,aVWAP_OB_bear_633,aVWAP_OB_bear_593,aVWAP_OB_bear_568,aVWAP_OB_bear_529,aVWAP_OB_bear_499,aVWAP_OB_bear_427,aVWAP_OB_bear_401,aVWAP_OB_bear_293,aVWAP_OB_bear_173,aVWAP_OB_bear_149,aVWAP_OB_bear_63,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,12.63,12.96,12.41,12.75,2641099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2641099.0,False,False,False,False
2022-01-04 00:00:00+00:00,12.57,12.68,12.035,12.61,4320533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,-1.0,12.68,12.035,0.0,0,,,False,False,False,False,,,False,False,False,False,-4320533,-169432.66666666666,False,False,False,False,2706959.156862745,False,False,False,False
2022-01-05 00:00:00+00:00,12.01,12.71,11.96,12.45,4720263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9040796,-517329.2679738562,False,False,False,False,2785912.2487504804,False,False,False,False
2022-01-06 00:00:00+00:00,11.89,12.24,11.51,11.9,4035204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13076000,-1009826.1594258619,False,False,False,False,2834904.082132815,False,False,False,False
2022-01-07 00:00:00+00:00,11.65,12.24,11.65,11.82,4206236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17282236,-1647959.8786640633,False,False,False,False,2888681.804402116,False,False,False,False
2022-01-10 00:00:00+00:00,11.12,11.54,10.85,11.49,6666787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23949023,-2522511.3736184137,False,False,False,False,3036842.7924647783,False,False,False,False
2022-01-11 00:00:00+00:00,11.31,11.5,11.04,11.16,5344431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.589152899330969,-45.79327650894661,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18604592,-3153181.2021039664,False,False,False,False,3127336.447662238,False,False,False,False
2022-01-12 00:00:00+00:00,11.23,11.74,11.21,11.43,3783608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,7.373501426794874,-43.49590996428975,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22388200,-3907495.6647665557,False,False,False,False,3153072.586969601,False,False,False,False
2022-01-13 00:00:00+00:00,11.06,11.65,11.02,11.45,3942803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,8.699550065192351,-42.59439699517794,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26331003,-4786848.89359924,False,False,False,False,3184042.4070884404,False,False,False,False
2022-01-14 00:00:00+00:00,10.98,11.14,10.685,10.91,4528683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.357261055322637,-42.25036871732994,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30859686,-5809313.09385025,False,False,False,False,3236773.4107320313,False,False,False,False
