date,Open,High,Low,Close,Volume,aVWAP_peak_877,aVWAP_peak_856,aVWAP_valley_867,aVWAP_valley_845,aVWAP_valley_817,aVWAP_valley_781,aVWAP_valley_750,aVWAP_valley_713,aVWAP_valley_689,aVWAP_valley_665,aVWAP_valley_649,aVWAP_valley_623,aVWAP_valley_619,aVWAP_valley_600,aVWAP_valley_552,aVWAP_valley_510,aVWAP_valley_486,aVWAP_valley_462,aVWAP_valley_461,aVWAP_valley_438,aVWAP_valley_404,aVWAP_valley_364,aVWAP_valley_324,aVWAP_valley_258,aVWAP_valley_216,aVWAP_valley_179,aVWAP_valley_161,aVWAP_valley_143,aVWAP_valley_114,aVWAP_valley_77,aVWAP_valley_59,aVWAP_valley_26,aVWAP_OB_bull_817,aVWAP_OB_bull_324,aVWAP_OB_bull_258,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-03 14:00:00+00:00,13.675,13.675,13.38,13.41,7760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7760.0,False,False,False,False
2025-04-03 15:00:00+00:00,13.41,13.475,13.35,13.35,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4234.0,-65.64341085271317,False,False,False,False,7705.333333333333,False,False,False,False
2025-04-03 16:00:00+00:00,13.35,13.44,13.305,13.33,2527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6761.0,-169.4473889790277,False,False,False,False,7625.049095607234,False,False,False,False
2025-04-03 17:00:00+00:00,13.33,13.34,13.21,13.27,2093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8854.0,-304.09161550648463,False,False,False,False,7539.280892574564,False,False,False,False
2025-04-03 18:00:00+00:00,13.27,13.275,13.17,13.275,5434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,1.4333746239605696,-48.70996283843549,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3420.0,-352.4002726304151,False,False,False,False,7506.640878736198,False,False,False,False
2025-04-03 19:00:00+00:00,13.275,13.335,12.915,12.975,10930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,1.3228717216319756,-48.70996283843549,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14350.0,-569.4173226671528,False,False,False,False,7559.7162139495895,False,False,False,False
2025-04-04 14:00:00+00:00,12.29,12.475,12.08,12.16,4824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.9941282726045599,-48.680108990319695,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19174.0,-857.8604649513829,False,False,False,False,7517.302009082154,False,False,False,False
2025-04-04 15:00:00+00:00,12.16,12.62,12.16,12.555,11528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.899453709078323,-41.358449466647656,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7646.0,-963.1029383629893,False,False,False,False,7579.483373282431,False,False,False,False
2025-04-04 16:00:00+00:00,12.555,12.555,12.31,12.315,2543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.376327507732238,-37.87551680156624,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10189.0,-1106.1401021092995,False,False,False,False,7501.398359743168,False,False,False,False
2025-04-04 17:00:00+00:00,12.315,12.33,12.115,12.165,2420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.583057262884438,-36.43550857504372,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12609.0,-1284.4790152548917,False,False,False,False,7422.616989824669,False,False,False,False
2025-04-04 18:00:00+00:00,12.165,12.26,11.965,12.05,1970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.49837056220602,-35.981685750460166,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14579.0,-1490.5956196695445,False,False,False,False,7338.080292308007,False,False,False,False
2025-04-04 19:00:00+00:00,12.05,12.17,12.005,12.115,6139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.401261909583635,-34.42523518914601,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8440.0,-1598.3383232405592,False,False,False,False,7319.489900179201,False,False,False,False
2025-04-07 14:00:00+00:00,11.415,12.195,11.415,11.77,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.94458286430141,-34.42523518914601,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9340.0,-1718.3640856709383,False,False,False,False,7219.962924982624,False,False,False,False
