date,Close,High,Low,Open,Volume,aVWAP_peak_881,aVWAP_valley_886,aVWAP_valley_864,aVWAP_valley_819,aVWAP_valley_812,aVWAP_valley_806,aVWAP_valley_798,aVWAP_valley_780,aVWAP_valley_773,aVWAP_valley_759,aVWAP_valley_746,aVWAP_valley_733,aVWAP_valley_729,aVWAP_valley_722,aVWAP_valley_711,aVWAP_valley_696,aVWAP_valley_649,aVWAP_valley_626,aVWAP_valley_615,aVWAP_valley_603,aVWAP_valley_584,aVWAP_valley_573,aVWAP_valley_551,aVWAP_valley_540,aVWAP_valley_530,aVWAP_valley_515,aVWAP_valley_503,aVWAP_valley_502,aVWAP_valley_478,aVWAP_valley_455,aVWAP_OB_bull_886,aVWAP_OB_bull_864,aVWAP_OB_bull_840,aVWAP_OB_bull_819,aVWAP_OB_bull_649,aVWAP_OB_bull_615,aVWAP_OB_bull_584,aVWAP_OB_bull_530,aVWAP_OB_bull_478,aVWAP_OB_bull_465,aVWAP_OB_bear_815,aVWAP_OB_bear_782,aVWAP_OB_bear_769,aVWAP_OB_bear_520,aVWAP_OB_bear_449,aVWAP_OB_bear_430,aVWAP_OB_bear_389,aVWAP_OB_bear_288,aVWAP_OB_bear_226,aVWAP_OB_bear_54,aVWAP_OB_bear_25,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,47.7446139397,47.9483199468,47.5001667312,47.5001667312,517314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,517314.0,False,False,False,False
2022-01-04 00:00:00+00:00,47.9401717065,48.3516578408,47.7690586605,47.9727646676,953676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,953676,37399.05882352941,False,False,False,False,534426.2352941177,False,False,False,False
2022-01-05 00:00:00+00:00,48.3557319609,48.5838826889,48.013505869,48.013505869,1041824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1995500,114187.33102652826,False,False,False,False,554324.1868512111,False,False,False,False
2022-01-06 00:00:00+00:00,49.5494491624,49.5494491624,48.298694279,48.5716603284,1125680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3121180,232108.61216274282,False,False,False,False,576730.2971707715,False,False,False,False
2022-01-07 00:00:00+00:00,50.5394603569,50.5598309576,49.4761149999,49.5229673815,1171246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4292426,391336.74501910585,False,False,False,False,600044.6384581922,False,False,False,False
2022-01-10 00:00:00+00:00,50.400940272,50.6453874805,49.9772317773,50.6209427597,975216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,98.13128268876486,48.28700913136778,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3317210,506076.87266541546,False,False,False,False,614757.2408715964,False,False,False,False
2022-01-11 00:00:00+00:00,51.7616963993,51.7779928799,50.4742744346,50.5883497986,933246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,97.5904544439132,47.89506753532238,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4250456,652915.2698157914,False,False,False,False,627246.9961315339,False,False,False,False
2022-01-12 00:00:00+00:00,52.4746674241,52.4909639047,51.9409576856,51.9409576856,759212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,97.43774231760001,47.85001345088939,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5009668,823768.3180583094,False,False,False,False,632422.0943224542,False,False,False,False
2022-01-13 00:00:00+00:00,53.2813432122,53.4280115373,52.5968910284,52.8291158764,1059408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,97.50976844524865,47.85001345088939,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6069076,1029466.658526611,False,False,False,False,649166.6396431423,False,False,False,False
2022-01-14 00:00:00+00:00,53.6113469436,53.6765328659,52.8250417563,52.9635618411,811378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,97.61694434765337,47.85001345088939,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6880454,1258917.1425059596,False,False,False,False,655527.8694610584,False,False,False,False
2022-01-18 00:00:00+00:00,53.766163509,53.9739436362,53.2813432122,53.6765328659,1004292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,53.6738167858,,97.71555412847195,47.85001345088939,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7884746,1518753.5682900397,False,False,False,False,669204.8941880758,False,False,False,False
